step,value
50,0.0
100,0.0
150,0.0
200,0.0
250,0.0
300,0.0
350,0.0
400,0.0
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,4.960317490088073e-09
1000,0.0
1050,0.0
1100,0.0
1150,4.960317490088073e-09
1200,0.0
1250,0.0
1300,0.0
1350,1.4880953358442639e-08
1400,4.960317490088073e-09
1450,5.952380988105688e-08
1500,2.232142826130712e-08
1550,2.4801587450440366e-09
1600,0.0
1650,0.0
1700,7.44047623513211e-09
1750,4.960317490088073e-09
1800,4.960317490088073e-09
1850,0.0
1900,0.0
1950,2.4801587450440366e-09
2000,3.2242063241483265e-08
2050,2.4801587450440366e-09
2100,0.0
2150,0.0
2200,0.0
2250,0.0
2300,0.0
2350,0.0
2400,0.0
2450,0.0
2500,0.0
2550,2.4801587450440366e-09
2600,0.0
2650,0.0
2700,0.0
2750,0.0
2800,0.0
2850,0.0
2900,4.960317490088073e-09
2950,2.4801587450440366e-09
3000,0.0
3050,0.0
3100,0.0
3150,0.0
3200,0.0
3250,0.0
3300,0.0
3350,0.0
3400,2.4801587450440366e-09
3450,0.0
3500,0.0
3550,0.0
3600,0.0
3650,0.0
3700,0.0
3750,0.0
3800,0.0
3850,0.0
3900,0.0
3950,2.4801587450440366e-09
4000,0.0
4050,0.0
4100,0.0
4150,0.0
4200,0.0
4250,0.0
4300,0.0
4350,0.0
4400,2.4801587450440366e-09
4450,9.920634980176146e-09
4500,0.0
4550,7.44047623513211e-09
4600,7.44047623513211e-09
4650,9.920634980176146e-09
4700,0.0
4750,3.72023833961066e-08
4800,7.44047623513211e-09
4850,1.7361111659397466e-08
4900,9.920634980176146e-09
4950,9.920634980176146e-09
5000,1.488095247026422e-08
5050,2.4801588338618785e-08
5100,8.43253999960325e-08
5150,2.2817461342583556e-07
5200,5.704365335645889e-08
5250,1.7361111659397466e-08
5300,4.960317490088073e-09
5350,2.232142826130712e-08
5400,0.0
5450,2.4801587450440366e-09
5500,4.216269999801625e-08
5550,4.960317490088073e-09
5600,4.960317490088073e-09
5650,1.0168650277364577e-07
5700,1.7361111659397466e-08
5750,0.0
5800,2.232142826130712e-08
5850,1.7361111659397466e-08
5900,6.944444663758986e-08
5950,5.4563493279147224e-08
6000,5.208333320183556e-08
6050,7.44047623513211e-09
6100,3.9682539920704585e-08
6150,4.960317312452389e-08
6200,6.200396995836854e-08
6250,3.2242063241483265e-08
6300,1.7113096362209035e-07
6350,9.920634980176146e-09
6400,4.7123016599925904e-08
6450,1.2400794169309393e-08
6500,7.44047623513211e-09
6550,2.232142826130712e-08
6600,4.960317667723757e-08
6650,9.920634980176146e-09
6700,2.232142826130712e-08
6750,1.2400794169309393e-08
6800,1.4880953358442639e-08
6850,1.2400794169309393e-08
6900,2.232142826130712e-08
6950,4.960317490088073e-09
7000,3.72023833961066e-08
7050,2.976190494052844e-08
7100,4.960317490088073e-09
7150,1.2896825296593306e-07
7200,4.960317490088073e-09
7250,2.232142826130712e-08
7300,5.208333320183556e-08
7350,1.2400792570588237e-07
7400,1.0664683003369646e-07
7450,6.944444663758986e-08
7500,4.960317667723757e-08
7550,1.6369047273201431e-07
7600,4.960317490088073e-09
7650,2.4801588338618785e-08
7700,1.1408730671291778e-07
7750,3.720237984339292e-08
7800,4.464285652261424e-08
7850,8.928571304522848e-08
7900,2.4801588338618785e-08
7950,1.9841269960352292e-08
8000,6.696428300756452e-08
8050,2.4801588338618785e-08
8100,9.920634980176146e-09
8150,1.7361111659397466e-08
8200,1.9841269960352292e-08
8250,1.2896825296593306e-07
8300,3.2242063241483265e-08
8350,1.9841269960352292e-08
8400,1.240079541275918e-07
8450,8.680556362605785e-08
8500,2.232143003766396e-08
8550,8.184523636600716e-08
8600,1.7361111659397466e-08
8650,2.232142826130712e-08
8700,4.7123016599925904e-08
8750,1.6369047273201431e-07
8800,7.440475968678584e-08
8850,4.464285652261424e-08
8900,5.9523813433770556e-08
8950,8.184524347143451e-08
9000,1.4880953358442639e-08
9050,1.314484165959584e-07
