step,value
50,3.740327159107437e-09
100,4.560935096264984e-08
150,7.902529119974133e-08
200,1.8834339243767317e-07
250,3.503416223793465e-07
300,5.05744026213506e-07
350,5.58410135909071e-07
400,9.508415246273216e-07
450,1.0956310916299117e-06
500,1.6853417150741734e-07
550,4.633518074115273e-06
600,5.569234872382367e-06
650,2.441251808704692e-06
700,4.375433036329923e-06
750,7.486241884180345e-06
800,5.928402515564812e-06
850,1.6815540675452212e-06
900,6.7878513618779834e-06
950,9.17596753424732e-06
1000,5.431192676041974e-06
1050,1.109150889533339e-05
1100,5.040612904849695e-06
1150,3.107639258814743e-06
1200,9.073613910004497e-06
1250,2.0157385733909905e-06
1300,1.7971771740121767e-05
1350,2.519353984098416e-06
1400,3.629275306593627e-05
1450,9.532308467896655e-06
1500,5.038999006501399e-05
1550,1.6650601537548937e-05
1600,1.614709253772162e-05
1650,4.073612581123598e-05
1700,3.703355469042435e-05
1750,3.5014571039937437e-05
1800,2.121330180671066e-05
1850,5.076595698483288e-05
1900,1.2631666322704405e-05
1950,6.492725515272468e-05
2000,5.92709839111194e-05
2050,2.8804101020796224e-05
2100,4.649915354093537e-05
2150,5.392128969106125e-06
2200,1.2134622011217289e-05
2250,1.516882639407413e-05
2300,3.707860741997138e-05
2350,2.5950594135792926e-05
2400,8.662196341902018e-05
2450,1.347957550024148e-05
2500,3.698000364238396e-05
2550,6.573467544512823e-05
2600,0.00011057212395826355
2650,1.3486911484505981e-05
2700,2.9665030524483882e-05
2750,8.023346163099632e-05
2800,2.697378477023449e-06
2850,0.00010721626313170418
2900,3.236810152884573e-05
2950,4.585576243698597e-05
3000,3.405245297471993e-05
3050,9.642503573559225e-05
3100,6.7429955379338935e-06
3150,0.00010013304563472047
3200,8.931295451475307e-05
3250,9.744346607476473e-05
3300,1.4835447473160457e-05
3350,2.8322034268057905e-05
3400,6.709594163112342e-05
3450,1.5594290744047612e-05
3500,6.743475296389079e-06
3550,0.00010154751362279058
3600,6.405266049114289e-06
3650,1.2811116903321818e-05
3700,0.00014964531874284148
3750,6.402142025763169e-05
3800,9.937000868376344e-06
3850,1.145298210758483e-05
3900,0.00011040890967706218
3950,0.00017277496226597577
4000,0.0001281451986869797
4050,8.205645281122997e-05
4100,0.00011205673217773438
4150,4.874455498793395e-06
4200,8.596679253969342e-05
4250,0.00018257858755532652
4300,2.4239905087597435e-06
4350,9.89971507547871e-11
4400,5.900333053432405e-05
4450,8.635554695501924e-05
4500,9.706145647214726e-05
4550,5.09191959281452e-05
4600,2.8168178687337786e-05
4650,0.0001560838136356324
4700,0.00011351632565492764
4750,0.00012275429617147893
4800,1.3361867559069651e-06
