step,value
50,6.907308384117294e-13
100,1.9732323414123343e-11
150,3.879680604557123e-11
200,4.7642702283301475e-11
250,1.0185936816231589e-10
300,1.9322743405325582e-10
350,1.1229315255434358e-09
400,5.220973098296611e-10
450,2.0105870301989626e-09
500,9.389782285040837e-09
550,1.9208616919286214e-08
600,1.3898928230560159e-08
650,1.3704561041549823e-08
700,4.250349761036887e-08
750,3.258896441593606e-08
800,2.312751945510172e-08
850,1.7687209918904045e-08
900,1.5759684401928098e-07
950,9.277093759862964e-09
1000,1.8351840935793007e-08
1050,1.518658088173197e-08
1100,5.224681487447924e-08
1150,1.027389302521442e-07
1200,8.44100966901351e-08
1250,4.099143779967562e-08
1300,6.794229534534679e-08
1350,1.1460482340908129e-08
1400,1.0377898007618569e-07
1450,7.791501133169731e-08
1500,5.5932630971256e-08
1550,1.2572361640650342e-07
1600,1.7732078561039089e-07
1650,6.188454904076934e-08
1700,3.4506564361436176e-07
1750,1.0158652941072432e-07
1800,2.7324587037469428e-08
1850,6.933301932576796e-08
1900,1.3592502057235833e-07
1950,7.87469716101441e-08
2000,1.757207854780063e-07
2050,3.8265949342530803e-07
2100,3.291324617293867e-07
2150,1.2312032993122557e-07
2200,1.4007172310925853e-08
2250,3.509529449274851e-07
2300,5.3193939919538025e-08
2350,6.66324524445372e-08
2400,2.0107246712086635e-07
2450,3.49905313612453e-08
2500,1.722703473205911e-07
2550,4.4185102865412773e-07
2600,1.2071234323229874e-07
2650,1.7397545093444933e-07
2700,5.663990236826066e-07
2750,2.6903916250375914e-07
2800,2.7222927201364655e-07
2850,9.331983363836116e-08
2900,9.877732054519583e-07
2950,2.845499977865984e-07
3000,4.6368595008061675e-07
3050,1.02463627627003e-06
3100,2.76975100632626e-07
3150,3.439465388055396e-07
3200,5.023930498282425e-07
3250,6.900495463924017e-07
3300,6.787181661138675e-08
3350,8.898304599824769e-07
3400,3.4170213325523946e-09
3450,1.5690606858242973e-07
3500,6.246571615520224e-08
3550,1.994960257434286e-06
3600,7.816709057806293e-07
3650,2.2993976500629287e-08
3700,6.55218570955185e-07
3750,7.806104918017809e-08
3800,5.281603989715222e-07
3850,5.704737304768059e-07
3900,1.5538735169684514e-06
3950,5.798771667286928e-07
4000,1.9791210092989786e-07
4050,1.5363311831606552e-06
4100,1.0658516735873036e-08
4150,9.936130709320423e-07
4200,2.877202973650128e-07
4250,1.126217057390022e-06
4300,7.114563231880311e-07
4350,5.862406737833226e-07
4400,3.555247758413316e-07
4450,4.3489566792231926e-07
4500,3.3158298151647614e-07
4550,6.766692308701749e-07
4600,3.526346858961915e-07
4650,1.1242100299568847e-06
4700,2.1293077168138552e-07
4750,1.1306159422019846e-06
4800,1.274370106330025e-06
4850,1.1758397704397794e-06
4900,4.255692331867067e-08
4950,5.304376049508619e-09
5000,2.5473147147181407e-08
5050,1.3338946303065313e-07
5100,1.6072106063802494e-06
5150,2.424061733563576e-07
5200,4.864770630774728e-07
5250,1.3056612715445226e-06
5300,1.0909239023249029e-07
5350,1.4708944036101457e-06
5400,1.220742660734686e-06
5450,3.861188702103391e-07
5500,4.781420557264937e-07
5550,1.8258689351569046e-06
5600,1.0321550689695869e-06
5650,7.422810881507758e-07
5700,2.3902489374449942e-06
5750,1.3170689499020227e-06
5800,9.035318271344295e-07
5850,7.290070698218187e-07
5900,8.784585361354402e-07
5950,1.0628075415297644e-06
6000,4.3859071752194723e-07
6050,9.823852451518178e-07
6100,1.467957986278634e-07
6150,5.357916279535857e-07
6200,8.14955740224832e-07
6250,3.3210214951395756e-06
6300,1.7771979798908433e-07
6350,4.338185988217447e-08
6400,2.632373536926025e-07
6450,7.575989116048731e-07
6500,3.0017261565262743e-07
6550,1.0440614914841717e-06
6600,2.8297807830313104e-07
6650,9.68238850873604e-07
6700,1.8729255657490285e-07
6750,5.893906518394942e-07
6800,4.5163568529460463e-07
6850,6.868386890346301e-07
6900,3.1536623623651394e-07
6950,1.0751167067724055e-08
7000,5.038580752625421e-07
7050,1.2822330575090746e-07
7100,1.2210546174173942e-07
7150,3.1128817568060185e-07
7200,2.505937288788118e-07
7250,5.203045247981208e-07
7300,4.046175092753401e-07
7350,1.814690563151089e-06
7400,1.1974962887961738e-07
7450,7.911433499430132e-07
7500,1.2546005336844246e-06
7550,5.992594083181757e-07
7600,8.579660857321869e-07
7650,8.508102666837658e-08
7700,7.913123454272863e-07
7750,3.8541818980775133e-07
7800,2.3104710180632537e-06
7850,5.990648332954152e-07
7900,7.594863973281463e-07
7950,1.8936808601210942e-06
8000,3.1976026093616383e-07
8050,1.0045483804788091e-06
8100,2.8022836318086775e-07
8150,1.3147973731975071e-06
8200,8.620103244538768e-07
8250,5.015434680899489e-07
8300,6.742987466168415e-07
8350,1.2886171134596225e-06
8400,1.2438104022294283e-06
8450,3.644715036443813e-07
8500,5.377405614126474e-07
8550,1.1829003909724634e-07
8600,1.2899017747258767e-06
8650,6.283261200223933e-07
8700,1.4097770417720312e-06
8750,7.254396336975333e-07
8800,4.0238148812932195e-08
8850,2.046236460273576e-07
8900,1.0856401786440983e-06
8950,3.8120001022434735e-07
9000,5.632719179970991e-08
9050,5.782117682429089e-07
9100,1.211741107454145e-07
9150,6.149846285552485e-07
9200,9.623751111575984e-07
9250,1.780793695616012e-06
9300,5.596835990218096e-07
9350,1.10957792287536e-07
9400,7.96939669811536e-09
9450,8.256142223217466e-07
9500,1.0985600056301337e-06
9550,9.524928401560828e-08
9600,4.906248136649083e-07
9650,3.1524359656032175e-07
9700,6.37391508462315e-07
9750,8.169265015567362e-07
9800,1.3992226968184696e-06
9850,2.294558925086676e-07
9900,1.7234077631655964e-06
9950,4.3270535599049254e-08
10000,3.4690745565058023e-07
10050,6.51350774205639e-07
10100,7.610724850337647e-08
10150,3.728596595919953e-07
10200,7.051103807498293e-07
10250,7.065993656851788e-08
10300,2.5783455726013926e-07
10350,3.171257958456408e-07
10400,1.340892197276844e-07
10450,7.779502993798815e-06
10500,3.799378873736714e-07
10550,8.535061510883679e-07
10600,2.58295727917357e-07
10650,4.801023010259087e-07
10700,4.863682079303544e-07
10750,3.819299649876484e-07
10800,1.3986561953061027e-07
10850,5.459611429614597e-07
10900,1.7745488776199636e-06
10950,4.09636459153262e-06
11000,5.949287356088462e-07
11050,2.9565509862550243e-07
11100,1.4645105466115638e-06
11150,5.118477588439418e-07
11200,7.157900085985602e-07
11250,5.101886131342326e-07
11300,1.0815452924362035e-06
11350,6.649614192610898e-08
11400,1.5145954535000783e-07
11450,7.230385108414339e-07
11500,1.8834390402844292e-06
11550,5.439471237878024e-07
11600,1.4324191965897626e-07
11650,1.0580624376643755e-07
11700,6.323710408651095e-07
11750,8.17887894299929e-07
11800,2.6472872605154407e-07
11850,1.977919055207167e-06
11900,7.879144447997533e-08
11950,4.264065864845179e-07
12000,5.343412681213522e-07
12050,1.8946423097077059e-07
12100,2.045151035190429e-07
12150,1.0499760492166388e-06
12200,9.311549575841127e-08
12250,6.629234121646732e-07
12300,8.486300657750689e-07
12350,2.0344573670172394e-07
12400,6.893703385912886e-08
12450,1.2857066167271114e-07
12500,2.3850378738643485e-07
12550,2.216162613422057e-07
12600,5.176348167879041e-07
12650,1.3692677214294235e-07
12700,3.9229757931025233e-07
12750,6.034513830854848e-07
12800,2.8054571998836764e-07
12850,5.541360792449268e-07
12900,7.994694328772312e-08
12950,1.01942293895263e-06
13000,1.563562932460627e-06
13050,8.044140713536763e-07
13100,1.248745775228599e-06
13150,2.4647044938319596e-07
13200,4.758210252475692e-07
13250,1.7879506231111009e-07
13300,4.4598792214856076e-07
13350,1.196950393023144e-06
13400,1.773530442505944e-07
13450,2.496838646948163e-07
13500,3.1397152611134516e-07
13550,4.820691970053304e-07
13600,5.857268661202397e-07
13650,1.4064646336464648e-07
13700,6.86462612975447e-07
13750,1.1244636510809869e-07
13800,1.1150081036248594e-07
13850,1.2273412153263052e-07
13900,3.768992371533386e-07
13950,3.259909817643347e-07
14000,2.169327331102977e-07
14050,7.068985041769338e-07
14100,7.474104002369586e-09
14150,8.399179591833672e-07
14200,1.6638144018088497e-07
14250,2.1522585313960008e-07
14300,1.709093737645162e-07
14350,1.7861714241007576e-07
14400,5.515467478289793e-07
14450,8.085413583103218e-08
14500,2.584211813427828e-07
14550,1.3452626035359572e-07
14600,1.4621082300436683e-07
14650,8.294195197322551e-08
14700,1.9878558532582247e-07
14750,2.7898889243260783e-07
14800,3.231584457807912e-07
14850,2.3641152324671566e-07
14900,2.698426371239293e-08
14950,3.1144625722845376e-07
15000,2.2759361684165924e-07
15050,2.650099588663579e-07
15100,1.0454971288709203e-06
15150,3.7666040952899493e-07
15200,9.57359631570398e-08
15250,9.736720585351577e-07
15300,3.774903944986363e-08
15350,4.75880312933441e-07
15400,7.136235069538088e-08
15450,1.4773308976145927e-07
15500,1.2483948808039713e-07
15550,1.2442956176528241e-06
