step,value
50,26396502016.0
100,26396502016.0
150,26396502016.0
200,26396502016.0
250,26396502016.0
300,26396502016.0
350,26396502016.0
400,26396502016.0
450,26396502016.0
500,26396502016.0
550,26396502016.0
600,26396502016.0
650,26396502016.0
700,26396502016.0
750,26396502016.0
800,26396502016.0
850,26396502016.0
900,26396502016.0
950,26396502016.0
1000,26396502016.0
1050,26396502016.0
1100,26396502016.0
1150,26396502016.0
1200,26396502016.0
1250,26396502016.0
1300,26396502016.0
1350,26396502016.0
1400,26396502016.0
1450,26396502016.0
1500,26396502016.0
1550,26396502016.0
1600,26396502016.0
1650,26396502016.0
1700,26396502016.0
1750,26396502016.0
1800,26396502016.0
1850,26396502016.0
1900,26396502016.0
1950,26396502016.0
2000,26396502016.0
2050,26396502016.0
2100,26396502016.0
2150,26396502016.0
2200,26396502016.0
2250,26396502016.0
2300,26396502016.0
2350,26396502016.0
2400,26396502016.0
2450,26396502016.0
2500,26396502016.0
2550,26396502016.0
2600,26396502016.0
2650,26396502016.0
2700,26396502016.0
2750,26396502016.0
2800,26396502016.0
2850,26396502016.0
2900,26396502016.0
2950,26396502016.0
3000,26396502016.0
3050,26396502016.0
3100,26396502016.0
3150,26396502016.0
3200,26396502016.0
3250,26396502016.0
3300,26396502016.0
3350,26396502016.0
3400,26396502016.0
3450,26396502016.0
3500,26396502016.0
3550,26396502016.0
3600,26396502016.0
3650,26396502016.0
3700,26396502016.0
3750,26396502016.0
3800,26396502016.0
3850,26396502016.0
3900,26396502016.0
3950,26396502016.0
4000,26396502016.0
4050,26396502016.0
4100,26396502016.0
4150,26396502016.0
4200,26396502016.0
4250,26396502016.0
4300,26396502016.0
4350,26396502016.0
4400,26396502016.0
4450,26396502016.0
4500,26396502016.0
4550,26396502016.0
4600,26396502016.0
4650,26396502016.0
4700,26396502016.0
4750,26396502016.0
4800,26396502016.0
4850,26396502016.0
4900,26396502016.0
4950,26396502016.0
5000,26396502016.0
5050,26396502016.0
5100,26396502016.0
5150,26396502016.0
5200,26396502016.0
5250,26396502016.0
5300,26396502016.0
5350,26396502016.0
5400,26396502016.0
5450,26396502016.0
5500,26396502016.0
5550,26396502016.0
5600,26396502016.0
5650,26396502016.0
5700,26396502016.0
5750,26396502016.0
5800,26396502016.0
5850,26396502016.0
5900,26396502016.0
5950,26396502016.0
6000,26396502016.0
6050,26396502016.0
6100,26396502016.0
6150,26396502016.0
6200,26396502016.0
6250,26396502016.0
6300,26396502016.0
6350,26396502016.0
6400,26396502016.0
6450,26396502016.0
6500,26396502016.0
6550,26396502016.0
6600,26396502016.0
6650,26396502016.0
6700,26396502016.0
6750,26396502016.0
6800,26396502016.0
6850,26396502016.0
6900,26396502016.0
6950,26396502016.0
7000,26396502016.0
7050,26396502016.0
7100,26396502016.0
7150,26396502016.0
7200,26396502016.0
7250,26396502016.0
7300,26396502016.0
7350,26396502016.0
7400,26396502016.0
7450,26396502016.0
7500,26396502016.0
7550,26396502016.0
7600,26396502016.0
7650,26396502016.0
7700,26396502016.0
7750,26396502016.0
