step,value
50,28993126400.0
100,28993126400.0
150,28993126400.0
200,28993126400.0
250,28993126400.0
300,28993126400.0
350,28993126400.0
400,28993126400.0
450,28993126400.0
500,28993126400.0
550,28993126400.0
600,28993126400.0
650,28993126400.0
700,28993126400.0
750,28993126400.0
800,28993126400.0
850,28993126400.0
900,28993126400.0
950,28993126400.0
1000,28993126400.0
1050,28993126400.0
1100,28993126400.0
1150,28993126400.0
1200,28993126400.0
1250,28993126400.0
1300,28993126400.0
1350,28993126400.0
1400,28993126400.0
1450,28993126400.0
1500,28993126400.0
1550,28993126400.0
1600,28993126400.0
1650,28993126400.0
1700,28993126400.0
1750,28993126400.0
1800,28993126400.0
1850,28993126400.0
1900,28993126400.0
1950,28993126400.0
2000,28993126400.0
2050,28993126400.0
2100,28993126400.0
2150,28993126400.0
2200,28993126400.0
2250,28993126400.0
2300,28993126400.0
2350,28993126400.0
2400,28993126400.0
2450,28993126400.0
2500,28993126400.0
2550,28993126400.0
2600,28993126400.0
2650,28993126400.0
2700,28993126400.0
2750,28993126400.0
2800,28993126400.0
2850,28993126400.0
2900,28993126400.0
2950,28993126400.0
3000,28993126400.0
3050,28993126400.0
3100,28993126400.0
3150,28993126400.0
3200,28993126400.0
3250,28993126400.0
3300,28993126400.0
3350,28993126400.0
3400,28993126400.0
3450,28993126400.0
3500,28993126400.0
3550,28993126400.0
3600,28993126400.0
3650,28993126400.0
3700,28993126400.0
3750,28993126400.0
3800,28993126400.0
3850,28993126400.0
3900,28993126400.0
3950,28993126400.0
4000,28993126400.0
4050,28993126400.0
4100,28993126400.0
4150,28993126400.0
4200,28993126400.0
4250,28993126400.0
4300,28993126400.0
4350,28993126400.0
4400,28993126400.0
4450,28993126400.0
4500,28993126400.0
4550,28993126400.0
4600,28993126400.0
4650,28993126400.0
4700,28993126400.0
4750,28993126400.0
4800,28993126400.0
4850,28993126400.0
4900,28993126400.0
4950,28993126400.0
5000,28993126400.0
5050,28993126400.0
5100,28993126400.0
5150,28993126400.0
5200,28993126400.0
5250,28993126400.0
5300,28993126400.0
5350,28993126400.0
5400,28993126400.0
5450,28993126400.0
5500,28993126400.0
5550,28993126400.0
5600,28993126400.0
5650,28993126400.0
5700,28993126400.0
5750,28993126400.0
5800,28993126400.0
5850,28993126400.0
5900,28993126400.0
