step,value
50,3225419776.0
100,28722593792.0
150,28722593792.0
200,28722593792.0
250,28722593792.0
300,28722593792.0
350,28722593792.0
400,28722593792.0
450,28722593792.0
500,28722593792.0
550,28722593792.0
600,28722593792.0
650,28722593792.0
700,28722593792.0
750,28722593792.0
800,28722593792.0
850,28722593792.0
900,28722593792.0
950,28722593792.0
1000,28722593792.0
1050,28722593792.0
1100,28722593792.0
1150,28722593792.0
1200,28722593792.0
1250,28722593792.0
1300,28722593792.0
1350,28722593792.0
1400,28722593792.0
1450,28722593792.0
1500,28722593792.0
1550,28722593792.0
1600,28722593792.0
1650,28722593792.0
1700,28722593792.0
1750,28722593792.0
1800,28722593792.0
1850,28722593792.0
1900,28722593792.0
1950,28722593792.0
2000,28722593792.0
2050,28722593792.0
2100,28722593792.0
2150,28722593792.0
2200,28722593792.0
2250,28722593792.0
2300,28722593792.0
2350,28722593792.0
2400,28722593792.0
2450,28722593792.0
2500,28722593792.0
2550,28722593792.0
2600,28722593792.0
2650,28722593792.0
2700,28722593792.0
2750,28722593792.0
2800,28722593792.0
2850,28722593792.0
2900,28722593792.0
2950,28722593792.0
3000,28722593792.0
3050,28722593792.0
3100,28722593792.0
3150,28722593792.0
3200,28722593792.0
3250,28722593792.0
3300,28722593792.0
3350,28722593792.0
3400,28722593792.0
3450,28722593792.0
3500,28722593792.0
3550,28722593792.0
3600,28722593792.0
3650,28722593792.0
3700,28722593792.0
3750,28722593792.0
3800,28722593792.0
3850,28722593792.0
3900,28722593792.0
3950,28722593792.0
4000,28722593792.0
4050,28722593792.0
4100,28722593792.0
4150,28722593792.0
4200,28722593792.0
4250,28722593792.0
4300,28722593792.0
4350,28722593792.0
4400,28722593792.0
4450,28722593792.0
4500,28722593792.0
4550,28722593792.0
4600,28722593792.0
4650,28722593792.0
4700,28722593792.0
4750,28722593792.0
4800,28722593792.0
4850,28722593792.0
4900,28722593792.0
4950,28722593792.0
5000,28722593792.0
5050,28722593792.0
5100,28722593792.0
5150,28722593792.0
5200,28722593792.0
5250,28722593792.0
5300,28722593792.0
5350,28722593792.0
5400,28722593792.0
5450,28722593792.0
5500,28722593792.0
5550,28722593792.0
5600,28722593792.0
5650,28722593792.0
5700,28722593792.0
5750,28722593792.0
5800,28722593792.0
5850,28722593792.0
5900,28722593792.0
5950,28722593792.0
6000,28722593792.0
6050,28722593792.0
6100,28722593792.0
6150,28722593792.0
6200,28722593792.0
6250,28722593792.0
6300,28722593792.0
6350,28722593792.0
6400,28722593792.0
6450,28722593792.0
6500,28722593792.0
6550,28722593792.0
6600,28722593792.0
6650,28722593792.0
6700,28722593792.0
6750,28722593792.0
6800,28722593792.0
6850,28722593792.0
6900,28722593792.0
6950,28722593792.0
7000,28722593792.0
7050,28722593792.0
7100,28722593792.0
7150,28722593792.0
7200,28722593792.0
7250,28722593792.0
7300,28722593792.0
7350,28722593792.0
7400,28722593792.0
7450,28722593792.0
7500,28722593792.0
7550,28722593792.0
7600,28722593792.0
7650,28722593792.0
7700,28722593792.0
7750,28722593792.0
7800,28722593792.0
7850,28722593792.0
7900,28722593792.0
7950,28722593792.0
8000,28722593792.0
8050,28722593792.0
8100,28722593792.0
8150,28722593792.0
8200,28722593792.0
8250,28722593792.0
8300,28722593792.0
8350,28722593792.0
8400,28722593792.0
8450,28722593792.0
8500,28722593792.0
8550,28722593792.0
8600,28722593792.0
8650,28722593792.0
8700,28722593792.0
8750,28722593792.0
8800,28722593792.0
8850,28722593792.0
8900,28722593792.0
8950,28722593792.0
9000,28722593792.0
9050,28722593792.0
9100,28722593792.0
9150,28722593792.0
9200,28722593792.0
9250,28722593792.0
9300,28722593792.0
9350,28722593792.0
9400,28722593792.0
9450,28722593792.0
9500,28722593792.0
9550,28722593792.0
9600,28722593792.0
9650,28722593792.0
9700,28722593792.0
9750,28722593792.0
9800,28722593792.0
9850,28722593792.0
