step,value
50,2918245.6349970885
100,3090494.052448225
150,3109547.649340034
200,3107267.7798574506
250,3107132.253915507
300,3105667.3976321877
350,3106268.384627792
400,3112199.5032058773
450,3108087.605265427
500,3114251.7008263767
550,3109412.058544489
600,3104462.690898648
650,3108518.1070085973
700,3111547.31062161
750,3109014.0012829388
800,3108765.3129419205
850,3116341.9223117316
900,3104063.189656601
950,3106854.005396515
1000,3109410.38486445
1050,3103047.6378749073
1100,3109015.8013312784
1150,3109575.183308759
1200,3108729.376449318
1250,3106751.164558495
1300,3107016.175797431
1350,3112369.477753949
1400,3109073.369296327
1450,3107881.4401662075
1500,3108269.2311300626
1550,3106351.871278444
1600,3106592.92024201
1650,3114452.3592847795
1700,3110009.412641727
1750,3107955.8141273055
1800,3106474.0058131167
1850,3106618.1911839694
1900,3103555.6139044887
1950,3107088.8232580246
2000,3107872.467546973
2050,3100648.1561429137
2100,3103742.0579722426
2150,3104936.943184988
2200,3105005.9863608903
2250,3106799.9963899283
2300,3111238.7029144494
2350,3109880.2582262517
2400,3105465.403307002
2450,3091950.1904495675
2500,3104655.0384284435
2550,3105583.765472318
2600,3109561.38491895
2650,3109567.1679440783
2700,3106527.1888647485
2750,3103032.1720736497
2800,3100456.6602891763
2850,3105754.9898718055
2900,3107654.3919573943
2950,3106479.962178657
3000,3107950.1495953305
3050,3096399.734941452
3100,3101012.254299576
3150,3105803.9962549913
3200,3106173.265028956
3250,3102261.933052111
3300,3104191.367785901
3350,3102055.2346374947
3400,3101929.1286342624
3450,3106394.7817881103
3500,3106594.5578828845
3550,3109883.7044421383
3600,3106050.3986072275
3650,3103462.700656989
3700,3100472.838826138
3750,3104655.4560895273
3800,3105742.114237259
3850,3108887.233204891
3900,3101882.0023436337
3950,3101182.5462126946
4000,3105360.772359366
4050,3095432.5302415933
4100,3107957.7606920474
4150,3107619.995389956
4200,3105215.248024565
4250,3103380.129222676
4300,3105169.367943885
4350,3102001.961884153
4400,3102962.1571456855
4450,3106006.3809002717
4500,3103723.3184241694
4550,3104467.2545614718
4600,3100243.5593210687
4650,3099834.340533565
4700,3105312.0622437624
4750,3107909.436167176
4800,3108990.8167250124
4850,3102412.7034442076
4900,3102097.269522981
4950,3101305.8875248525
5000,3105272.0072740526
5050,3099465.9218006283
5100,3105700.519408009
5150,3099257.707516615
5200,3101276.4053040794
5250,3101126.279394437
5300,3106910.1132939137
5350,3105254.4937935947
5400,3106082.930043024
5450,3104583.498982621
5500,3101374.486596518
5550,3103601.118829251
5600,3106664.175007868
5650,3109173.670202472
5700,3105473.5116550606
5750,3102790.812400865
5800,3105188.573636019
5850,3101363.6082804315
5900,3104813.6913356325
5950,3110651.2094184123
6000,3107561.87405784
6050,3094605.413690405
6100,3104107.396249835
6150,3103503.428118418
6200,3107554.749708801
6250,3107388.7940512444
6300,3103674.8493101867
6350,3100499.6407075836
6400,3103691.6071476624
6450,3104394.7261255924
6500,3107293.5569719486
6550,3105863.4797637663
6600,3104202.5203298153
6650,3107379.596412374
6700,3101427.254472398
6750,3104203.468881058
6800,3105388.585895817
6850,3106138.330562087
6900,3108490.16455515
6950,3100809.558147255
7000,3088599.193532379
7050,3093943.4035047856
7100,3101286.880757268
7150,3110653.2547547133
7200,3086155.617312713
7250,3108267.353879166
7300,3103112.636301365
7350,3098568.8357360363
7400,3100069.9472676455
7450,3106622.608328789
7500,3107057.4140002476
7550,3103024.370370602
7600,3102078.0031020176
7650,3100236.699478153
7700,3102705.872308
7750,3104227.072722709
7800,3103736.4351425655
7850,3102756.509993461
7900,3100761.683598488
7950,3098882.7548460294
8000,3100560.4422890716
8050,3092187.488933777
8100,3103479.0975514106
8150,3103963.5663067643
8200,3098435.513296389
8250,3097107.665934086
8300,3102958.9181994237
8350,3104588.143009706
8400,3108933.0780927427
8450,3107952.526440945
8500,3101320.419938064
8550,3102122.5424138373
8600,3103432.9913831973
8650,3108171.466691623
8700,3104284.4773208397
8750,3100017.4894173043
8800,3100284.6982743004
8850,3099243.6172807203
8900,3102211.3451633407
8950,3105367.355910738
9000,3105216.1463529435
9050,3095234.435230384
9100,3099931.8836394125
9150,3101008.7035550135
9200,3107067.7624020125
9250,3104586.9629680016
9300,3103324.5637822165
9350,3103274.4758185134
9400,3098685.7812324055
9450,3097536.740361178
9500,3101902.2374572298
9550,3105714.925556564
9600,3101850.8451908906
9650,3101349.985247777
9700,3097301.572609844
9750,3100362.891884682
9800,3103404.6096547903
9850,3103095.3809977067
9900,3103695.8466568235
9950,3100536.686744791
10000,3094624.1386365155
10050,3087546.7213710463
10100,3101046.237097282
10150,3103942.0577349835
10200,3104501.8125909404
10250,3100870.9876093953
10300,3101085.490871051
10350,3099564.757099995
10400,3101237.535769273
10450,3104385.3430843716
10500,3108007.129833707
10550,3104067.106020675
10600,3102620.1870356686
10650,3100001.101337783
10700,3102226.4168042922
10750,3106480.9281580676
10800,3104819.4094238225
10850,3101646.0441595954
10900,3099308.633235488
10950,3098045.3928371053
11000,3099634.074879962
11050,3103056.79474696
11100,3111113.08088222
11150,3107098.9821876083
11200,3107957.350957841
11250,3110684.852717518
11300,3114755.276198575
11350,3119348.3670027084
11400,3116629.0740533513
11450,3115237.551213452
11500,3113018.543733575
11550,3114794.2411886556
11600,3113759.3105711928
11650,3119835.4668675303
11700,3113269.1607341324
11750,3120235.80371748
11800,3113800.1083246414
11850,3114719.5698027504
11900,3114840.051877553
11950,3116387.661907883
12000,3119940.7316372516
12050,3114354.621912035
12100,3118669.958353365
12150,3114047.8330710554
12200,3115235.1206585723
12250,3114447.3952597664
12300,3117764.176818265
12350,3117637.3123191386
12400,3121022.770481435
12450,3117533.8392921956
12500,3118533.4563114145
12550,3117197.8706849557
12600,3117090.8286984446
12650,3118405.0212111166
12700,3120004.187964323
12750,3117538.784525354
12800,3112674.086821102
12850,3116217.210316882
12900,3116623.131775744
12950,3117814.3537535896
13000,3119986.6585877417
13050,3108967.5375587596
13100,3116593.998340781
13150,3117993.1563357706
13200,3115206.7367455624
13250,3121676.1662927144
13300,3118170.543767496
13350,3119948.8714277456
13400,3117486.057700729
13450,3115353.4320367975
13500,3114829.709413563
13550,3115630.041405094
13600,3119402.836323285
13650,3117858.857561299
13700,3121572.7791474033
13750,3113893.3444442083
13800,3117722.3133736216
13850,3116240.7270555967
13900,3120084.90614247
13950,3118848.4334983807
14000,3119038.5886338134
14050,3121722.2643521545
14100,3118569.0352165163
14150,3116772.8592844317
14200,3117413.0600896613
14250,3119371.939470266
14300,3118654.599654427
14350,3093302.560271201
14400,3119286.262642855
14450,3116842.9797238093
14500,3115855.4815389537
14550,3120459.6090850965
14600,3116269.7200212204
14650,3117946.484481498
14700,3116674.023304506
14750,3113930.0308221686
14800,3117113.0729123275
14850,3120093.782627638
14900,3119440.5864134915
14950,3118538.026341649
15000,3114211.25228011
15050,3103715.9695492927
15100,3116140.681285707
15150,3116043.17128364
15200,3121302.1119540017
15250,3122033.2169646686
15300,3119930.1605453305
15350,3114953.5898963683
15400,3114566.499672102
15450,3112107.1046582945
15500,3114652.341912056
15550,3120573.2354051825
15600,3116141.924146866
15650,3114136.2318972484
15700,3113673.172960243
15750,3114972.1118331985
15800,3120149.7311362503
15850,3118435.9114059075
15900,3117758.0778481388
15950,3122412.444266834
16000,3137212.5772478967
16050,3119401.6856569983
16100,3125082.885785359
16150,3140107.391885395
16200,3119472.9139552717
16250,3122153.873020219
16300,3123255.344659804
16350,3120878.257918805
16400,3117063.6407708353
16450,3123578.732384772
16500,3118437.258481649
16550,3120947.161006014
16600,3121111.3031823277
16650,3117926.907751575
16700,3123999.1930433223
16750,3116559.246580232
16800,3118212.0272098063
16850,3117780.2754620374
16900,3120884.1269804845
16950,3111906.7446746123
17000,3112680.570191757
17050,3109037.2539834552
17100,3115905.5668357653
17150,3120255.3779402925
17200,3119245.519578582
17250,3126337.4637604766
17300,3111694.612483329
17350,3115394.062030316
17400,3115870.677380485
17450,3117852.5360504375
17500,3115731.1478139493
17550,3117523.397096273
17600,3116935.3635001495
17650,3125025.3405496506
17700,3134660.2299308963
17750,3116637.8504944807
17800,3116863.7196353134
17850,3121874.62579841
17900,3119272.890370955
17950,3107607.366530998
18000,3114093.1040251427
18050,3102583.7244531834
18100,3121480.6349286838
18150,3120988.1800684254
18200,3116352.306252943
18250,3114785.2772395625
18300,3115524.861961458
18350,3118018.5878707385
18400,3116736.96432635
18450,3117984.7682944075
18500,3120148.3158675362
18550,3118225.482966428
18600,3114355.394240436
18650,3114274.454275957
18700,3115279.971364792
18750,3119422.891921661
18800,3115625.5778566995
18850,3115823.418931022
18900,3112123.6178138093
18950,3115815.772055041
19000,3117061.6306843045
19050,3108608.007437889
19100,3120061.6293793707
19150,3119555.099892129
19200,3113121.578357939
19250,3116381.7955102674
19300,3114012.633589683
19350,3117357.4035580405
19400,3121029.911515897
19450,3131049.9312370433
19500,3133130.7468441874
19550,3121209.895814407
19600,3129323.7676393893
19650,3117640.9484462957
19700,3119501.1945053935
19750,3118020.7596101356
19800,3116825.5609985846
19850,3115962.0587317683
19900,3116192.034427475
19950,3118744.150788722
20000,3119643.8191775666
20050,3108764.6459723767
20100,3120101.7548326496
20150,3113441.265760402
20200,3112845.1906990185
20250,3115375.967781972
20300,3112600.4213162195
20350,3120547.9674190274
20400,3115811.408138203
20450,3121463.42956951
20500,3115712.3912036517
20550,3114772.718014499
20600,3117538.83586837
20650,3116438.8023530077
20700,3119654.668565991
20750,3134963.592342563
20800,3119653.6139021404
20850,3115992.0734643782
20900,3117821.5905576544
20950,3114634.169927639
21000,3123738.6153945904
21050,3108221.71417771
21100,3119643.945681124
21150,3117303.9318523044
21200,3116272.5002939967
21250,3114566.0996705787
21300,3116195.145668769
21350,3115210.210252658
21400,3119555.3645673003
21450,3117177.250340566
21500,3089082.4435094716
21550,3113253.008185206
21600,3116729.430560095
21650,3120387.3924428164
21700,3119236.4364353316
21750,3117630.110456897
21800,3115375.1836583507
21850,3116159.667919628
21900,3113056.5417417963
21950,3115311.8599536843
22000,3115185.716965124
22050,3105526.031806167
22100,3120642.660541464
22150,3113589.8176216963
22200,3115279.4564872244
22250,3116160.7862358796
22300,3115858.962488144
22350,3118980.3514358206
22400,3114379.250846146
22450,3114171.2004031693
22500,3113344.512470259
22550,3116714.577819842
22600,3120268.2734283875
22650,3116106.0407816595
22700,3114042.1752195265
22750,3116517.847596336
22800,3113363.129178795
22850,3113251.269742755
22900,3116198.1045610346
22950,3120972.672301629
23000,3116848.7240625396
23050,3103666.507573325
23100,3117414.6176640126
23150,3116389.539296232
23200,3116031.6080358853
23250,3118840.2053139256
23300,3120808.999696695
23350,3116168.9606470773
23400,3114994.8386773667
23450,3117527.2989522014
23500,3115105.6392911854
23550,3118089.501734265
23600,3121919.212552033
23650,3115603.4856899083
23700,3110351.906946046
23750,3114229.5611018273
23800,3113011.77546349
23850,3121104.499023749
23900,3118213.066067777
23950,3115783.46515468
24000,3120183.692321298
24050,3103831.299514748
24100,3113616.0614081896
24150,3127492.8984008995
24200,3118528.7712655584
24250,3111195.758801492
24300,3114458.452930724
24350,3113833.711991778
24400,3114799.7808341286
24450,3114714.069131842
24500,3117258.605140573
24550,3117724.620861194
24600,3117130.420723393
24650,3115263.96424191
24700,3113360.415661729
24750,3113545.197406131
24800,3115081.541452681
24850,3120994.671184451
24900,3118433.707950608
24950,3114590.908760311
25000,3117258.569808877
