step,value
50,0.01905939169228077
100,0.007795695681124926
150,0.0015157172456383705
200,0.0002435588394291699
250,5.505729131982662e-05
300,3.6299399653216824e-05
350,4.175027061137371e-05
400,2.2218189769773744e-05
450,1.8029240891337395e-05
500,1.864357545855455e-05
550,1.5233376871037763e-05
600,1.5378154785139486e-05
650,9.073422006622422e-06
700,5.809114099974977e-06
750,5.024048277846305e-06
800,4.523943971435074e-06
850,3.981169811595464e-06
900,3.157099399686558e-06
950,3.6059054764336906e-06
1000,3.2861571526154876e-06
1050,2.373643837927375e-06
1100,2.3177105958893662e-06
1150,2.5471608751104213e-06
1200,2.429628466416034e-06
1250,1.7863760604086565e-06
1300,1.466759385948535e-06
1350,1.5255641301337164e-06
1400,1.725222773529822e-06
1450,2.2441863620770164e-06
1500,1.884225639514625e-06
1550,2.1835346615262097e-06
1600,1.8406492472422542e-06
1650,3.6175231343804626e-06
1700,2.4170014967239695e-06
1750,2.0281406705180416e-06
1800,1.8825510323949857e-06
1850,2.9358259325817926e-06
1900,3.0807102575636236e-06
1950,2.0246416170266457e-06
2000,2.241200036223745e-06
2050,4.793562311533606e-06
2100,2.1701346213376382e-06
2150,2.2827236989542143e-06
2200,2.8980543902434874e-06
2250,2.8947301871085074e-06
2300,1.969636514331796e-06
2350,3.1787794796400703e-06
2400,2.8196479888720205e-06
2450,3.3951512250496307e-06
2500,3.814106776189874e-06
2550,4.8081183194881305e-06
2600,3.4454578781151213e-06
2650,3.611291958804941e-06
2700,5.315440375852631e-06
2750,5.3620019571098965e-06
2800,5.211439656704897e-06
2850,4.014827936771326e-06
2900,4.189153969491599e-06
2950,4.90726370117045e-06
3000,6.513816060760291e-06
3050,4.9085397222370375e-06
3100,4.80708195027546e-06
3150,4.497944701142842e-06
3200,4.901158263237448e-06
3250,5.244838575890753e-06
3300,5.2217837946955115e-06
3350,5.204981789574958e-06
3400,6.968798061279813e-06
3450,5.872765541425906e-06
3500,5.1329898269614205e-06
3550,7.086080131557537e-06
3600,7.251600436575245e-06
3650,6.437143383664079e-06
3700,6.598079835384851e-06
3750,6.255371317820391e-06
3800,8.856560270942282e-06
3850,8.320693268615287e-06
3900,9.255692020815331e-06
3950,7.232496955111856e-06
4000,1.0453833056089934e-05
4050,1.0229415238427464e-05
4100,1.3781534107693005e-05
4150,1.0359863154008053e-05
4200,1.0247021236864384e-05
4250,1.5773310224176385e-05
4300,1.2570991202665027e-05
4350,1.4838592505839188e-05
4400,1.4447839930653572e-05
4450,1.3418037269730121e-05
4500,1.579863419465255e-05
4550,1.8732940588961355e-05
4600,1.896403955470305e-05
4650,1.8457789337844588e-05
4700,2.626774767122697e-05
4750,1.6125166439451277e-05
4800,1.5998019080143422e-05
4850,2.0175082681817003e-05
4900,1.73525586433243e-05
4950,1.5931917005218565e-05
5000,2.0223447791067883e-05
5050,2.871469041565433e-05
5100,1.847812018240802e-05
5150,2.5278612156398594e-05
5200,1.7941187252290547e-05
5250,2.75744005193701e-05
5300,5.8627916587283835e-05
5350,2.67993746092543e-05
5400,2.3566512027173303e-05
