step,value
50,0.294921875
100,0.0986328125
150,0.2021484375
200,0.28125
250,0.396484375
300,0.51171875
350,0.6484375
400,0.73828125
450,0.76171875
500,0.76953125
550,0.796875
600,0.8203125
650,0.83984375
700,0.79296875
750,0.828125
800,0.7734375
850,0.87890625
900,0.78515625
950,0.74609375
1000,0.81640625
1050,0.8125
1100,0.83203125
1150,0.76171875
1200,0.7265625
1250,0.734375
1300,0.85546875
1350,0.76953125
1400,0.76953125
1450,0.71875
1500,0.73046875
1550,0.6953125
1600,0.87890625
1650,0.87109375
1700,0.75
1750,0.78515625
1800,0.78515625
1850,0.92578125
1900,0.88671875
1950,0.8046875
2000,0.85546875
2050,0.8359375
2100,0.89453125
2150,0.9453125
2200,0.875
2250,0.8671875
2300,0.85546875
2350,0.85546875
2400,0.828125
2450,0.80859375
2500,0.83984375
2550,0.80078125
2600,0.87109375
2650,0.82421875
2700,0.859375
2750,0.8515625
2800,0.90625
2850,0.88671875
2900,0.92578125
2950,0.91796875
3000,0.91015625
3050,0.9375
3100,0.94140625
3150,0.96875
3200,0.9375
3250,0.9453125
3300,0.96875
3350,0.96484375
3400,0.9765625
3450,0.984375
3500,0.96484375
3550,0.98046875
3600,0.984375
3650,0.97265625
3700,0.98828125
3750,0.9921875
3800,0.98828125
3850,0.98828125
3900,0.98828125
3950,0.9921875
4000,0.98828125
4050,0.9921875
4100,0.98828125
4150,0.9921875
4200,0.99609375
4250,0.98828125
4300,0.99609375
4350,0.98828125
4400,0.9921875
4450,0.9921875
4500,0.9921875
4550,0.9921875
4600,0.98828125
4650,0.9921875
4700,0.9921875
4750,0.9921875
4800,0.9921875
4850,0.9921875
4900,0.99609375
4950,0.9921875
5000,0.9921875
5050,0.98828125
5100,0.9921875
5150,0.9921875
5200,0.99609375
5250,0.984375
5300,0.984375
5350,0.984375
5400,0.98828125
5450,0.984375
5500,0.98046875
5550,0.98046875
5600,0.984375
5650,0.9921875
5700,0.98828125
5750,0.98828125
5800,0.98046875
5850,0.98828125
5900,0.9921875
5950,0.984375
6000,0.99609375
6050,0.98828125
6100,0.99609375
6150,0.99609375
6200,0.9921875
6250,0.99609375
6300,0.99609375
6350,0.98828125
6400,0.9921875
6450,0.99609375
6500,0.984375
6550,0.9921875
6600,0.99609375
6650,0.98828125
6700,0.9921875
6750,0.984375
6800,0.99609375
6850,1.0
6900,1.0
6950,0.98046875
7000,0.98828125
7050,0.9921875
7100,0.9921875
7150,0.9921875
7200,0.99609375
7250,0.99609375
7300,0.9921875
7350,0.99609375
7400,0.98828125
7450,0.98828125
7500,0.99609375
7550,0.99609375
7600,0.9921875
7650,0.9921875
7700,0.9921875
7750,0.9921875
7800,0.99609375
7850,0.98828125
7900,0.9921875
7950,0.9921875
8000,0.98828125
8050,0.98828125
8100,0.98828125
8150,0.9921875
8200,1.0
8250,0.984375
8300,0.984375
8350,0.9921875
8400,0.9921875
8450,0.99609375
8500,0.99609375
8550,0.9921875
8600,0.99609375
8650,0.98828125
8700,0.9921875
8750,0.99609375
8800,0.9921875
8850,0.98828125
8900,0.98828125
8950,0.99609375
9000,0.99609375
9050,1.0
9100,0.9921875
9150,0.99609375
9200,0.99609375
9250,0.9921875
9300,0.9921875
9350,0.98828125
9400,0.9921875
9450,0.9921875
9500,0.9921875
9550,0.9921875
9600,0.98828125
9650,0.99609375
9700,0.99609375
9750,1.0
9800,0.99609375
9850,0.99609375
9900,0.99609375
9950,0.99609375
10000,0.99609375
10050,0.99609375
10100,0.9921875
10150,0.98828125
10200,0.99609375
10250,0.99609375
10300,0.9921875
10350,0.99609375
10400,0.9921875
10450,0.98828125
10500,0.9921875
10550,0.99609375
10600,0.99609375
10650,0.98828125
10700,0.99609375
10750,0.9921875
10800,0.98828125
10850,0.99609375
10900,0.9921875
10950,0.9921875
11000,0.9921875
11050,0.9921875
11100,0.99609375
11150,0.99609375
11200,0.9921875
11250,0.9921875
11300,0.9921875
11350,0.99609375
11400,0.9921875
11450,0.98828125
11500,0.98828125
11550,0.99609375
11600,0.9921875
11650,0.99609375
11700,0.99609375
11750,0.99609375
11800,0.9921875
11850,0.99609375
11900,0.99609375
11950,0.98828125
12000,0.99609375
12050,0.99609375
12100,0.99609375
12150,1.0
12200,0.99609375
12250,0.9921875
12300,0.99609375
12350,0.9921875
12400,0.99609375
12450,0.9921875
12500,0.99609375
12550,0.9921875
12600,1.0
12650,0.99609375
12700,0.99609375
12750,0.99609375
12800,1.0
12850,1.0
12900,0.99609375
12950,0.99609375
13000,0.9921875
13050,0.99609375
13100,0.9921875
13150,1.0
13200,0.99609375
13250,1.0
13300,0.99609375
13350,0.99609375
13400,0.99609375
13450,0.99609375
13500,0.99609375
13550,1.0
13600,0.99609375
13650,0.9921875
13700,1.0
13750,1.0
13800,0.99609375
13850,0.99609375
13900,0.99609375
13950,0.9921875
14000,0.99609375
14050,0.99609375
14100,0.99609375
14150,1.0
14200,0.99609375
14250,1.0
14300,0.99609375
14350,0.99609375
14400,1.0
14450,1.0
14500,0.99609375
14550,0.99609375
14600,0.99609375
14650,0.9921875
14700,0.99609375
14750,0.99609375
14800,0.99609375
14850,0.99609375
14900,1.0
14950,1.0
15000,1.0
15050,1.0
15100,1.0
15150,1.0
15200,1.0
15250,1.0
15300,0.9921875
15350,0.98828125
15400,0.9921875
15450,0.99609375
15500,0.99609375
15550,1.0
15600,1.0
15650,1.0
15700,0.99609375
15750,1.0
15800,1.0
15850,1.0
15900,0.99609375
15950,0.99609375
16000,0.99609375
16050,1.0
16100,0.99609375
16150,1.0
16200,0.99609375
16250,0.99609375
16300,0.99609375
16350,1.0
16400,0.99609375
16450,1.0
16500,0.99609375
16550,1.0
16600,0.99609375
16650,1.0
16700,1.0
16750,1.0
16800,1.0
16850,1.0
16900,1.0
16950,1.0
