step,value
50,0.0
100,0.0
150,0.0
200,0.0
250,0.0
300,0.0
350,0.0
400,0.0
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,0.0
1850,0.0
1900,0.0
1950,0.0
2000,0.0
2050,0.0
2100,0.0
2150,0.0
2200,0.0
2250,0.0
2300,0.0
2350,0.0
2400,0.0
2450,0.0
2500,0.0
2550,0.0
2600,0.0
2650,0.0
2700,0.0
2750,0.0
2800,0.0
2850,0.0
2900,0.0
2950,0.0
3000,0.0
3050,0.0
3100,0.0
3150,0.0
3200,0.0
3250,0.0
3300,0.0
3350,0.0
3400,0.0
3450,0.0
3500,0.0
3550,0.0
3600,0.0
3650,0.0
3700,0.0
3750,2.4801587450440366e-09
3800,0.0
3850,0.0
3900,0.0
3950,2.4801587450440366e-09
4000,0.0
4050,4.960317490088073e-09
4100,0.0
4150,9.920634980176146e-09
4200,1.2400794169309393e-08
4250,0.0
4300,1.488095247026422e-08
4350,0.0
4400,7.44047623513211e-09
4450,2.4801587450440366e-09
4500,2.4801587450440366e-09
4550,4.960317490088073e-09
4600,0.0
4650,4.960317490088073e-09
4700,2.4801587450440366e-09
4750,2.4801587450440366e-09
4800,2.4801587450440366e-09
4850,2.4801587450440366e-09
4900,3.472222331879493e-08
4950,2.4801587450440366e-09
5000,9.920634980176146e-09
5050,0.0
5100,7.44047623513211e-09
5150,7.44047623513211e-09
5200,6.448412648296653e-08
5250,0.0
5300,0.0
5350,0.0
5400,0.0
5450,0.0
5500,0.0
5550,0.0
5600,0.0
5650,1.7361111659397466e-08
5700,0.0
5750,0.0
5800,0.0
5850,0.0
5900,4.960317490088073e-09
5950,0.0
6000,1.2400794169309393e-08
6050,0.0
6100,1.9841269960352292e-08
6150,2.4801588338618785e-08
6200,2.4801587450440366e-09
6250,7.44047623513211e-09
6300,3.2242063241483265e-08
6350,0.0
6400,2.4801587450440366e-09
6450,2.4801587450440366e-09
6500,0.0
6550,4.960317490088073e-09
6600,7.44047623513211e-09
6650,0.0
6700,2.4801587450440366e-09
6750,0.0
6800,4.960317490088073e-09
6850,4.960317667723757e-08
6900,1.0193451771556283e-06
6950,0.0
7000,0.0
7050,9.920634980176146e-09
7100,7.44047623513211e-09
7150,7.44047623513211e-09
7200,4.464285652261424e-08
7250,9.920634980176146e-09
7300,2.4801587450440366e-09
7350,8.43253999960325e-08
7400,0.0
7450,0.0
7500,3.472222331879493e-08
7550,7.44047623513211e-09
7600,1.9841269960352292e-08
7650,4.960317490088073e-09
7700,2.232142826130712e-08
7750,4.960317490088073e-09
7800,2.232143003766396e-08
7850,0.0
7900,4.960317490088073e-09
7950,4.960317490088073e-09
8000,0.0
8050,0.0
8100,0.0
8150,7.44047623513211e-09
8200,6.696429011299188e-08
8250,0.0
8300,0.0
8350,2.4801587450440366e-09
8400,2.7281746639573612e-08
8450,1.4880953358442639e-08
8500,4.960317667723757e-08
8550,2.4801587450440366e-09
8600,1.066468229282691e-07
8650,0.0
8700,4.960317490088073e-09
8750,1.488095247026422e-08
8800,2.4801587450440366e-09
8850,0.0
8900,0.0
8950,3.472222331879493e-08
9000,4.7123016599925904e-08
9050,1.9097223002972896e-07
9100,9.920634980176146e-09
9150,3.72023833961066e-08
9200,3.72023833961066e-08
9250,2.4801587450440366e-09
9300,4.960317490088073e-09
9350,0.0
9400,7.44047623513211e-09
9450,9.920634980176146e-09
9500,2.4801587450440366e-09
9550,4.960317490088073e-09
9600,0.0
9650,2.7281746639573612e-08
9700,1.4880953358442639e-08
9750,4.960317667723757e-08
9800,9.672618261902244e-08
9850,2.4801588338618785e-08
9900,9.920634980176146e-09
9950,7.44047623513211e-09
10000,2.7281746639573612e-08
10050,9.920634980176146e-09
10100,4.960317490088073e-09
10150,0.0
10200,2.976190494052844e-08
