step,value
50,1.28331579304225e-12
100,1.205682147002729e-13
150,4.097755121335034e-12
200,1.2361225758261707e-11
250,1.0944978950933049e-10
300,4.0616310315044757e-10
350,1.4466898165532704e-11
400,8.051770361561239e-10
450,1.3551955113655367e-09
500,7.511516582348055e-12
550,4.3039953823154065e-09
600,8.865220557652265e-09
650,4.919133100855788e-09
700,1.0294623820072957e-08
750,1.876983546367228e-08
800,2.98990379121733e-08
850,3.098591605521506e-08
900,4.828151034530492e-08
950,5.091275667723494e-08
1000,4.5087670486054776e-08
1050,6.757466763929187e-08
1100,9.825186886303072e-09
1150,5.169192718312843e-08
1200,8.063135226166196e-08
1250,1.1922580256396031e-07
1300,2.378198971086931e-08
1350,7.277169089547897e-09
1400,1.9661953842842195e-07
1450,1.1859640380862402e-08
1500,1.1515506059822656e-07
1550,1.8655089206731645e-07
1600,5.4918668723757946e-08
1650,7.618739061854285e-08
1700,2.0361449060146697e-07
1750,2.4144213739418774e-07
1800,6.678201458498734e-08
1850,4.661927732740878e-08
1900,4.117078447052336e-07
1950,7.908644050758085e-08
2000,2.93786939664642e-07
2050,7.506995025607921e-09
2100,3.352508315401792e-07
2150,1.0144622564212114e-07
2200,1.1295368196329036e-08
2250,1.425801201548893e-07
2300,6.426608933907119e-08
2350,1.9699437814324483e-07
2400,1.50759717598703e-07
2450,1.3765078676897247e-07
2500,1.9470989798264782e-07
2550,2.0595528837930033e-07
2600,2.4183418645407073e-07
2650,2.727109063016542e-07
2700,3.154965213525429e-07
2750,1.989935682900068e-08
2800,1.848939916726522e-07
2850,1.4126399605629558e-07
2900,3.41770714840095e-07
2950,5.274057457427261e-07
3000,1.4409998527753487e-07
3050,1.221425520725461e-07
3100,1.8800812995323213e-07
3150,1.4260577074765024e-07
3200,5.379734488997201e-07
3250,2.447328029120399e-07
3300,2.0698901437299355e-07
3350,3.089343749707041e-07
3400,2.0130807243390336e-08
3450,7.09832548295708e-08
3500,3.986066303696134e-07
3550,7.96741517206101e-07
3600,1.7748837422004726e-07
3650,1.3662014453075244e-07
3700,4.419225092533452e-07
3750,2.7193414098292124e-07
3800,3.508911561311834e-08
3850,1.1719562564849184e-07
3900,4.680444192217692e-07
3950,2.554109528318804e-07
4000,4.060126741478598e-07
4050,8.494351391163946e-07
4100,1.8520870526117506e-07
4150,1.6006208625185536e-06
4200,5.634742592519615e-07
4250,3.472853791208763e-07
4300,1.041782184074691e-06
4350,4.033558980154339e-07
4400,4.0724935956859554e-07
4450,2.8891765424532423e-08
4500,3.75973137067831e-08
4550,2.8443178479165e-08
4600,4.735676668587985e-07
4650,1.3113406112097437e-06
4700,8.087919241006603e-07
4750,8.093143151199911e-07
4800,8.336442647305375e-07
4850,3.560764980647946e-07
4900,2.0281119361698074e-07
4950,6.498184461634082e-07
5000,1.336734044343757e-06
5050,1.9373527493371512e-07
5100,1.0539257573327632e-06
5150,4.336185952524829e-07
5200,7.907207191237831e-07
5250,1.8338792528993508e-07
5300,1.646433958057969e-07
5350,6.19290403847117e-07
5400,3.5820622201754304e-07
5450,5.357995291888074e-07
5500,8.019111419343972e-07
5550,3.8149195802361646e-07
5600,9.69546022133727e-07
5650,7.219553594950412e-07
5700,5.133986178407213e-06
5750,8.714980026525154e-07
5800,5.034968921791005e-07
5850,7.353199862336623e-07
5900,2.782134629342181e-07
5950,1.6493366956638056e-06
6000,1.1555462720025389e-07
6050,8.824281962915848e-07
6100,1.8380635680159685e-08
6150,1.3132591902831336e-07
6200,1.0191552064497955e-06
6250,1.4260648413255694e-06
6300,4.294118753023213e-06
6350,5.830252689520421e-07
6400,2.066704780645523e-07
6450,4.6654784569000185e-07
6500,2.720111751841614e-06
6550,1.8798887140292209e-06
6600,7.460766369149496e-07
6650,1.536085392217501e-06
6700,5.961019269307144e-07
6750,6.196047479534172e-07
6800,1.0727120525189093e-06
6850,1.988549911402515e-06
6900,1.2109601357224165e-06
6950,4.920888159176684e-07
7000,8.477178994326096e-07
7050,2.2801198156230384e-06
7100,1.0680463446988142e-06
7150,1.1843122820209828e-06
7200,2.3135296345344614e-08
7250,3.6009566883876687e-06
7300,3.076056145800976e-06
7350,6.027384529261326e-07
7400,9.970172953899237e-08
7450,2.543925347708864e-06
7500,1.2576568906297325e-06
7550,8.598811405136075e-07
7600,7.876165000197943e-06
7650,1.3611722806672333e-06
7700,1.6820686141727492e-06
7750,3.0122071166260866e-06
7800,1.9085111944150412e-06
7850,9.975192938327382e-08
7900,7.467096565960674e-06
7950,3.913559339707717e-06
8000,2.428776497254148e-06
8050,1.3539536212192615e-06
8100,1.2655002024075657e-07
8150,6.304010753410694e-07
8200,1.1381269359844737e-05
8250,2.600104380690027e-06
8300,1.3734359072259394e-06
8350,1.419478576281108e-05
8400,2.0642660274461377e-06
8450,4.185742000117898e-06
8500,2.8197591745993122e-05
8550,5.915383098908933e-07
8600,8.079821611772786e-08
8650,9.555776614433853e-07
8700,2.612604475871194e-06
8750,1.136506580223795e-05
8800,5.144034389559238e-07
8850,7.474534413631773e-07
8900,5.7770987041294575e-05
8950,4.236632776155602e-06
9000,6.898736955918139e-06
9050,2.7655162284645485e-06
9100,2.600440893729683e-06
9150,3.531989477778552e-06
9200,2.913740900112316e-06
9250,1.6612799527138122e-06
9300,6.129130838417041e-07
9350,1.825338699745771e-06
9400,9.496739608039206e-07
9450,6.964137810427928e-06
9500,4.461276603251463e-06
9550,9.026157385960687e-07
9600,7.374324013653677e-07
9650,3.376220547579578e-06
9700,3.7932211398583604e-06
9750,8.952687494456768e-06
9800,5.956116638117237e-06
9850,6.5875569816853385e-06
9900,3.21593256558117e-06
9950,4.3649420149449725e-06
10000,3.266229214204941e-06
10050,1.943035385920666e-06
10100,7.4947056418750435e-06
10150,1.0571950951998588e-05
10200,7.072890184645075e-06
10250,6.45479076410993e-06
10300,1.0701660357881337e-05
10350,3.5488901630742475e-06
10400,8.773881745582912e-06
10450,2.7890442311218067e-07
10500,1.3728922567679547e-06
10550,7.324834314204054e-06
10600,1.6116047163450276e-06
10650,4.5439237510436215e-06
10700,9.91070282907458e-06
10750,4.8755796342447866e-06
10800,5.4226261454459745e-06
10850,4.809290112461895e-05
10900,1.662517934164498e-05
10950,1.7797389091356308e-06
11000,1.764849730534479e-05
11050,1.4082024790695868e-05
11100,9.390297236677725e-06
11150,2.0876193502772367e-06
11200,9.168306860374287e-06
11250,2.8706087960017612e-06
11300,9.095307177631184e-06
11350,7.291312158486107e-06
11400,1.404668091709027e-05
11450,5.6687290452828165e-06
11500,1.1602144695643801e-05
11550,4.157926014158875e-06
11600,1.1540659215825144e-05
11650,3.262039172113873e-05
11700,1.7266527720494196e-05
11750,1.0948600902338512e-05
11800,7.301920277313911e-07
11850,1.1061214536312036e-05
11900,1.3789393960905727e-05
11950,3.2182674658542965e-07
12000,1.179103765025502e-05
12050,4.594397614710033e-05
12100,8.54040845297277e-05
12150,8.128865374601446e-06
12200,6.568329263245687e-05
12250,3.5762623156188056e-06
12300,6.946371286176145e-06
12350,5.500266524904873e-06
12400,2.8786453185603023e-05
12450,1.3917649994255044e-05
12500,1.5826752132852562e-05
12550,1.4232254216040019e-05
12600,3.170537456753664e-05
12650,2.4755720460234443e-06
12700,1.3591115020972211e-05
12750,1.2556547517306171e-05
12800,4.1525885308146826e-07
12850,1.6314115782734007e-06
12900,1.3055693671049085e-05
12950,1.789595808077138e-05
13000,1.1011848073394503e-05
13050,5.779720140708378e-06
13100,1.649363912292756e-05
13150,3.368770876477356e-06
13200,3.8505801057908684e-05
13250,2.5337472834507935e-05
13300,3.113012280664407e-05
13350,3.98143456550315e-05
13400,7.078626822476508e-07
13450,2.9167920274630887e-06
13500,3.8006721297279e-05
13550,5.154518930794438e-06
13600,3.272417961852625e-05
13650,2.2328302293317392e-05
13700,1.5131722648220602e-05
13750,5.606585182249546e-05
13800,2.012174627452623e-05
13850,3.709092561621219e-05
13900,1.3782924952465692e-06
13950,5.325250094756484e-05
14000,1.871403947006911e-05
14050,7.178359737736173e-06
14100,8.537153007637244e-06
14150,5.500204497366212e-05
14200,2.00690215024224e-06
14250,6.772303549951175e-06
14300,9.834590855462011e-06
14350,1.4348694094223902e-05
14400,2.6443228762218496e-06
14450,6.993567694735248e-06
14500,4.522898234426975e-05
14550,1.0694569937186316e-05
14600,5.876120849279687e-05
14650,5.284323378873523e-06
14700,9.680423318059184e-06
14750,2.4741997549426742e-05
14800,1.153399807662936e-05
14850,4.976597665518057e-06
14900,4.210446604702156e-06
14950,0.00011103193537564948
15000,1.535925366624724e-05
15050,6.133584975032136e-06
15100,3.470351657597348e-05
15150,2.402246718702372e-05
15200,4.317453931435011e-05
15250,1.1576183169381693e-05
15300,6.250047590583563e-05
15350,8.244322089012712e-05
15400,8.184887701645494e-05
15450,2.0218991267029196e-05
15500,1.0614932762109675e-05
15550,2.959819312309264e-06
15600,5.314783993526362e-05
15650,2.601111918920651e-05
15700,8.245103526860476e-05
15750,5.9554145991569385e-05
15800,0.00014803252997808158
15850,1.713968231342733e-05
15900,6.99614392942749e-05
15950,2.398901415290311e-05
16000,0.00011227789946133271
16050,1.2432268704287708e-05
16100,5.3154060879023746e-05
16150,7.91009224485606e-05
16200,3.103491690126248e-05
16250,4.921829895465635e-05
16300,2.2344438548316248e-05
16350,7.345170160988346e-05
16400,7.048973202472553e-05
16450,8.17905311123468e-05
16500,3.460148582234979e-05
16550,7.843587809475139e-05
16600,3.673425817396492e-05
16650,4.7823861677898094e-05
16700,6.922549073351547e-05
16750,5.862327816430479e-05
16800,0.0001471636351197958
16850,1.0057483450509608e-05
16900,0.00011311133857816458
16950,0.00013898807810619473
17000,8.337938197655603e-05
17050,7.102212111931294e-05
17100,0.00012925631017424166
17150,0.00017779659538064152
17200,5.908944149268791e-05
17250,0.00015808614261914045
17300,6.676709017483518e-05
17350,8.541787246940657e-05
17400,0.00010837406443897635
17450,5.7954905059887096e-05
17500,2.8982811272726394e-05
17550,5.026846338296309e-05
17600,0.00017927750013768673
17650,6.567020318470895e-05
17700,4.7069992433534935e-05
17750,8.489228093822021e-06
17800,3.9155016565928236e-05
17850,1.7902613762998953e-05
17900,5.9854723076568916e-05
17950,3.601389551022294e-07
18000,3.265755367465317e-05
18050,7.116913184290752e-05
18100,8.594974497100338e-05
18150,0.00013319020217750221
18200,0.00013674267393071204
18250,2.2933269065106288e-05
18300,3.169650517520495e-05
18350,0.00010009583638748154
18400,5.132065780344419e-05
18450,7.570614252472296e-05
18500,7.674581866012886e-05
18550,6.329970346996561e-05
18600,0.00016453598800580949
18650,6.438745185732841e-05
18700,0.0002102695725625381
18750,0.00015123347111511976
18800,2.0488996597123332e-05
18850,0.00018741469830274582
18900,6.825320451753214e-05
18950,5.1716750022023916e-05
19000,2.9492657631635666e-06
19050,9.258718819182832e-06
19100,0.00011688609811244532
19150,0.00015440816059708595
19200,4.1239694837713614e-05
19250,8.510667976224795e-05
19300,1.1256491234235e-05
19350,3.468800423434004e-05
19400,0.00039862041012384
19450,0.0001360292371828109
19500,8.187824278138578e-06
19550,5.5153828725451604e-05
19600,0.000175770022906363
19650,0.00011603911843849346
19700,4.081719453097321e-05
19750,0.00020425893308129162
19800,1.1555100172699895e-05
19850,0.00010565151751507074
19900,3.223195380996913e-05
19950,0.00010571200255071744
20000,2.1634499717038125e-05
20050,2.320633029739838e-06
20100,1.290195359615609e-05
20150,9.23484840313904e-05
20200,0.00022293275105766952
20250,7.299365097424015e-05
20300,0.0003744045097846538
20350,1.6709769624867477e-05
20400,2.91633091364929e-06
20450,0.0002535783569328487
20500,0.00010852967534447089
20550,0.00025664750137366354
20600,0.00015365298895630985
20650,0.00018381582049187273
20700,5.160259024705738e-05
20750,0.00019155838526785374
20800,3.7617323869199026e-06
20850,0.00020734006830025464
20900,0.0003799254191108048
20950,3.9775863115210086e-05
21000,0.0001256494433619082
21050,0.00024346550344489515
21100,0.00017429975559934974
21150,5.007508661947213e-05
21200,0.0002591855882201344
21250,0.00018561042088549584
21300,9.916337148752064e-05
21350,7.06375139998272e-05
21400,1.3036087693762966e-06
21450,0.0005539659759961069
21500,0.00010318774002371356
21550,3.543589627952315e-05
21600,0.00017559925618115813
21650,1.971327264982392e-06
21700,7.280912541318685e-05
21750,0.000268436037003994
21800,5.1190549129387364e-05
21850,5.979846173431724e-05
21900,0.00010434293653815985
21950,0.000280233274679631
22000,6.416478572646156e-05
22050,0.00019608961883932352
22100,0.0002818642242345959
22150,0.00018946554337162524
22200,0.0001605639117769897
22250,7.407084194710478e-05
22300,0.00011480787361506373
22350,8.82642634678632e-05
22400,0.0002112507791025564
22450,0.00012419931590557098
22500,0.0002632121613714844
22550,0.0006126486114226282
22600,1.6875799701665528e-05
22650,2.8668788218055852e-05
22700,0.00021647571702487767
22750,0.00012587201490532607
22800,9.026273619383574e-05
22850,8.784017700236291e-05
22900,0.00010858222958631814
22950,0.00010492049477761611
23000,2.2470028852694668e-05
23050,6.209598359419033e-05
23100,0.00041106215212494135
23150,0.00013664037396665663
23200,8.782410986896139e-06
23250,9.231606964021921e-05
23300,5.527693065232597e-05
23350,4.3370178900659084e-05
23400,0.000247956661041826
23450,0.00013233872596174479
23500,3.964103598264046e-05
23550,0.0002855208294931799
23600,2.3919566956465133e-05
23650,6.695435877190903e-05
23700,0.00015730429731775075
23750,6.929635856067762e-05
23800,0.00011524475121404976
23850,3.265507984906435e-05
23900,6.832530198153108e-05
23950,0.00019622054242063314
24000,0.0005059397662989795
24050,0.00010305501200491562
24100,0.0003008588682860136
24150,5.400609006755985e-05
24200,4.349219670984894e-05
24250,6.887414929224178e-05
24300,0.00012950596283189952
24350,3.227703564334661e-05
24400,0.00010025049414252862
24450,0.00018958098371513188
24500,2.3361875719274394e-05
24550,0.0001609714818187058
24600,0.0005353748565539718
24650,7.155384810175747e-05
24700,6.154851871542633e-05
24750,3.3057476684916764e-05
24800,2.0704927010228857e-05
24850,5.316704118740745e-05
24900,0.000150968277011998
24950,8.438508666586131e-05
25000,0.00021018627739977092
