step,value
50,314819.0
100,314819.0
150,314819.0
200,314819.0
250,314819.0
300,314819.0
350,314819.0
400,314819.0
450,314819.0
500,314819.0
550,314819.0
600,314819.0
650,314819.0
700,314819.0
750,314819.0
800,314819.0
850,314819.0
900,314819.0
950,314819.0
1000,314819.0
1050,314819.0
1100,314819.0
1150,314819.0
1200,314819.0
1250,314819.0
1300,314819.0
1350,314819.0
1400,314819.0
1450,314819.0
1500,314819.0
1550,314819.0
1600,314819.0
1650,314819.0
1700,314819.0
1750,314819.0
1800,314819.0
1850,314819.0
1900,314819.0
1950,314819.0
2000,314819.0
2050,314819.0
2100,314819.0
2150,314819.0
2200,314819.0
2250,314819.0
2300,314819.0
2350,314819.0
2400,314819.0
2450,314819.0
2500,314819.0
2550,314819.0
2600,314819.0
2650,314819.0
2700,314819.0
2750,314819.0
2800,314819.0
2850,314819.0
2900,314819.0
2950,314819.0
3000,314819.0
3050,314819.0
3100,314819.0
3150,314819.0
3200,314819.0
3250,314819.0
3300,314819.0
3350,314819.0
3400,314819.0
3450,314819.0
3500,314819.0
3550,314819.0
3600,314819.0
3650,314819.0
3700,314819.0
3750,314819.0
3800,314819.0
3850,314819.0
3900,314819.0
3950,314819.0
4000,314819.0
4050,314819.0
4100,314819.0
4150,314819.0
4200,314819.0
4250,314819.0
4300,314819.0
4350,314819.0
4400,314819.0
4450,314819.0
4500,314819.0
4550,314819.0
4600,314819.0
4650,314819.0
4700,314819.0
4750,314819.0
4800,314819.0
4850,314819.0
4900,314819.0
4950,314819.0
5000,314819.0
5050,314819.0
5100,314819.0
5150,314819.0
5200,314819.0
5250,314819.0
5300,314819.0
5350,314819.0
5400,314819.0
5450,314819.0
5500,314819.0
5550,314819.0
5600,314819.0
5650,314819.0
5700,314819.0
5750,314819.0
5800,314819.0
5850,314819.0
5900,314819.0
5950,314819.0
6000,314819.0
6050,314819.0
6100,314819.0
6150,314819.0
6200,314819.0
6250,314819.0
6300,314819.0
6350,314819.0
6400,314819.0
6450,314819.0
6500,314819.0
6550,314819.0
6600,314819.0
6650,314819.0
6700,314819.0
6750,314819.0
6800,314819.0
6850,314819.0
6900,314819.0
6950,314819.0
7000,314819.0
7050,314819.0
7100,314819.0
7150,314819.0
7200,314819.0
7250,314819.0
7300,314819.0
7350,314819.0
7400,314819.0
7450,314819.0
7500,314819.0
7550,314819.0
7600,314819.0
7650,314819.0
7700,314819.0
7750,314819.0
7800,314819.0
7850,314819.0
7900,314819.0
7950,314819.0
8000,314819.0
8050,314819.0
8100,314819.0
8150,314819.0
8200,314819.0
8250,314819.0
8300,314819.0
8350,314819.0
8400,314819.0
8450,314819.0
8500,314819.0
8550,314819.0
8600,314819.0
8650,314819.0
8700,314819.0
8750,314819.0
8800,314819.0
8850,314819.0
8900,314819.0
8950,314819.0
9000,314819.0
9050,314819.0
9100,314819.0
9150,314819.0
9200,314819.0
9250,314819.0
9300,314819.0
9350,314819.0
9400,314819.0
9450,314819.0
9500,314819.0
9550,314819.0
9600,314819.0
9650,314819.0
9700,314819.0
9750,314819.0
9800,314819.0
9850,314819.0
9900,314819.0
9950,314819.0
10000,314819.0
10050,314819.0
10100,314819.0
10150,314819.0
10200,314819.0
10250,314819.0
10300,314819.0
10350,314819.0
10400,314819.0
10450,314819.0
10500,314819.0
10550,314819.0
10600,314819.0
10650,314819.0
10700,314819.0
10750,314819.0
10800,314819.0
10850,314819.0
10900,314819.0
10950,314819.0
11000,314819.0
11050,314819.0
11100,314819.0
11150,314819.0
11200,314819.0
11250,314819.0
11300,314819.0
11350,314819.0
11400,314819.0
11450,314819.0
11500,314819.0
11550,314819.0
11600,314819.0
11650,314819.0
11700,314819.0
11750,314819.0
11800,314819.0
11850,314819.0
11900,314819.0
11950,314819.0
12000,314819.0
12050,314819.0
12100,314819.0
12150,314819.0
12200,314819.0
12250,314819.0
12300,314819.0
12350,314819.0
12400,314819.0
12450,314819.0
12500,314819.0
12550,314819.0
12600,314819.0
12650,314819.0
12700,314819.0
12750,314819.0
12800,314819.0
12850,314819.0
12900,314819.0
12950,314819.0
13000,314819.0
13050,314819.0
13100,314819.0
13150,314819.0
13200,314456.0
13250,314456.0
13300,314456.0
13350,314456.0
13400,314456.0
13450,314456.0
13500,314456.0
13550,314456.0
13600,314456.0
13650,314456.0
13700,314456.0
13750,314456.0
13800,314456.0
13850,314456.0
13900,314456.0
13950,314456.0
14000,314456.0
14050,314456.0
14100,314456.0
14150,314456.0
14200,314456.0
14250,314456.0
14300,314456.0
14350,314456.0
14400,314456.0
14450,314456.0
14500,314456.0
14550,314456.0
14600,314456.0
14650,314456.0
14700,314456.0
14750,314456.0
14800,314456.0
14850,314456.0
14900,314456.0
14950,314456.0
15000,314456.0
15050,314456.0
15100,314456.0
15150,314456.0
15200,314456.0
15250,314456.0
15300,314456.0
15350,314456.0
15400,314456.0
15450,314456.0
15500,314456.0
15550,314456.0
15600,314456.0
15650,314456.0
15700,314456.0
15750,314456.0
15800,314456.0
15850,314456.0
15900,314456.0
15950,314456.0
16000,314456.0
16050,314456.0
16100,314456.0
16150,314456.0
16200,314456.0
16250,314456.0
16300,314456.0
16350,314456.0
16400,314456.0
16450,314456.0
16500,314456.0
16550,314456.0
16600,314456.0
16650,314456.0
16700,314456.0
16750,314456.0
16800,314456.0
16850,314456.0
16900,314456.0
16950,314456.0
17000,314456.0
17050,314456.0
17100,314456.0
17150,314456.0
17200,314456.0
17250,314456.0
17300,314456.0
17350,314456.0
17400,314456.0
17450,314456.0
17500,314456.0
17550,314456.0
17600,314456.0
17650,314456.0
17700,314456.0
17750,314456.0
17800,314456.0
17850,314456.0
17900,314456.0
17950,314456.0
18000,314456.0
18050,314456.0
18100,314456.0
18150,314456.0
18200,314456.0
18250,314456.0
18300,314456.0
18350,314456.0
18400,314456.0
18450,314456.0
18500,314456.0
18550,314456.0
18600,314456.0
18650,314456.0
18700,314456.0
18750,314456.0
18800,314456.0
18850,314456.0
18900,314456.0
18950,314456.0
19000,314456.0
19050,314456.0
19100,314456.0
19150,314456.0
19200,314456.0
19250,314456.0
19300,314456.0
19350,314456.0
19400,314456.0
19450,314456.0
19500,314456.0
19550,314456.0
19600,314456.0
19650,314456.0
19700,314456.0
19750,314456.0
19800,314456.0
19850,314456.0
19900,314456.0
19950,314456.0
20000,314456.0
20050,314456.0
20100,314456.0
20150,314456.0
20200,314456.0
20250,314456.0
20300,314456.0
20350,300713.0
20400,300713.0
20450,300713.0
20500,300713.0
20550,300713.0
20600,300713.0
20650,300713.0
20700,300713.0
20750,300713.0
20800,300713.0
20850,300713.0
20900,300713.0
20950,300713.0
21000,300713.0
21050,300713.0
21100,300713.0
21150,300713.0
21200,300713.0
21250,300713.0
21300,300713.0
21350,300713.0
21400,300713.0
21450,300713.0
21500,300713.0
21550,300713.0
21600,300713.0
21650,300713.0
21700,300713.0
21750,300713.0
21800,300713.0
21850,300713.0
21900,300713.0
21950,300713.0
22000,300713.0
22050,300713.0
22100,300713.0
22150,300713.0
22200,300713.0
22250,300713.0
22300,300713.0
22350,300713.0
22400,300713.0
22450,300713.0
22500,300713.0
22550,300713.0
22600,300713.0
22650,300713.0
22700,300713.0
22750,300713.0
22800,300713.0
22850,300713.0
22900,300713.0
22950,300713.0
23000,300713.0
23050,300713.0
23100,300713.0
23150,300713.0
23200,300713.0
23250,300713.0
23300,300713.0
23350,300713.0
23400,300713.0
23450,300713.0
23500,300713.0
23550,300713.0
23600,300713.0
23650,300713.0
23700,300713.0
23750,300713.0
23800,300713.0
23850,300713.0
23900,300713.0
23950,300713.0
24000,300713.0
24050,300713.0
24100,300713.0
24150,300713.0
24200,300713.0
24250,300713.0
24300,300713.0
24350,300713.0
24400,300713.0
24450,300713.0
24500,300713.0
24550,300713.0
24600,300713.0
24650,300713.0
24700,300713.0
24750,300713.0
24800,300713.0
24850,300713.0
24900,300713.0
24950,300713.0
25000,300713.0
