step,value
50,301056.0
100,301056.0
150,301056.0
200,301056.0
250,301056.0
300,301056.0
350,301056.0
400,301056.0
450,301056.0
500,301056.0
550,301056.0
600,301056.0
650,301056.0
700,301056.0
750,301056.0
800,301056.0
850,301056.0
900,301056.0
950,301056.0
1000,301056.0
1050,301056.0
1100,301056.0
1150,301056.0
1200,301056.0
1250,301056.0
1300,301056.0
1350,301056.0
1400,301056.0
1450,301056.0
1500,301056.0
1550,301056.0
1600,301056.0
1650,301056.0
1700,301056.0
1750,301056.0
1800,301056.0
1850,301056.0
1900,301056.0
1950,301056.0
2000,301056.0
2050,301056.0
2100,301056.0
2150,301056.0
2200,301056.0
2250,301056.0
2300,301056.0
2350,301056.0
2400,301056.0
2450,301056.0
2500,301056.0
2550,301056.0
2600,301056.0
2650,301056.0
2700,301056.0
2750,301056.0
2800,301056.0
2850,301056.0
2900,301056.0
2950,301056.0
3000,301056.0
3050,301056.0
3100,301056.0
3150,301056.0
3200,301056.0
3250,301056.0
3300,301056.0
3350,301056.0
3400,301056.0
3450,301056.0
3500,301056.0
3550,301056.0
3600,301056.0
3650,301056.0
3700,301056.0
3750,301056.0
3800,301056.0
3850,301056.0
3900,301056.0
3950,301056.0
4000,301056.0
4050,301056.0
4100,301056.0
4150,301056.0
4200,301056.0
4250,301056.0
4300,301056.0
4350,301056.0
4400,301056.0
4450,301056.0
4500,301056.0
4550,301056.0
4600,301056.0
4650,301056.0
4700,301056.0
4750,301056.0
4800,301056.0
4850,301056.0
4900,301056.0
4950,301056.0
5000,301056.0
5050,301056.0
5100,301056.0
5150,301056.0
5200,301056.0
5250,301056.0
5300,301056.0
5350,301056.0
5400,301056.0
5450,301056.0
5500,301056.0
5550,301056.0
5600,301056.0
5650,301056.0
5700,301056.0
5750,301056.0
5800,301056.0
5850,301056.0
5900,301056.0
5950,301056.0
6000,301056.0
6050,301056.0
6100,301056.0
6150,301056.0
6200,301056.0
6250,301056.0
6300,301056.0
6350,301056.0
6400,301056.0
6450,301056.0
6500,301056.0
6550,301056.0
6600,301056.0
6650,301056.0
6700,301056.0
6750,301056.0
6800,301056.0
6850,301056.0
6900,301056.0
6950,301056.0
7000,301056.0
7050,301056.0
7100,301056.0
7150,301056.0
7200,301056.0
7250,301056.0
7300,301056.0
7350,301056.0
7400,301056.0
7450,301056.0
7500,301056.0
7550,301056.0
7600,301056.0
7650,301056.0
7700,301056.0
7750,301056.0
7800,301056.0
7850,301056.0
7900,301056.0
7950,301056.0
