step,value
50,23251975168.0
100,23251975168.0
150,23251975168.0
200,23251975168.0
250,23251975168.0
300,23251975168.0
350,23251975168.0
400,23251975168.0
450,23251975168.0
500,23251975168.0
550,23251975168.0
600,23251975168.0
650,23251975168.0
700,23251975168.0
750,23251975168.0
800,23251975168.0
850,23251975168.0
900,23251975168.0
950,23251975168.0
1000,23251975168.0
1050,23251975168.0
1100,23251975168.0
1150,23251975168.0
1200,23251975168.0
1250,23251975168.0
1300,23251975168.0
1350,23251975168.0
1400,23251975168.0
1450,23251975168.0
1500,23251975168.0
1550,23251975168.0
1600,23251975168.0
1650,23251975168.0
1700,23251975168.0
1750,23251975168.0
1800,23251975168.0
1850,23251975168.0
1900,23251975168.0
1950,23251975168.0
2000,23251975168.0
2050,23251975168.0
2100,23251975168.0
2150,23251975168.0
2200,23251975168.0
2250,23251975168.0
2300,23251975168.0
2350,23251975168.0
2400,23251975168.0
2450,23251975168.0
2500,23251975168.0
2550,23251975168.0
2600,23251975168.0
2650,23251975168.0
2700,23251975168.0
2750,23251975168.0
2800,23251975168.0
2850,23251975168.0
2900,23251975168.0
2950,23251975168.0
3000,23251975168.0
3050,23251975168.0
3100,23251975168.0
3150,23251975168.0
3200,23251975168.0
3250,23251975168.0
3300,23251975168.0
3350,23251975168.0
3400,23251975168.0
3450,23251975168.0
3500,23251975168.0
3550,23251975168.0
3600,23251975168.0
3650,23251975168.0
3700,23251975168.0
3750,23251975168.0
3800,23251975168.0
3850,23251975168.0
3900,23251975168.0
3950,23251975168.0
4000,23251975168.0
4050,23251975168.0
4100,23251975168.0
4150,23251975168.0
4200,23251975168.0
4250,23251975168.0
4300,23251975168.0
4350,23251975168.0
4400,23251975168.0
4450,23251975168.0
4500,23251975168.0
4550,23251975168.0
4600,23251975168.0
4650,23251975168.0
4700,23251975168.0
4750,23251975168.0
4800,23251975168.0
4850,23251975168.0
4900,23251975168.0
4950,23251975168.0
5000,23251975168.0
5050,23251975168.0
5100,23251975168.0
5150,23251975168.0
5200,23251975168.0
5250,23251975168.0
5300,23251975168.0
5350,23251975168.0
5400,23251975168.0
5450,23251975168.0
5500,23251975168.0
5550,23251975168.0
5600,23251975168.0
5650,23251975168.0
5700,23251975168.0
5750,23251975168.0
5800,23251975168.0
5850,23251975168.0
5900,23251975168.0
5950,23251975168.0
6000,23251975168.0
6050,23251975168.0
6100,23251975168.0
6150,23251975168.0
6200,23251975168.0
6250,23251975168.0
6300,23251975168.0
6350,23251975168.0
6400,23251975168.0
6450,23251975168.0
6500,23251975168.0
6550,23251975168.0
6600,23444815872.0
6650,23444815872.0
6700,23444815872.0
6750,23444815872.0
6800,23444815872.0
6850,23444815872.0
6900,23444815872.0
6950,23444815872.0
7000,23444815872.0
7050,23444815872.0
7100,23444815872.0
7150,23444815872.0
7200,23444815872.0
7250,23444815872.0
7300,23444815872.0
7350,23444815872.0
7400,23444815872.0
7450,23444815872.0
7500,23444815872.0
7550,23444815872.0
7600,23444815872.0
7650,23444815872.0
7700,23444815872.0
7750,23444815872.0
7800,23444815872.0
7850,23444815872.0
7900,23444815872.0
7950,23444815872.0
8000,23444815872.0
8050,23444815872.0
8100,23444815872.0
8150,23444815872.0
8200,23444815872.0
8250,23444815872.0
8300,23444815872.0
8350,23444815872.0
8400,23444815872.0
8450,23444815872.0
8500,23444815872.0
8550,23444815872.0
8600,23444815872.0
8650,23444815872.0
8700,23444815872.0
8750,23444815872.0
8800,23444815872.0
8850,23444815872.0
8900,23444815872.0
8950,23444815872.0
9000,23444815872.0
9050,23444815872.0
9100,23444815872.0
9150,23444815872.0
9200,23444815872.0
9250,23444815872.0
9300,23444815872.0
9350,23444815872.0
9400,23444815872.0
9450,23444815872.0
9500,23444815872.0
9550,23444815872.0
9600,23444815872.0
9650,23444815872.0
9700,23444815872.0
9750,23444815872.0
9800,23444815872.0
9850,23444815872.0
9900,23444815872.0
9950,23444815872.0
10000,23444815872.0
10050,23444815872.0
10100,23444815872.0
10150,23444815872.0
10200,23444815872.0
10250,23444815872.0
10300,23444815872.0
10350,23444815872.0
10400,23444815872.0
10450,23444815872.0
10500,23444815872.0
10550,23444815872.0
10600,23444815872.0
10650,23444815872.0
10700,23444815872.0
10750,23444815872.0
10800,23444815872.0
10850,23444815872.0
10900,23444815872.0
10950,23444815872.0
11000,23444815872.0
11050,23444815872.0
11100,23444815872.0
11150,23444815872.0
11200,23444815872.0
11250,23444815872.0
11300,23444815872.0
11350,23444815872.0
11400,23444815872.0
11450,23444815872.0
11500,23444815872.0
11550,23444815872.0
11600,23444815872.0
11650,23444815872.0
11700,23444815872.0
11750,23444815872.0
11800,23444815872.0
11850,23444815872.0
11900,23444815872.0
11950,23444815872.0
12000,23444815872.0
12050,23444815872.0
12100,23444815872.0
12150,23444815872.0
12200,23444815872.0
12250,23444815872.0
12300,23444815872.0
12350,23444815872.0
12400,23444815872.0
12450,23444815872.0
12500,23444815872.0
12550,23444815872.0
12600,23444815872.0
12650,23444815872.0
12700,23444815872.0
12750,23444815872.0
12800,23444815872.0
12850,23444815872.0
12900,23444815872.0
12950,23444815872.0
13000,23444815872.0
13050,23444815872.0
13100,23444815872.0
13150,23444815872.0
13200,23444815872.0
13250,23444815872.0
13300,23444815872.0
13350,23444815872.0
13400,23444815872.0
13450,23444815872.0
13500,23444815872.0
13550,23444815872.0
13600,23444815872.0
13650,23444815872.0
13700,23444815872.0
13750,23444815872.0
13800,23444815872.0
13850,23444815872.0
13900,23444815872.0
13950,23444815872.0
14000,23444815872.0
14050,23444815872.0
14100,23444815872.0
14150,23444815872.0
14200,23444815872.0
14250,23444815872.0
14300,23444815872.0
14350,23444815872.0
14400,23444815872.0
14450,23444815872.0
14500,23444815872.0
14550,23444815872.0
14600,23444815872.0
14650,23444815872.0
14700,23444815872.0
14750,23444815872.0
14800,23444815872.0
14850,23444815872.0
14900,23444815872.0
14950,23444815872.0
15000,23444815872.0
15050,23444815872.0
15100,23444815872.0
15150,23444815872.0
15200,23444815872.0
15250,23444815872.0
15300,23444815872.0
15350,23444815872.0
15400,23444815872.0
15450,23444815872.0
15500,23444815872.0
15550,23444815872.0
15600,23444815872.0
15650,23444815872.0
15700,23444815872.0
15750,23444815872.0
15800,23444815872.0
15850,23444815872.0
15900,23444815872.0
15950,23444815872.0
16000,23444815872.0
16050,23444815872.0
16100,23444815872.0
16150,23444815872.0
16200,23444815872.0
16250,23444815872.0
16300,23444815872.0
16350,23444815872.0
16400,23444815872.0
16450,23444815872.0
16500,23444815872.0
16550,23444815872.0
16600,23444815872.0
16650,23444815872.0
16700,23444815872.0
16750,23444815872.0
16800,23444815872.0
16850,23444815872.0
16900,23444815872.0
16950,23444815872.0
17000,23444815872.0
17050,23444815872.0
17100,23444815872.0
17150,23444815872.0
17200,23444815872.0
17250,23444815872.0
17300,23444815872.0
17350,23444815872.0
17400,23444815872.0
17450,23444815872.0
17500,23444815872.0
17550,23444815872.0
17600,23444815872.0
17650,23444815872.0
17700,23444815872.0
17750,23444815872.0
17800,23444815872.0
17850,23444815872.0
17900,23444815872.0
17950,23444815872.0
18000,23444815872.0
18050,23444815872.0
18100,23444815872.0
18150,23444815872.0
18200,23444815872.0
18250,23444815872.0
18300,23444815872.0
18350,23444815872.0
18400,23444815872.0
18450,23444815872.0
18500,23444815872.0
18550,23444815872.0
18600,23444815872.0
18650,23444815872.0
18700,23444815872.0
18750,23444815872.0
18800,23444815872.0
18850,23444815872.0
18900,23444815872.0
18950,23444815872.0
19000,23444815872.0
19050,23444815872.0
19100,23444815872.0
19150,23444815872.0
19200,23444815872.0
19250,23444815872.0
19300,23444815872.0
19350,23444815872.0
19400,23444815872.0
19450,23444815872.0
19500,23444815872.0
19550,23444815872.0
19600,23444815872.0
19650,23444815872.0
19700,23444815872.0
19750,23444815872.0
19800,23444815872.0
19850,23444815872.0
19900,23444815872.0
19950,23444815872.0
20000,23444815872.0
20050,23444815872.0
20100,23444815872.0
20150,23444815872.0
20200,23444815872.0
20250,23444815872.0
20300,23444815872.0
20350,23444815872.0
20400,23444815872.0
20450,23444815872.0
20500,23444815872.0
20550,23444815872.0
20600,23444815872.0
20650,23444815872.0
20700,23444815872.0
20750,23444815872.0
20800,23444815872.0
20850,23444815872.0
20900,23444815872.0
20950,23444815872.0
21000,23444815872.0
21050,23444815872.0
21100,23444815872.0
21150,23444815872.0
21200,23444815872.0
21250,23444815872.0
21300,23444815872.0
21350,23444815872.0
21400,23444815872.0
21450,23444815872.0
21500,23444815872.0
21550,23444815872.0
21600,23444815872.0
21650,23444815872.0
21700,23444815872.0
21750,23444815872.0
21800,23444815872.0
21850,23444815872.0
21900,23444815872.0
21950,23444815872.0
22000,23444815872.0
22050,23444815872.0
22100,23444815872.0
22150,23444815872.0
22200,23444815872.0
22250,23444815872.0
22300,23444815872.0
22350,23444815872.0
22400,23444815872.0
22450,23444815872.0
22500,23444815872.0
22550,23444815872.0
22600,23444815872.0
22650,23444815872.0
22700,23444815872.0
22750,23444815872.0
22800,23444815872.0
22850,23444815872.0
22900,23444815872.0
22950,23444815872.0
23000,23444815872.0
23050,23444815872.0
23100,23444815872.0
23150,23444815872.0
23200,23444815872.0
23250,23444815872.0
23300,23444815872.0
23350,23444815872.0
23400,23444815872.0
23450,23444815872.0
23500,23444815872.0
23550,23444815872.0
23600,23444815872.0
23650,23444815872.0
23700,23444815872.0
23750,23444815872.0
23800,23444815872.0
23850,23444815872.0
23900,23444815872.0
23950,23444815872.0
24000,23444815872.0
24050,23444177920.0
24100,23444177920.0
24150,23444177920.0
24200,23444177920.0
24250,23444177920.0
24300,23444177920.0
24350,23444177920.0
24400,23444177920.0
24450,23444177920.0
24500,23444177920.0
24550,23444177920.0
24600,23444177920.0
24650,23444177920.0
24700,23444177920.0
24750,23444177920.0
24800,23444177920.0
24850,23444177920.0
24900,23444177920.0
24950,23444177920.0
25000,23444177920.0
