step,value
50,25828524032.0
100,25828524032.0
150,25828524032.0
200,25828524032.0
250,25828524032.0
300,25828524032.0
350,25828524032.0
400,25828524032.0
450,25828524032.0
500,25828524032.0
550,25828524032.0
600,25828524032.0
650,25828524032.0
700,25828524032.0
750,25828524032.0
800,25828524032.0
850,25828524032.0
900,25828524032.0
950,25828524032.0
1000,25828524032.0
1050,25828524032.0
1100,25828524032.0
1150,25828524032.0
1200,25828524032.0
1250,25828524032.0
1300,25828524032.0
1350,25828524032.0
1400,25828524032.0
1450,25828524032.0
1500,25828524032.0
1550,25828524032.0
1600,25828524032.0
1650,25828524032.0
1700,25828524032.0
1750,25828524032.0
1800,25828524032.0
1850,25828524032.0
1900,25828524032.0
1950,25828524032.0
2000,25828524032.0
2050,25828524032.0
2100,25828524032.0
2150,25828524032.0
2200,25828524032.0
2250,25828524032.0
2300,25828524032.0
2350,25828524032.0
2400,25828524032.0
2450,25828524032.0
2500,25828524032.0
2550,25828524032.0
2600,25828524032.0
2650,25828524032.0
2700,25828524032.0
2750,25828524032.0
2800,25828524032.0
2850,25828524032.0
2900,25828524032.0
2950,25828524032.0
3000,25828524032.0
3050,25828524032.0
3100,25828524032.0
3150,25828524032.0
3200,25828524032.0
3250,25828524032.0
3300,25828524032.0
3350,25828524032.0
3400,25828524032.0
3450,25828524032.0
3500,25828524032.0
3550,25828524032.0
3600,25828524032.0
3650,25828524032.0
3700,25828524032.0
3750,25828524032.0
3800,25828524032.0
3850,25828524032.0
3900,25828524032.0
3950,25828524032.0
4000,25828524032.0
4050,25828524032.0
4100,25828524032.0
4150,25828524032.0
4200,25828524032.0
4250,25828524032.0
4300,25828524032.0
4350,25828524032.0
4400,25828524032.0
4450,25828524032.0
4500,25828524032.0
4550,25828524032.0
4600,25828524032.0
4650,25828524032.0
4700,25828524032.0
4750,25828524032.0
4800,25828524032.0
4850,25828524032.0
4900,25828524032.0
4950,25828524032.0
5000,25828524032.0
5050,25828524032.0
5100,25828524032.0
5150,25828524032.0
5200,25828524032.0
5250,25828524032.0
5300,25828524032.0
5350,25828524032.0
