step,value
50,0.019454896450042725
100,0.008420607075095177
150,0.0027540281880646944
200,0.0010904314694926143
250,0.0003330383915454149
300,0.00010845783981494606
350,8.036020881263539e-05
400,6.076303179725073e-05
450,2.737031172728166e-05
500,1.3506813957064878e-05
550,1.0177423973800614e-05
600,7.366314548562514e-06
650,8.1108355516335e-06
700,8.289699508168269e-06
750,7.942027878016233e-06
800,8.62443630467169e-06
850,8.608391908637714e-06
900,8.568378689233214e-06
950,6.113738436397398e-06
1000,5.9611775213852525e-06
1050,6.51076834401465e-06
1100,5.515541033673799e-06
1150,4.623514541890472e-06
1200,4.224265012453543e-06
1250,4.9596073949942365e-06
1300,5.783733286079951e-06
1350,5.860134933755035e-06
1400,4.899685791315278e-06
1450,3.5376017422095174e-06
1500,3.1770091482030693e-06
1550,3.423402858970803e-06
1600,5.49651986148092e-06
1650,5.609854270005599e-06
1700,3.762938149520778e-06
1750,3.055014303754433e-06
1800,3.61419256478257e-06
1850,4.430959052115213e-06
1900,4.702360911323922e-06
1950,5.98459928369266e-06
2000,3.617693664637045e-06
2050,2.8859233225375647e-06
2100,3.826990905508865e-06
2150,3.707139057951281e-06
2200,4.771658950630808e-06
2250,5.0072867452399805e-06
2300,5.143199814483523e-06
2350,6.2184922171582e-06
2400,5.467468326969538e-06
2450,5.448925548989791e-06
2500,5.797129233542364e-06
2550,4.1916159716492984e-06
2600,4.536606866167858e-06
2650,4.1679204514366575e-06
2700,3.7796937704115408e-06
2750,3.7727563722000923e-06
2800,4.690225068770815e-06
2850,6.52079188512289e-06
2900,5.6256317293446045e-06
2950,6.369900802383199e-06
3000,4.842076577915577e-06
3050,4.018643267045263e-06
3100,4.769266070070444e-06
3150,4.544324838207103e-06
3200,6.797364221711177e-06
3250,7.4499903348623775e-06
3300,6.35258265901939e-06
3350,6.122001195763005e-06
3400,6.515316272270866e-06
3450,6.7353012127568945e-06
3500,7.06773198544397e-06
3550,8.307498319481965e-06
3600,7.63199568609707e-06
3650,1.0089657735079527e-05
3700,1.0041678251582198e-05
3750,1.0046364877780434e-05
3800,1.1409329090383835e-05
3850,1.1208099749637768e-05
3900,1.2860737115261145e-05
3950,1.082295329979388e-05
4000,1.2952492397744209e-05
4050,1.3326625776244327e-05
4100,1.513640472694533e-05
4150,1.3762767594016623e-05
4200,1.5487645214307122e-05
4250,1.5004230590420775e-05
4300,2.1549862140091136e-05
4350,1.5150424587773159e-05
4400,1.8466353139956482e-05
4450,1.7685040802462026e-05
4500,1.8265456674271263e-05
4550,2.2685389922116883e-05
4600,2.0358689653221518e-05
4650,1.996142600546591e-05
4700,2.1415868104668334e-05
4750,2.409245826129336e-05
4800,2.6989055186277255e-05
4850,2.4097114874166436e-05
4900,2.066239176201634e-05
4950,2.1367910449043848e-05
5000,2.5019548047566786e-05
5050,2.33269438467687e-05
5100,2.2225978682399727e-05
5150,2.719641815929208e-05
5200,2.8155161999166012e-05
5250,2.7060714273829944e-05
5300,2.74339436145965e-05
5350,2.532383950892836e-05
5400,2.226423930551391e-05
5450,2.969177694467362e-05
5500,2.6171821446041577e-05
5550,2.798733112285845e-05
5600,2.800871334329713e-05
5650,3.2151434425031766e-05
5700,2.4858058168319985e-05
5750,2.536940883146599e-05
5800,2.4524675609427504e-05
5850,2.9063370675430633e-05
5900,3.0723309464519843e-05
5950,3.193775046383962e-05
6000,3.6344932595966384e-05
6050,4.775336856255308e-05
6100,2.8368358471198007e-05
6150,2.9462458769557998e-05
6200,3.249411383876577e-05
6250,3.1140683859121054e-05
6300,3.625573663157411e-05
6350,4.18199815612752e-05
6400,3.872381421388127e-05
6450,3.4372071240795776e-05
6500,4.1076775232795626e-05
6550,2.7634638172457926e-05
6600,3.3963377063628286e-05
6650,3.150830161757767e-05
6700,3.141345223411918e-05
6750,3.637886038632132e-05
6800,3.4004719054792076e-05
6850,4.185699799563736e-05
6900,5.9694735682569444e-05
6950,5.375308319344185e-05
7000,4.373698175186291e-05
7050,4.295447070035152e-05
