step,value
50,0.2294921875
100,0.09912109375
150,0.189453125
200,0.400390625
250,0.6484375
300,0.734375
350,0.828125
400,0.81640625
450,0.796875
500,0.80078125
550,0.7578125
600,0.84375
650,0.71484375
700,0.6875
750,0.9765625
800,0.7109375
850,0.80078125
900,0.9609375
950,0.8671875
1000,0.9296875
1050,0.98828125
1100,0.81640625
1150,0.87890625
1200,0.91796875
1250,0.99609375
1300,1.0
1350,0.98828125
1400,0.953125
1450,0.87890625
1500,0.95703125
1550,0.9765625
1600,0.953125
1650,0.87109375
1700,0.8984375
1750,0.94921875
1800,0.98046875
1850,0.73046875
1900,0.86328125
1950,0.89453125
2000,0.890625
2050,0.9296875
2100,0.95703125
2150,0.8984375
2200,0.94140625
2250,0.890625
2300,0.87109375
2350,0.88671875
2400,0.85546875
2450,0.7421875
2500,0.94921875
2550,0.84375
2600,0.92578125
2650,0.80859375
2700,0.890625
2750,0.9375
2800,0.80078125
2850,0.89453125
2900,0.83984375
2950,0.984375
3000,0.89453125
3050,0.953125
3100,0.94921875
3150,0.91796875
3200,0.9453125
3250,0.9765625
3300,0.99609375
3350,0.9765625
3400,0.9375
3450,0.98046875
3500,0.984375
3550,1.0
3600,0.94140625
3650,0.94921875
3700,0.96484375
3750,0.9296875
3800,0.96484375
3850,0.96875
3900,0.94140625
3950,0.92578125
4000,0.984375
4050,0.96875
4100,0.97265625
4150,0.96875
4200,0.9609375
4250,0.95703125
4300,1.0
4350,0.984375
4400,0.97265625
4450,0.9921875
4500,0.99609375
4550,1.0
4600,0.984375
4650,0.98828125
4700,0.99609375
4750,0.99609375
4800,0.99609375
4850,0.984375
4900,1.0
4950,0.99609375
5000,0.99609375
5050,0.99609375
5100,1.0
5150,0.99609375
5200,1.0
5250,1.0
5300,0.9921875
5350,1.0
5400,0.9921875
5450,0.99609375
5500,0.9921875
5550,0.984375
5600,0.98828125
5650,0.9921875
5700,0.99609375
5750,1.0
5800,1.0
5850,0.99609375
5900,1.0
5950,0.99609375
6000,1.0
6050,1.0
6100,0.99609375
6150,1.0
