step,value
50,0.0
100,0.0
150,0.0
200,0.0
250,0.0
300,0.0
350,0.0
400,0.0
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,0.0
1850,0.0
1900,0.0
1950,0.0
2000,0.0
2050,0.0
2100,0.0
2150,0.0
2200,0.0
2250,0.0
2300,0.0
2350,0.0
2400,0.0
2450,0.0
2500,0.0
2550,0.0
2600,0.0
2650,0.0
2700,0.0
2750,0.0
2800,0.0
2850,0.0
2900,0.0
2950,0.0
3000,0.0
3050,0.0
3100,0.0
3150,0.0
3200,0.0
3250,0.0
3300,0.0
3350,0.0
3400,0.0
3450,0.0
3500,0.0
3550,0.0
3600,0.0
3650,0.0
3700,0.0
3750,0.0
3800,0.0
3850,0.0
3900,0.0
3950,0.0
4000,0.0
4050,0.0
4100,0.0
4150,0.0
4200,0.0
4250,0.0
4300,0.0
4350,0.0
4400,0.0
4450,0.0
4500,0.0
4550,0.0
4600,0.0
4650,0.0
4700,0.0
4750,0.0
4800,0.0
4850,0.0
4900,0.0
4950,0.0
5000,0.0
5050,0.0
5100,0.0
5150,0.0
5200,0.0
5250,0.0
5300,0.0
5350,0.0
5400,0.0
5450,0.0
5500,0.0
5550,0.0
5600,0.0
5650,0.0
5700,0.0
5750,0.0
5800,0.0
5850,0.0
5900,0.0
5950,0.0
6000,0.0
6050,0.0
6100,0.0
6150,0.0
6200,0.0
6250,0.0
6300,0.0
6350,0.0
6400,0.0
6450,0.0
6500,0.0
6550,0.0
6600,0.0
6650,0.0
6700,0.0
6750,0.0
6800,0.0
6850,0.0
6900,0.0
6950,0.0
7000,0.0
7050,0.0
7100,0.0
7150,0.0
7200,1.0
7250,1.0
7300,1.0
7350,1.0
7400,1.0
7450,1.0
7500,1.0
7550,1.0
7600,1.0
7650,1.0
7700,1.0
7750,1.0
7800,1.0
7850,1.0
7900,1.0
7950,1.0
8000,1.0
8050,1.0
8100,1.0
8150,1.0
8200,1.0
8250,1.0
8300,1.0
8350,1.0
8400,1.0
8450,1.0
8500,1.0
8550,1.0
8600,1.0
8650,1.0
8700,1.0
8750,1.0
8800,1.0
8850,1.0
8900,1.0
8950,1.0
9000,1.0
9050,1.0
9100,1.0
9150,1.0
9200,1.0
9250,1.0
9300,1.0
9350,1.0
9400,1.0
9450,1.0
9500,1.0
9550,1.0
9600,1.0
9650,1.0
9700,1.0
9750,1.0
9800,1.0
9850,1.0
9900,1.0
9950,1.0
10000,1.0
10050,1.0
10100,1.0
10150,1.0
10200,1.0
10250,1.0
10300,1.0
10350,1.0
10400,1.0
10450,1.0
10500,1.0
10550,1.0
10600,1.0
10650,1.0
10700,1.0
10750,1.0
10800,1.0
10850,1.0
10900,1.0
10950,1.0
11000,1.0
11050,1.0
11100,1.0
11150,1.0
11200,1.0
11250,1.0
11300,1.0
11350,1.0
11400,1.0
11450,1.0
11500,1.0
11550,1.0
11600,1.0
11650,1.0
11700,1.0
11750,1.0
11800,1.0
11850,1.0
11900,1.0
11950,1.0
12000,1.0
12050,1.0
12100,1.0
12150,1.0
12200,1.0
12250,1.0
12300,1.0
12350,1.0
12400,1.0
12450,1.0
12500,1.0
12550,1.0
12600,1.0
12650,1.0
12700,1.0
12750,1.0
12800,1.0
12850,1.0
12900,1.0
12950,1.0
13000,1.0
13050,1.0
13100,1.0
13150,1.0
13200,1.0
13250,1.0
13300,1.0
13350,1.0
13400,1.0
13450,1.0
13500,1.0
13550,1.0
13600,1.0
13650,1.0
13700,1.0
13750,1.0
13800,1.0
13850,1.0
13900,1.0
13950,1.0
14000,1.0
14050,1.0
14100,1.0
14150,1.0
14200,1.0
14250,1.0
14300,1.0
14350,2.0
14400,2.0
14450,2.0
14500,2.0
14550,2.0
14600,2.0
14650,2.0
14700,2.0
14750,2.0
14800,2.0
14850,2.0
