step,value
50,0.0
100,0.0
150,0.0
200,0.0
250,0.0
300,0.0
350,0.0
400,0.0
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,0.0
1850,0.0
1900,0.0
1950,0.0
2000,0.0
2050,0.0
2100,0.0
2150,0.0
2200,0.0
2250,0.0
2300,0.0
2350,0.0
2400,0.0
2450,0.0
2500,0.0
2550,0.0
2600,0.0
2650,0.0
2700,0.0
2750,0.0
2800,0.0
2850,0.0
2900,0.0
2950,4.960317490088073e-09
3000,0.0
3050,0.0
3100,0.0
3150,0.0
3200,0.0
3250,0.0
3300,0.0
3350,0.0
3400,0.0
3450,0.0
3500,0.0
3550,0.0
3600,0.0
3650,0.0
3700,0.0
3750,0.0
3800,0.0
3850,0.0
3900,0.0
3950,3.2242063241483265e-08
4000,0.0
4050,0.0
4100,0.0
4150,0.0
4200,0.0
4250,0.0
4300,4.960317490088073e-09
4350,0.0
4400,4.960317490088073e-09
4450,0.0
4500,0.0
4550,0.0
4600,0.0
4650,7.44047623513211e-09
4700,2.7281746639573612e-08
4750,0.0
4800,9.920634980176146e-09
4850,0.0
4900,3.2242063241483265e-08
4950,1.2400794169309393e-08
5000,0.0
5050,1.3888889327517973e-07
5100,2.4801588338618785e-08
5150,4.464285652261424e-08
5200,7.44047623513211e-09
5250,5.704364980374521e-08
5300,4.960317667723757e-08
5350,2.4801587450440366e-09
5400,9.920634980176146e-09
5450,7.44047623513211e-09
5500,2.4801587450440366e-09
5550,1.2400794169309393e-08
5600,7.44047623513211e-09
5650,2.232142826130712e-08
5700,1.9841269960352292e-08
5750,4.216269999801625e-08
5800,3.9682539920704585e-08
5850,7.44047623513211e-09
5900,6.696428300756452e-08
5950,5.208333320183556e-08
6000,1.1656745613208841e-07
6050,5.704365335645889e-08
6100,3.745039691693819e-07
6150,8.680554941520313e-08
6200,4.960317490088073e-09
6250,2.976190494052844e-08
6300,2.9513890353882744e-07
6350,4.960317490088073e-09
6400,1.0168650987907313e-07
6450,1.4880953358442639e-08
6500,9.176588378068118e-08
6550,6.200396995836854e-08
6600,8.680555652063049e-08
6650,4.960317490088073e-09
6700,1.2400794169309393e-08
6750,1.0168650277364577e-07
6800,1.488095247026422e-08
6850,2.976190494052844e-08
6900,6.448412648296653e-08
6950,1.4880953358442639e-08
7000,6.696429011299188e-08
7050,9.920634980176146e-09
7100,2.4801587450440366e-09
7150,3.9682539920704585e-08
7200,9.920634980176146e-09
7250,1.7361111659397466e-08
7300,9.920634980176146e-09
7350,1.3640872964515438e-07
7400,1.1904761976211375e-07
7450,2.0833333280734223e-07
7500,1.7361111659397466e-08
7550,6.448412648296653e-08
7600,4.216269999801625e-08
7650,7.688492331681118e-08
7700,4.290674269213923e-07
7750,1.3392856601512904e-07
7800,9.920635335447514e-08
7850,2.2569446400666493e-07
7900,1.488095247026422e-08
7950,3.720237984339292e-08
8000,6.374007170961704e-07
8050,4.464285652261424e-08
8100,3.72023833961066e-08
8150,4.216269999801625e-08
8200,3.2242064662568737e-07
8250,1.4136904269435036e-07
8300,6.944444663758986e-08
8350,6.448412648296653e-08
8400,1.2648808933590772e-07
8450,3.2242063241483265e-08
8500,4.464285652261424e-08
8550,2.132936458565382e-07
8600,5.208333320183556e-08
8650,3.472222331879493e-08
8700,2.4801587450440366e-09
8750,3.472222331879493e-08
8800,7.440475968678584e-08
8850,4.7123016599925904e-08
8900,8.680555652063049e-08
8950,2.728174841593045e-08
9000,9.67261897244498e-08
9050,8.184523636600716e-08
9100,8.258928687610023e-07
9150,3.0257936600719404e-07
9200,2.628968331919168e-07
9250,1.2400794169309393e-08
9300,9.920634980176146e-09
9350,7.192460316218785e-08
9400,5.952380988105688e-08
9450,1.6617065057289437e-07
9500,5.952380988105688e-08
9550,1.2152777628671174e-07
