step,value
50,0.30524101853370667
100,0.2940138280391693
150,0.37271377444267273
200,0.9699265956878662
250,1.3751881122589111
300,1.460434079170227
350,1.4472131729125977
400,1.30375337600708
450,1.455973744392395
500,1.2505484819412231
550,1.814117431640625
600,1.1954034566879272
650,1.5774450302124023
700,1.5452964305877686
750,1.7948651313781738
800,2.1420650482177734
850,1.5143452882766724
900,1.7466726303100586
950,1.763128638267517
1000,1.5899888277053833
1050,1.5843228101730347
1100,1.7995668649673462
1150,1.668049931526184
1200,0.9562998414039612
1250,1.4622620344161987
1300,1.7810938358306885
1350,1.8658041954040527
1400,1.861345648765564
1450,1.4037721157073975
1500,1.5082308053970337
1550,1.6390107870101929
1600,1.479073166847229
1650,1.743126630783081
1700,1.780424952507019
1750,1.7958297729492188
1800,1.5582809448242188
1850,1.847293496131897
1900,1.6019178628921509
1950,1.9251816272735596
2000,1.7314133644104004
2050,1.8969964981079102
2100,2.114287853240967
2150,1.7206586599349976
2200,1.7995738983154297
2250,1.8934974670410156
2300,1.9795879125595093
2350,1.9457746744155884
2400,1.8678354024887085
2450,1.955881953239441
2500,2.0563297271728516
2550,1.8713213205337524
2600,1.9670640230178833
2650,2.1120452880859375
2700,2.0559566020965576
2750,2.1380069255828857
2800,2.2355873584747314
2850,2.178779363632202
2900,2.1185529232025146
2950,2.0849504470825195
3000,1.9025126695632935
3050,2.0641255378723145
3100,2.1497018337249756
3150,2.2960901260375977
3200,2.090731382369995
3250,2.1582770347595215
3300,2.120112180709839
3350,2.147392988204956
3400,1.9531725645065308
3450,1.920381784439087
3500,1.916611909866333
3550,2.1391232013702393
3600,2.1336252689361572
3650,2.184682846069336
3700,2.2908802032470703
3750,1.8933757543563843
3800,2.033806800842285
3850,2.207418203353882
3900,1.893015742301941
3950,2.209676742553711
4000,2.1881885528564453
4050,2.1256532669067383
4100,2.250793695449829
4150,1.9979684352874756
4200,1.988759994506836
4250,1.973471999168396
4300,1.7356040477752686
4350,1.702061414718628
4400,1.9640029668807983
4450,1.803939700126648
4500,1.9107921123504639
4550,1.930619239807129
4600,2.0518412590026855
4650,1.8651084899902344
4700,2.0312349796295166
4750,1.8068606853485107
4800,1.9829297065734863
4850,1.9923547506332397
4900,1.836921215057373
4950,1.5808112621307373
5000,1.6768943071365356
5050,1.6551764011383057
5100,1.6722372770309448
5150,1.7769016027450562
5200,1.6842283010482788
5250,1.8205772638320923
5300,1.6704429388046265
5350,1.837104082107544
5400,1.4568530321121216
5450,1.6178110837936401
5500,1.731696367263794
5550,1.4954352378845215
5600,1.6947135925292969
5650,1.4956601858139038
5700,1.8230479955673218
5750,1.3505723476409912
5800,1.50981605052948
5850,1.598433494567871
5900,1.82433021068573
5950,1.3725192546844482
6000,1.4980767965316772
6050,1.521889567375183
6100,1.5521141290664673
6150,1.423213243484497
6200,1.500515341758728
6250,1.3039467334747314
6300,1.368849515914917
6350,1.7165660858154297
6400,1.5718802213668823
6450,1.5556039810180664
6500,1.5297954082489014
6550,1.450700044631958
6600,1.3875187635421753
6650,1.4538742303848267
6700,1.4982478618621826
6750,1.3472071886062622
6800,1.246171236038208
6850,1.511440396308899
6900,1.3722949028015137
6950,1.4014683961868286
7000,1.158111810684204
7050,1.2112436294555664
7100,1.3581109046936035
7150,1.2732106447219849
7200,1.3618119955062866
7250,1.3812230825424194
7300,1.3219621181488037
7350,1.5789533853530884
7400,1.5573256015777588
7450,1.2219252586364746
7500,1.2987117767333984
7550,1.4294078350067139
7600,1.4211920499801636
7650,1.2811607122421265
7700,1.1946457624435425
7750,1.3901238441467285
7800,1.2695481777191162
7850,1.239226222038269
7900,1.3652094602584839
7950,1.143768310546875
8000,1.2543500661849976
8050,1.2051359415054321
8100,1.1973272562026978
8150,1.3208417892456055
8200,1.2245244979858398
8250,1.3669947385787964
8300,1.1098405122756958
8350,1.2697408199310303
8400,1.2395392656326294
8450,1.3221020698547363
8500,1.1709058284759521
8550,1.2714438438415527
8600,1.21129310131073
8650,1.2914092540740967
8700,1.2985765933990479
8750,1.1432924270629883
8800,1.218884825706482
8850,1.1787370443344116
8900,1.1685336828231812
8950,1.210395097732544
9000,1.0928233861923218
9050,1.1701041460037231
9100,1.2828642129898071
9150,1.1573224067687988
9200,1.1762458086013794
9250,1.2178664207458496
9300,1.1636353731155396
9350,1.2634782791137695
9400,1.1448943614959717
9450,1.070452332496643
9500,1.1263275146484375
9550,1.1416192054748535
9600,1.145251750946045
9650,1.1721234321594238
9700,1.2346980571746826
9750,1.1434674263000488
9800,1.0786852836608887
9850,1.0849558115005493
9900,1.168046236038208
9950,1.1367955207824707
10000,1.1547611951828003
10050,1.0580894947052002
10100,1.131882905960083
10150,1.3147692680358887
10200,1.1777974367141724
10250,1.0908344984054565
10300,1.1377760171890259
10350,1.0423870086669922
10400,1.1649357080459595
10450,1.0716856718063354
10500,1.2049616575241089
10550,1.017811894416809
10600,1.1859147548675537
10650,1.1435726881027222
10700,1.1945401430130005
10750,1.0824878215789795
10800,1.1336249113082886
10850,1.129509449005127
10900,1.029418706893921
10950,1.126528024673462
11000,1.1021853685379028
11050,1.0836946964263916
11100,0.9852520823478699
11150,1.0120081901550293
11200,1.031093955039978
11250,1.0635898113250732
11300,1.0451279878616333
11350,1.0959391593933105
11400,1.0829654932022095
11450,1.1319187879562378
11500,1.0857374668121338
11550,1.2025082111358643
11600,1.1314427852630615
11650,1.2201462984085083
11700,1.1384326219558716
11750,1.0411590337753296
11800,1.0598137378692627
11850,1.0831743478775024
11900,1.039950966835022
11950,1.191541075706482
12000,1.1016638278961182
12050,1.1733863353729248
12100,1.101157784461975
12150,1.0908786058425903
12200,1.1111836433410645
12250,1.0505874156951904
12300,1.021342396736145
12350,1.2262777090072632
12400,1.1907745599746704
12450,1.074288249015808
12500,1.3034132719039917
12550,1.0821001529693604
12600,1.1733200550079346
12650,1.1168816089630127
12700,1.0671801567077637
12750,1.0838159322738647
12800,1.1214624643325806
12850,1.1613398790359497
12900,1.0720367431640625
12950,1.079073429107666
13000,1.1927995681762695
13050,1.077516794204712
13100,1.0612406730651855
13150,1.0565999746322632
13200,1.0936959981918335
13250,1.1220197677612305
13300,1.1147900819778442
13350,1.1408478021621704
13400,1.0480108261108398
13450,1.1184567213058472
13500,1.1033798456192017
13550,1.1305691003799438
13600,1.0898102521896362
13650,1.0992451906204224
13700,1.0262349843978882
13750,1.0622755289077759
13800,1.0336031913757324
13850,0.9982985854148865
13900,1.1912506818771362
13950,1.0738725662231445
14000,1.1184568405151367
14050,1.1243823766708374
14100,1.0118004083633423
14150,1.0532605648040771
14200,1.1077066659927368
14250,1.085486888885498
14300,1.047774314880371
14350,1.0644710063934326
14400,1.0870356559753418
14450,1.1995699405670166
14500,1.1580394506454468
14550,1.1942009925842285
14600,1.1252126693725586
14650,1.1758099794387817
14700,1.0860176086425781
14750,1.0498510599136353
14800,1.1476495265960693
14850,1.1780720949172974
14900,1.1547913551330566
14950,1.0727766752243042
15000,1.0557152032852173
15050,1.0987250804901123
15100,1.161301851272583
15150,0.9737194180488586
15200,1.0780949592590332
15250,1.044784426689148
15300,1.0634477138519287
15350,1.0819220542907715
15400,1.0176029205322266
15450,1.108264684677124
15500,1.1055150032043457
15550,1.0131169557571411
15600,1.1468195915222168
15650,1.1336451768875122
15700,1.0727804899215698
15750,0.9773139953613281
15800,1.0973044633865356
15850,1.0213013887405396
15900,1.0999505519866943
15950,1.1079673767089844
16000,1.0898776054382324
16050,1.0656172037124634
16100,1.041330337524414
16150,1.0573339462280273
16200,1.138981580734253
16250,1.0656764507293701
16300,1.0729928016662598
