step,value
50,2.0379280515204465e-16
100,1.0824679784051197e-15
150,2.0816683035210665e-16
200,3.634245682171411e-16
250,9.138271067385775e-16
300,2.4841242293570246e-15
350,2.816595249066178e-15
400,5.162538335056399e-15
450,2.3092638912203256e-14
500,1.1990413748149374e-14
550,3.827887154792637e-15
600,5.186823193170653e-15
650,3.828363949638647e-14
700,6.639133687258436e-14
750,4.413136946401471e-15
800,2.0983811476610326e-14
850,4.217895428542881e-14
900,2.3550605909861133e-14
950,8.10462892679659e-15
1000,1.5543127426949875e-14
1050,3.128923444124798e-14
1100,6.994406325687907e-15
1150,2.6350468658329013e-15
1200,7.716050868177785e-15
1250,2.0983216859481353e-14
1300,3.11972669919669e-14
1350,1.1014198112043426e-14
1400,1.1324275698209544e-14
1450,7.768702266772523e-14
1500,9.270362255620057e-15
1550,4.662938397491552e-15
1600,1.2212486093403428e-15
1650,1.5321079433893055e-14
1700,7.105427357601002e-14
1750,5.0376373977531214e-15
1800,2.3536729816119213e-14
1850,5.148660547248584e-15
1900,9.430941067694633e-15
1950,1.8467166476034656e-14
2000,7.993613400597652e-15
2050,3.096569157231936e-14
2100,1.0391688188117823e-13
2150,2.2176704916887502e-14
2200,2.1760374670784857e-14
2250,5.800916574215864e-15
2300,2.5313093431783042e-14
2350,1.1934898573511617e-15
2400,4.175391654062839e-14
2450,1.0232444638781299e-13
2500,1.3438469934556278e-14
2550,2.0428110429366458e-14
2600,2.41283027086793e-14
2650,4.0323300254385686e-13
2700,3.760797147875708e-14
2750,4.540812509530069e-14
2800,7.9936078101802e-14
2850,8.507792723360524e-14
2900,8.419931960858273e-13
2950,4.5297143450419644e-14
3000,1.6056632680893322e-14
3050,7.37188088351104e-14
3100,4.218466396511966e-13
3150,6.311851540562186e-13
3200,2.0783379086741077e-13
3250,3.730349904841612e-13
3300,1.3282573825545985e-12
3350,5.69892779343252e-14
3400,6.891883439809343e-13
3450,3.719943461339553e-13
3500,2.9576346797025033e-13
3550,5.3956845773046186e-14
3600,2.700062666938924e-13
3650,6.048495038157853e-13
3700,3.730349701553705e-14
3750,6.159517882721455e-13
3800,1.1723955140041653e-13
3850,9.14823772291129e-13
3900,1.8474111129762605e-13
3950,2.469136006766348e-13
4000,2.5950059158799665e-13
4050,7.457649406870936e-13
4100,1.4566127167284226e-12
4150,4.871883278745326e-12
4200,9.51822279847414e-13
4250,1.7905676941154525e-12
4300,9.23401004097879e-13
4350,3.8369315862561704e-13
4400,4.466876521447283e-12
4450,9.101091191440758e-13
