step,value
50,1.1648667056982087e-12
100,1.2072893683032215e-12
150,3.6923223267933125e-14
200,6.471927594536853e-12
250,2.566054790528738e-12
300,4.191382917823061e-12
350,4.471141339112972e-12
400,2.075598720674421e-11
450,1.765118259888787e-11
500,5.295827578549739e-12
550,3.3157020965651762e-12
600,1.0857857148105499e-11
650,2.4276209514839664e-11
700,5.831046062665379e-11
750,2.7927004458971894e-11
800,1.7827883266874345e-11
850,1.3897486460245911e-11
900,8.499758188951212e-12
950,1.0243977194290821e-10
1000,3.5680174093055683e-12
1050,1.7864433077361547e-13
1100,1.5757690291495763e-11
1150,7.73228865918324e-13
1200,2.1696552974376226e-12
1250,1.8216973068918563e-12
1300,7.174885143478027e-13
1350,7.149223487518119e-12
1400,7.434087373470177e-11
1450,4.7443121480028605e-12
1500,1.093379206618117e-11
1550,1.6562289734123326e-11
1600,3.962882105801313e-11
1650,6.24881257849097e-11
1700,6.350302228508298e-14
1750,2.8905752791352768e-11
1800,1.0553168582061456e-11
1850,7.556706996258988e-12
1900,9.095130898417736e-11
1950,9.267927571221524e-12
2000,1.5187164026375655e-10
2050,6.229371879440393e-11
2100,1.765437795953062e-10
2150,4.211492266037453e-10
2200,9.579507326273884e-11
2250,3.232425785371085e-11
2300,3.907886861331811e-11
2350,1.1354116160721545e-13
2400,7.529259334060345e-13
2450,3.7808093461544345e-11
2500,3.2678741657132804e-11
2550,1.7437797039665526e-10
2600,2.698933299072337e-10
2650,1.0165020908337041e-10
2700,1.6469157981813254e-10
2750,9.942494050285688e-11
2800,5.756806698009598e-10
2850,2.172167723468732e-10
2900,1.6947043768311687e-10
2950,6.229983976618891e-12
3000,4.023726629664992e-10
3050,2.1791529691839173e-10
3100,1.731366716661853e-10
3150,5.260955560082436e-10
3200,5.138096059731367e-10
3250,3.692603722793564e-10
3300,2.368487350690174e-10
3350,5.1180299581732314e-11
3400,5.827464621965817e-10
3450,7.053133632695108e-10
3500,2.171366197956104e-09
3550,2.3028630113941517e-09
3600,1.0048331056111692e-09
3650,4.286383470386568e-10
3700,2.009627464438779e-10
3750,2.713090641037752e-09
3800,5.296394434139984e-09
