step,value
50,25836912640.0
100,25836912640.0
150,25836912640.0
200,25836912640.0
250,25836912640.0
300,25836912640.0
350,25836912640.0
400,25836912640.0
450,25836912640.0
500,25836912640.0
550,25836912640.0
600,25836912640.0
650,25836912640.0
700,25836912640.0
750,25836912640.0
800,25836912640.0
850,25836912640.0
900,25836912640.0
950,25836912640.0
1000,25836912640.0
1050,25836912640.0
1100,25836912640.0
1150,25836912640.0
1200,25836912640.0
1250,25836912640.0
1300,25836912640.0
1350,25836912640.0
1400,25836912640.0
1450,25836912640.0
1500,25836912640.0
1550,25836912640.0
1600,25836912640.0
1650,25836912640.0
1700,25836912640.0
1750,25836912640.0
1800,25836912640.0
1850,25836912640.0
1900,25836912640.0
1950,25836912640.0
2000,25836912640.0
2050,25836912640.0
2100,25836912640.0
2150,25836912640.0
2200,25836912640.0
2250,25836912640.0
2300,25836912640.0
2350,25836912640.0
2400,25836912640.0
2450,25836912640.0
2500,25836912640.0
2550,25836912640.0
2600,25836912640.0
2650,25836912640.0
2700,25836912640.0
2750,25836912640.0
2800,25836912640.0
2850,25836912640.0
2900,25836912640.0
2950,25836912640.0
3000,25836912640.0
3050,25836912640.0
3100,25836912640.0
3150,25836912640.0
3200,25836912640.0
3250,25836912640.0
3300,25836912640.0
3350,25836912640.0
3400,25836912640.0
3450,25836912640.0
3500,25836912640.0
3550,25836912640.0
3600,25836912640.0
3650,25836912640.0
3700,25836912640.0
3750,25836912640.0
3800,25836912640.0
3850,25836912640.0
3900,25836912640.0
3950,25836912640.0
4000,25836912640.0
4050,25836912640.0
4100,25836912640.0
4150,25836912640.0
4200,25836912640.0
4250,25836912640.0
4300,25836912640.0
4350,25836912640.0
4400,25836912640.0
4450,25836912640.0
4500,25836912640.0
4550,25836912640.0
4600,25836912640.0
4650,25836912640.0
4700,25836912640.0
4750,25836912640.0
4800,25836912640.0
4850,25836912640.0
4900,25836912640.0
4950,25836912640.0
5000,25836912640.0
5050,25836912640.0
5100,25836912640.0
5150,25836912640.0
5200,25836912640.0
5250,25836912640.0
5300,25836912640.0
5350,25836912640.0
5400,25836912640.0
5450,25836912640.0
5500,25836912640.0
5550,25836912640.0
5600,25836912640.0
5650,25836912640.0
5700,25836912640.0
5750,25836912640.0
5800,25836912640.0
5850,25836912640.0
5900,25836912640.0
5950,25836912640.0
6000,25836912640.0
6050,25836912640.0
6100,25836912640.0
6150,25836912640.0
6200,25836912640.0
6250,25836912640.0
6300,25836912640.0
6350,25836912640.0
6400,25836912640.0
6450,25836912640.0
6500,25836912640.0
6550,25836912640.0
6600,25836912640.0
6650,25836912640.0
6700,25836912640.0
6750,25836912640.0
6800,25836912640.0
