step,value
50,50.0
100,100.0
150,150.0
200,200.0
250,250.0
300,300.0
350,350.0
400,400.0
450,450.0
500,500.0
550,550.0
600,600.0
650,650.0
700,700.0
750,750.0
800,800.0
850,850.0
900,900.0
950,950.0
1000,1000.0
1050,1050.0
1100,1100.0
1150,1150.0
1200,1200.0
1250,1250.0
1300,1300.0
1350,1350.0
1400,1400.0
1450,1450.0
1500,1500.0
1550,1550.0
1600,1600.0
1650,1650.0
1700,1700.0
1750,1750.0
1800,1800.0
1850,1850.0
1900,1900.0
1950,1950.0
2000,2000.0
2050,2050.0
2100,2100.0
2150,2150.0
2200,2200.0
2250,2250.0
2300,2300.0
2350,2350.0
2400,2400.0
2450,2450.0
2500,2500.0
2550,2550.0
2600,2600.0
2650,2650.0
2700,2700.0
2750,2750.0
2800,2800.0
2850,2850.0
2900,2900.0
2950,2950.0
3000,3000.0
3050,3050.0
3100,3100.0
3150,3150.0
3200,3200.0
3250,3250.0
3300,3300.0
3350,3350.0
3400,3400.0
3450,3450.0
3500,3500.0
3550,3550.0
3600,3600.0
3650,3650.0
3700,3700.0
3750,3750.0
3800,3800.0
3850,3850.0
3900,3900.0
3950,3950.0
4000,4000.0
4050,4050.0
4100,4100.0
4150,4150.0
4200,4200.0
4250,4250.0
4300,4300.0
4350,4350.0
4400,4400.0
4450,4450.0
4500,4500.0
4550,4550.0
4600,4600.0
4650,4650.0
4700,4700.0
4750,4750.0
4800,4800.0
4850,4850.0
4900,4900.0
4950,4950.0
5000,5000.0
5050,5050.0
5100,5100.0
5150,5150.0
5200,5200.0
5250,5250.0
5300,5300.0
5350,5350.0
5400,5400.0
5450,5450.0
5500,5500.0
5550,5550.0
5600,5600.0
5650,5650.0
5700,5700.0
5750,5750.0
5800,5800.0
5850,5850.0
5900,5900.0
5950,5950.0
6000,6000.0
6050,6050.0
6100,6100.0
6150,6150.0
6200,6200.0
6250,6250.0
6300,6300.0
6350,6350.0
6400,6400.0
6450,6450.0
6500,6500.0
6550,6550.0
6600,6600.0
6650,6650.0
6700,6700.0
6750,6750.0
6800,6800.0
6850,6850.0
6900,6900.0
6950,6950.0
7000,7000.0
7050,7050.0
7100,7100.0
7150,7150.0
7200,7200.0
7250,7250.0
7300,7300.0
7350,7350.0
7400,7400.0
7450,7450.0
7500,7500.0
7550,7550.0
7600,7600.0
7650,7650.0
7700,7700.0
7750,7750.0
7800,7800.0
7850,7850.0
7900,7900.0
7950,7950.0
8000,8000.0
8050,8050.0
8100,8100.0
8150,8150.0
8200,8200.0
8250,8250.0
8300,8300.0
8350,8350.0
8400,8400.0
8450,8450.0
8500,8500.0
8550,8550.0
8600,8600.0
8650,8650.0
8700,8700.0
8750,8750.0
8800,8800.0
8850,8850.0
8900,8900.0
8950,8950.0
9000,9000.0
9050,9050.0
9100,9100.0
9150,9150.0
9200,9200.0
9250,9250.0
9300,9300.0
9350,9350.0
9400,9400.0
9450,9450.0
9500,9500.0
9550,9550.0
9600,9600.0
9650,9650.0
9700,9700.0
