step,value
50,3.0046096721747517e-09
100,1.580510122778378e-08
150,4.21469223965687e-08
200,2.9502700726879993e-07
250,2.528709899252135e-07
300,7.163978921198577e-07
350,5.898651807001443e-07
400,1.2636487554118503e-06
450,1.642032657400705e-06
500,1.3045170135228545e-06
550,1.177511421701638e-06
600,7.562827022411511e-07
650,1.5947288147799554e-06
700,3.824477516900515e-07
750,2.4685764401510824e-06
800,2.046557256107917e-06
850,1.850178932727431e-06
900,3.3284413802903146e-07
950,9.96341213976848e-07
1000,1.1157428616570542e-06
1050,6.200200004968792e-06
1100,1.6289585573758814e-06
1150,2.7208825486013666e-06
1200,7.285963192771305e-07
1250,4.404067510677123e-07
1300,5.456322469399311e-06
1350,2.2033657387510175e-06
1400,9.321006473328453e-06
1450,2.5597287276468705e-06
1500,7.192322186710953e-07
1550,2.6313430225854972e-06
1600,8.819300205686886e-07
1650,5.916435839026235e-06
1700,3.4418775385347544e-07
1750,2.0222285002091667e-06
1800,1.9390136003494263e-06
1850,4.850176082982216e-07
1900,2.020590983420334e-08
1950,3.299727950434317e-06
2000,2.996248213094077e-06
2050,6.270699486776721e-06
2100,6.474019755842164e-07
2150,2.039950459220563e-06
2200,7.566026397398673e-06
2250,2.2647757305094274e-06
2300,1.2199537877677358e-06
2350,1.7915440366778057e-06
2400,2.6675900244299555e-06
2450,2.6889015316555742e-06
2500,4.005928076367127e-06
2550,3.276652250860934e-06
2600,3.772484433284262e-06
2650,2.498155708963168e-06
2700,4.177572009211872e-06
2750,2.5543495212332346e-06
2800,5.312799089551845e-07
2850,3.366956434547319e-06
2900,5.441624466584472e-07
2950,1.8828616248356411e-06
3000,2.484784772605053e-06
3050,2.6549600988801103e-06
3100,5.779121693194611e-06
3150,1.850576268225268e-06
3200,6.337934337352635e-07
3250,1.5385054439320811e-06
3300,3.2740690585342236e-06
3350,5.9421804508019704e-06
3400,1.496737513662083e-05
3450,1.0583028142718831e-06
3500,8.033680387597997e-07
3550,6.9694965532107744e-06
3600,5.3990547712601256e-06
3650,1.942682274602703e-06
3700,4.524234100244939e-06
3750,1.0784312962641707e-06
3800,1.5548881719951169e-06
3850,2.5610841021261876e-06
3900,2.976649284391897e-06
3950,2.1979224129609065e-06
