step,value
50,1.6924945425123255e-15
100,1.1319509443815344e-14
150,2.6282459281851134e-13
200,3.97751438990096e-13
250,4.1412560230005835e-13
300,3.1063381576192095e-13
350,1.0633518805064357e-12
400,7.034374168227164e-13
450,9.252362466677724e-14
500,2.066408974271336e-13
550,1.5870673373587219e-13
600,2.5579557460901625e-13
650,5.088042400597237e-12
700,9.663381206337363e-13
750,2.8634872251132037e-12
800,1.0581599832470978e-11
850,5.320189818205923e-13
900,1.413370505701228e-12
950,2.3583919105812923e-12
1000,5.8092432773937386e-12
1050,5.5422333389287814e-12
1100,1.4050982599655981e-12
1150,5.672151658954461e-13
1200,1.8692840244444175e-12
1250,8.640199666842818e-12
1300,3.126395626759648e-13
1350,1.0622616068017843e-12
1400,1.6923118722339536e-12
1450,2.9700686354772188e-12
1500,1.8029640280747827e-12
1550,1.042721464727947e-12
1600,4.467178797012972e-12
1650,2.4004147194250924e-12
1700,4.98557098382868e-12
1750,5.776218804480482e-13
1800,2.9088539302973837e-12
1850,1.7182939099358308e-12
1900,3.4245113255532145e-12
1950,1.4767089460965277e-12
2000,2.7061632015129566e-13
2050,6.039614338163024e-13
2100,4.263346877679368e-14
2150,1.0553787010980642e-11
2200,1.081801532035187e-12
2250,1.5502062524277993e-12
2300,1.474376176702208e-13
2350,5.002961817068309e-14
2400,2.0242888040724466e-13
2450,2.9309890560609564e-13
2500,5.752880376935776e-12
2550,2.5378039513607176e-12
2600,1.2789007049554546e-12
2650,3.0522849872594016e-13
2700,2.1469234200220504e-14
2750,8.668624086778653e-13
2800,2.3583921274217268e-12
2850,1.2345703073127906e-13
2900,2.842173992359011e-14
2950,8.273252959448141e-13
3000,1.045830224722169e-13
3050,2.052934862037392e-12
3100,2.199699840679803e-13
3150,2.2019202867290533e-12
3200,5.96551345648233e-13
3250,2.1671569703715643e-13
3300,1.037302839110299e-12
3350,1.0231815394945443e-12
3400,1.9008542569837195e-12
3450,1.2290864940395219e-12
3500,2.6911806116913795e-13
3550,8.307254623779459e-13
3600,1.1646802229245412e-12
3650,2.2979959948821183e-12
3700,2.060574069229562e-13
3750,2.2212128512368035e-13
3800,3.0606103589014833e-12
3850,1.930289912285832e-12
3900,2.1662404942751623e-12
3950,4.833911049217932e-13
4000,2.4504575885792024e-12
4050,1.1901604376508834e-13
4100,8.881821466450932e-14
4150,2.025046932441557e-13
4200,1.8118857380167858e-13
4250,4.638511796883904e-13
4300,4.439368252347198e-13
4350,6.454074471043403e-13
4400,4.033092490616369e-13
4450,2.2284912630510245e-12
4500,7.129438098912866e-13
4550,1.4302722417883218e-12
4600,3.99375546739425e-13
4650,2.0880805765011168e-12
4700,1.8805521376230594e-12
4750,1.4373246516596883e-13
4800,1.8254850756016516e-12
4850,7.157955868655752e-13
4900,1.2483214332018044e-12
4950,3.3913190723537656e-13
5000,1.8926815410075237e-12
5050,4.920565907853836e-13
5100,7.809109262013614e-13
5150,1.0752791886059487e-12
5200,1.032049988004824e-12
5250,1.5839004370230003e-12
5300,6.213440135668935e-13
5350,3.262404723539808e-13
5400,2.434394049191657e-12
5450,2.096102154694468e-13
5500,4.012279061511165e-13
5550,1.221599861198075e-12
5600,1.9184672839060724e-13
5650,2.0620991351104345e-13
5700,1.7925960195397384e-13
5750,9.077051176670237e-13
5800,2.05996396156205e-12
5850,1.683098240857009e-13
5900,6.827804380910019e-13
5950,1.3725140815545878e-12
6000,1.2838105144935552e-12
6050,2.3654973379388933e-12
6100,1.4352201068226766e-12
6150,4.627204001905749e-12
6200,7.395476917491928e-13
6250,3.2036328884849086e-12
6300,1.3672611220288955e-12
6350,1.299683234298743e-12
6400,1.5971971737815255e-13
6450,1.1638952334466074e-13
6500,9.028980227322389e-14
6550,9.252305546063669e-14
6600,1.9850902605728082e-12
6650,8.812255395881929e-13
6700,8.006798349335931e-13
6750,6.53692508109649e-12
6800,1.0974835406782346e-12
6850,1.212497441858973e-13
6900,3.232969718758999e-13
6950,3.0684012188725296e-12
7000,3.2286543230619635e-12
7050,1.1161352874919372e-12
7100,2.5598604182566764e-13
7150,1.4417156704582546e-12
7200,4.310936590340431e-12
7250,2.1354479870592386e-13
7300,1.0334583666268826e-12
7350,5.752537660629053e-13
7400,1.9123736882259434e-12
7450,6.057758461519569e-13
7500,3.0236579163850016e-14
7550,1.2629136018210696e-12
7600,6.891501800644628e-13
7650,4.08257222516209e-13
7700,2.0794277758029445e-12
7750,1.2076175563008329e-12
7800,7.753869595006346e-12
7850,3.7635882908435003e-13
7900,4.489715457051124e-12
7950,2.1206649717525616e-12
8000,1.6656128516354118e-12
8050,1.1507743542804594e-12
8100,2.1420632195096045e-12
8150,9.4464052465687e-13
8200,1.6269903176449607e-12
8250,1.6191223708994507e-12
8300,1.6556854628632656e-12
8350,4.293628820539741e-12
8400,2.5284874020925496e-12
8450,7.468335574533497e-14
8500,8.767748998345353e-15
8550,2.072360078680946e-12
8600,2.4221885348146843e-12
8650,1.6121698160481701e-12
8700,5.220964177481136e-13
8750,5.406063695523799e-15
8800,4.55282513078803e-12
8850,8.680285223244821e-13
8900,2.8832784684101886e-12
8950,6.372040482066632e-14
9000,1.3500326887221775e-13
9050,5.937087193402801e-12
9100,1.7348146573795131e-12
9150,7.076303518843696e-12
9200,1.7786898256350048e-12
9250,1.6353765130289188e-12
9300,3.1294400664599875e-13
9350,1.0082081653914332e-12
9400,1.0896043182301307e-12
9450,1.6206477349359205e-12
9500,9.021605077569328e-13
9550,7.170382993956781e-13
9600,5.193670580411203e-12
9650,5.199037814845875e-12
9700,5.270091654741016e-12
9750,3.1944846073939104e-12
9800,2.088385670992454e-12
9850,5.6002650433706336e-12
9900,1.1526268221123681e-12
9950,4.3182701338351226e-12
10000,3.992487764004071e-12
10050,1.7899581556540811e-12
10100,4.275332258357745e-12
10150,4.287931988644633e-12
10200,1.9941056997926226e-13
10250,1.598416060968888e-12
10300,1.5060950533593576e-12
10350,4.692633543031122e-13
10400,4.6384714645630876e-12
10450,5.3140968188369886e-12
10500,6.234521362710743e-13
10550,1.3842166345437446e-12
10600,1.405046326681536e-12
10650,5.805690997395807e-12
10700,1.1495548436768477e-12
10750,1.1946448170985224e-11
10800,8.912027366081432e-12
10850,2.153249583844441e-12
10900,6.180501856828391e-12
10950,1.2814835997909668e-11
11000,5.497923730862775e-12
11050,1.5294979909333262e-12
11100,2.594304328654151e-12
11150,6.671386533485535e-12
11200,7.260221070171102e-12
11250,4.869246065380972e-12
11300,4.4894097120384835e-12
11350,2.565489053835135e-12
11400,1.220254973455237e-11
11450,1.3438256583897523e-12
11500,1.4203534182133382e-11
11550,5.540403639342495e-12
11600,4.240872410188334e-12
11650,4.2045828624326376e-12
11700,2.130462906785313e-12
11750,4.4894097120384835e-12
11800,4.042302083340221e-12
11850,5.371703949708095e-12
11900,3.069295251983961e-12
11950,7.91904476021843e-12
12000,6.991740953560255e-12
12050,5.199342258815909e-12
12100,1.2062270453305768e-11
12150,5.753566460070525e-12
12200,6.250945507740857e-12
12250,1.0321413862479645e-11
12300,1.2883907482552637e-11
12350,1.7621459846850485e-12
12400,9.28119451952536e-13
12450,8.665570973460934e-13
12500,1.342468410742148e-11
12550,4.2059402835525894e-12
12600,6.6618412175589725e-12
12650,1.0738526387554792e-11
12700,9.232786410406923e-12
12750,2.339773611404611e-13
12800,1.0652043483383444e-12
12850,1.1353439889616457e-11
12900,1.0888655428697991e-11
12950,8.125558385863041e-12
13000,3.1464850256540666e-12
13050,1.421087097823459e-13
13100,5.413420579858386e-12
13150,2.869372708186324e-12
13200,2.0726504280227376e-12
13250,6.2213038540259724e-12
13300,1.2358868269057854e-12
13350,8.437586566933941e-12
13400,1.491834650604873e-12
13450,1.430636685506581e-11
13500,5.810681254735106e-14
13550,3.154199991473039e-12
13600,1.9004450790838234e-12
13650,7.977305448159111e-12
13700,2.110353124890052e-12
