step,value
50,9.960485769511251e-09
100,6.322021306459646e-08
150,4.4253795294935117e-07
200,1.6015051187423524e-06
250,1.179968649012153e-06
300,1.4326633390737697e-06
350,1.5167157698670053e-06
400,1.4321869912237162e-06
450,1.4318197827378754e-06
500,1.8522556501920917e-06
550,1.6830073263918166e-06
600,1.513768211225397e-06
650,1.5967244735293207e-06
700,1.1336669558659196e-06
750,1.2585790045704925e-06
800,6.706597446282103e-07
850,1.1307545264571672e-06
900,6.22368759195524e-07
950,3.344201502386568e-07
1000,6.786656570056948e-08
1050,3.1299063607548305e-07
1100,1.6683375747561513e-07
1150,2.709487318952597e-07
1200,6.25220479832933e-08
1250,6.668384457952925e-07
1300,7.505995540668664e-07
1350,7.092036753419961e-07
1400,1.3358301202970324e-06
1450,5.849976787430933e-07
1500,8.548225309823465e-07
1550,1.883951199488365e-07
1600,1.1104050372523488e-06
1650,7.552246756858949e-07
1700,3.254897364968201e-07
1750,4.2032220903820416e-07
1800,3.575753737550258e-07
1850,6.103115310907015e-07
1900,6.05392756369838e-07
1950,2.094428509735735e-06
2000,1.3906327467338997e-06
2050,4.21450785381694e-08
2100,1.3908136224927148e-06
2150,8.454057933704462e-07
2200,5.265981144475518e-07
2250,1.2528065553851775e-06
2300,1.1352614137649653e-06
2350,1.0514883115320117e-06
2400,8.406431817320481e-08
2450,1.0077666274810326e-06
2500,7.54757024878927e-07
2550,1.9891450619979878e-07
2600,2.708562305997475e-06
2650,5.434893637357163e-07
2700,2.338460944883991e-06
2750,2.919406369983335e-06
2800,3.226668013667222e-06
2850,8.322516720227213e-08
2900,2.410534079899662e-06
2950,4.689583875006065e-06
3000,1.865524268396257e-07
3050,9.676563195171184e-07
3100,4.7834390670686844e-08
3150,2.4602136363682803e-06
3200,4.297871328162728e-06
3250,1.1357633411535062e-06
3300,1.9198780591977993e-06
3350,2.807395503623411e-06
3400,1.5499114169870154e-06
3450,7.403538688777189e-07
3500,1.4740288634129683e-06
3550,4.7677019665570697e-07
3600,8.944494425122684e-07
3650,2.081396957009929e-07
3700,3.2477685181220295e-06
3750,2.4995970306918025e-06
3800,1.2919164191771415e-06
3850,4.419869128469145e-06
3900,2.637421857798472e-06
3950,1.7939674989975174e-06
4000,3.503189191178535e-06
4050,3.007073701155605e-06
4100,9.60060560828424e-07
4150,4.05070341003011e-06
4200,2.7567314191401238e-06
4250,4.635002369468566e-06
4300,4.142999841860728e-06
4350,7.695988642808516e-06
4400,3.2086786632135045e-06
4450,2.281268734805053e-06
4500,2.4079844251900795e-07
4550,5.945508291915758e-06
4600,2.576544829935301e-06
4650,1.0479310930122665e-07
4700,3.354507725816802e-06
4750,3.697489034948376e-07
4800,2.066285333057749e-06
4850,5.2475420488917734e-06
4900,4.448856088856701e-06
4950,1.029506620398024e-06
5000,4.706138042820385e-06
5050,4.161065135122044e-06
5100,2.3739451080473373e-06
5150,1.612782739357499e-06
5200,1.0087401278724428e-06
5250,4.7105183398343797e-07
5300,1.7235452105524018e-06
5350,2.439308673274354e-06
5400,2.503653604435385e-06
5450,3.0297831017378485e-06
5500,2.3146453997924255e-07
5550,3.3678563227113045e-07
5600,1.7877458411211244e-12
5650,2.947260497876414e-07
5700,4.737670167287433e-08
5750,3.664165888039861e-06
5800,5.180806510907132e-06
5850,1.7695851965982001e-06
5900,2.1279649899952346e-06
5950,3.863583060592646e-06
6000,2.528693983094854e-07
6050,6.673400093859527e-06
6100,1.6857752598298248e-06
6150,6.742482696608931e-07
6200,2.949586530576198e-07
6250,1.2642072988455766e-06
6300,8.428611977251421e-07
6350,2.528370487198117e-06
6400,1.0719338661147049e-06
6450,2.2333945253194543e-06
6500,8.217680260713678e-07
6550,9.693499123386573e-07
6600,1.5278228602255695e-06
6650,1.2051277735736221e-06
6700,1.938754394359421e-06
6750,2.1494488464668393e-06
6800,2.9078375973767834e-06
6850,1.5910395632090513e-06
6900,1.4777421029066318e-06
6950,1.625284085093881e-06
7000,3.403348955544061e-06
7050,4.298814928915817e-06
7100,1.790959771597045e-07
7150,8.429094577877549e-07
7200,2.1704950086132158e-06
7250,5.3104972721484955e-06
7300,5.057582939116401e-07
7350,6.743453582203074e-07
7400,1.095813900064968e-06
7450,1.0325819630452315e-06
7500,1.264400680156541e-06
7550,1.8333212210563943e-06
7600,2.0230445443303324e-06
7650,2.149396323147812e-06
7700,1.6232045254582772e-06
7750,5.394760137278354e-06
7800,1.8389838487564703e-06
7850,5.268223546295303e-08
7900,5.057520411355654e-07
7950,8.42928216115979e-08
8000,1.6857504760992015e-06
8050,2.2758906652597943e-06
8100,1.8437070821164525e-06
8150,1.4325106576507096e-06
8200,1.6537006786165875e-06
8250,1.0533154863878735e-06
8300,1.4324890571515425e-06
8350,4.635735422198195e-07
8400,7.142929007386556e-06
8450,3.455942760410835e-06
8500,2.296752882102737e-06
8550,1.5935316923787468e-06
8600,2.502450570318615e-06
8650,7.164879320953332e-07
8700,3.729986701728194e-06
8750,2.440827074678964e-06
8800,1.1089126701335772e-06
8850,5.162962224858347e-06
8900,1.1801097343777656e-06
8950,1.1801114396803314e-06
9000,2.611601530588814e-06
9050,1.980878096219385e-06
9100,1.4119204934104346e-06
9150,2.102072585330461e-06
9200,1.411696530340123e-06
9250,1.1800779020632035e-06
9300,1.8544100157669163e-06
9350,1.7280201518588e-06
9400,4.046097274112981e-06
9450,3.287451590949786e-06
9500,3.371716559286142e-07
9550,7.747785844003374e-07
9600,3.62462924385909e-06
9650,4.8046895244624466e-06
9700,5.77313448957284e-06
9750,1.2747647133437567e-06
9800,3.2868069865799043e-06
9850,2.349653414057684e-06
9900,3.434964582993416e-06
9950,5.178748779144371e-06
10000,4.46229614681215e-06
10050,3.6878382161376067e-06
10100,2.1494911379704718e-06
10150,3.951016935843654e-08
10200,2.086239646814647e-06
10250,2.823714112309972e-06
10300,4.782725682161981e-06
10350,2.444493475195486e-06
10400,2.6552229428489227e-06
10450,3.7931835095150745e-07
10500,2.107284586827518e-07
10550,7.479579380742507e-06
10600,1.9806971067737322e-06
10650,1.8224933455712744e-06
10700,2.286293010911322e-06
10750,4.7677698944426083e-07
10800,2.022926310019102e-06
10850,4.298876774555538e-06
10900,1.0536476935385508e-07
10950,6.013492566125933e-06
11000,2.022865828621434e-06
11050,2.7974185741186375e-06
11100,1.4224540336726932e-06
11150,9.272191050513356e-07
11200,2.36018559007789e-06
11250,2.8711747290799394e-06
11300,2.2548431388713652e-06
11350,5.731951205234509e-06
11400,1.6432858274129103e-06
11450,1.1797798151746974e-06
11500,2.5072263269976247e-06
11550,2.3596871869813185e-06
11600,3.4980857890332118e-06
11650,1.3276147683427553e-06
11700,2.865600890800124e-06
11750,7.665301382075995e-06
11800,6.795783065172145e-07
11850,5.900044470763532e-07
11900,1.0114248425452388e-06
11950,2.823809154506307e-06
