step,value
50,0.01919201761484146
100,0.009459475055336952
150,0.0022601489908993244
200,0.0003034119145013392
250,4.750691005028784e-05
300,9.389980732521508e-06
350,3.3916453503479715e-06
400,2.174657083742204e-06
450,1.997125991692883e-06
500,2.075998736472684e-06
550,2.402566678938456e-06
600,1.8845755676011322e-06
650,1.953786522790324e-06
700,1.8332798390474636e-06
750,1.9039391645492287e-06
800,1.8537184587330557e-06
850,1.866787783910695e-06
900,1.9554433947632788e-06
950,1.773442022567906e-06
1000,2.196818286392954e-06
1050,2.2743067802366568e-06
1100,2.360358848818578e-06
1150,2.0197578578518005e-06
1200,2.2415285911847604e-06
1250,2.804555606417125e-06
1300,2.7072683224105276e-06
1350,2.195081151512568e-06
1400,2.671364882189664e-06
1450,2.95200698019471e-06
1500,3.10430073113821e-06
1550,2.80672043118102e-06
1600,3.280659711890621e-06
1650,3.2799100608826848e-06
1700,3.7742847780464217e-06
1750,3.287433173682075e-06
1800,3.4665763450902887e-06
1850,4.190602794551523e-06
1900,3.8375537769752555e-06
1950,3.5296336591272848e-06
2000,4.3254613046883605e-06
2050,4.990681645722361e-06
2100,4.836633706872817e-06
2150,4.74391754323733e-06
2200,5.2166737987136e-06
2250,5.417861302703386e-06
2300,5.525031610886799e-06
2350,5.0528633437352255e-06
2400,5.891774890187662e-06
2450,7.005262432357995e-06
2500,6.74459442961961e-06
2550,7.063971224852139e-06
2600,7.3789401540125255e-06
2650,7.329153049795423e-06
2700,8.597031410317868e-06
2750,8.50141623232048e-06
2800,7.368420483544469e-06
2850,7.459718744939892e-06
2900,7.699242814851459e-06
2950,7.87656881584553e-06
3000,8.500899639329873e-06
3050,8.948461982072331e-06
3100,8.796228939900175e-06
3150,8.874240847944748e-06
3200,8.529972546966746e-06
3250,8.876517313183285e-06
3300,7.514503067795886e-06
3350,7.634051144123077e-06
3400,6.175042926770402e-06
3450,6.375495104293805e-06
3500,7.403769814118277e-06
3550,7.238620128191542e-06
3600,6.799455150030553e-06
3650,6.761110398656456e-06
3700,7.022476438578451e-06
3750,6.710884008498397e-06
3800,7.232022653624881e-06
3850,8.156709554896224e-06
3900,7.592669135192409e-06
3950,8.498939678247552e-06
4000,7.966210432641674e-06
4050,6.93314359523356e-06
4100,6.521501745737623e-06
4150,7.224953151308e-06
4200,6.740014214301482e-06
4250,6.794748969696229e-06
4300,7.097725301719038e-06
4350,7.327200364670716e-06
4400,6.882114121253835e-06
4450,7.044309768389212e-06
4500,5.3876156016485766e-06
4550,7.320891654671868e-06
4600,6.725082585035125e-06
4650,8.478096788167022e-06
4700,7.807248948665801e-06
4750,7.463337169610895e-06
4800,6.820620455982862e-06
4850,5.9222179515927564e-06
4900,5.513881205843063e-06
4950,7.078054295561742e-06
5000,7.665692464797758e-06
5050,8.479689313389827e-06
5100,7.347467544605024e-06
5150,7.330317657761043e-06
5200,6.494445187854581e-06
5250,6.293006663327105e-06
5300,6.156916697364068e-06
5350,6.472169388871407e-06
5400,7.0126052378327586e-06
5450,6.477378065028461e-06
5500,5.852221875102259e-06
5550,6.964013664401136e-06
5600,8.373555829166435e-06
5650,6.798429694754304e-06
5700,6.3582283473806456e-06
5750,8.136686119541992e-06
5800,7.4440463322389405e-06
5850,5.6417629821226e-06
5900,5.919030627410393e-06
5950,5.152837729838211e-06
6000,6.689849669783143e-06
6050,5.94242146689794e-06
6100,5.278469870972913e-06
6150,7.421042937494349e-06
6200,6.419897545129061e-06
6250,6.574985036422731e-06
6300,7.928902959974948e-06
6350,6.345911515381886e-06
6400,7.570704838144593e-06
6450,7.360745712503558e-06
6500,5.1783058552246075e-06
6550,6.134370323707117e-06
6600,5.542608960240614e-06
6650,7.421827831421979e-06
6700,6.963490704947617e-06
6750,6.099313395679928e-06
6800,6.12904204899678e-06
6850,6.804646545788273e-06
6900,6.8646409090433735e-06
6950,5.955416781944223e-06
7000,6.8898302743036766e-06
7050,6.300595487118699e-06
7100,5.947136742179282e-06
7150,6.28494990451145e-06
7200,6.3732968555996194e-06
7250,5.079723905510036e-06
7300,6.220840077730827e-06
7350,7.951592124300078e-06
7400,8.528453690814786e-06
7450,7.041044682409847e-06
7500,7.457251285813982e-06
7550,6.171378117869608e-06
7600,5.988737029838376e-06
7650,6.6394177338224836e-06
7700,7.527347406721674e-06
7750,5.936127308814321e-06
7800,5.8200698731525335e-06
7850,6.446589395636693e-06
7900,6.823628154961625e-06
7950,5.968075129203498e-06
8000,4.813079613086302e-06
8050,5.389008947531693e-06
8100,7.040981472528074e-06
8150,8.131512004183605e-06
8200,8.233382686739787e-06
8250,7.001871836109785e-06
8300,6.9998245635360945e-06
8350,8.981788596429396e-06
8400,1.012248594634002e-05
8450,1.0326813026040327e-05
8500,7.183001343946671e-06
8550,1.1748251381504815e-05
8600,7.665503289899789e-06
8650,7.715148058196064e-06
8700,8.296411579067353e-06
8750,6.9543680183414835e-06
8800,7.806946996424813e-06
8850,6.304815087787574e-06
8900,6.65111701891874e-06
8950,8.861522474035155e-06
9000,6.436915555241285e-06
9050,1.1921904842893127e-05
9100,8.830304977891501e-06
9150,1.064016942109447e-05
9200,6.826652679592371e-06
9250,6.1267010096344166e-06
9300,7.832148185116239e-06
9350,6.170068445499055e-06
9400,7.2016082413028926e-06
9450,7.164157977967989e-06
9500,8.683246960572433e-06
9550,5.667836376233026e-06
9600,5.396148026193259e-06
9650,7.738308340776712e-06
9700,5.613553184957709e-06
9750,7.632352208020166e-06
9800,6.188910901983036e-06
9850,9.05814886209555e-06
9900,6.9174311647657305e-06
9950,1.3996119378134608e-05
10000,8.447093023278285e-06
10050,7.236393230414251e-06
10100,6.482222943304805e-06
10150,5.131613761477638e-06
10200,5.686628355761059e-06
10250,6.109268269938184e-06
10300,5.414949100668309e-06
10350,7.415261734422529e-06
10400,7.055587957438547e-06
10450,6.874183782201726e-06
10500,6.797480637033004e-06
10550,5.931308805884328e-06
10600,5.647778834827477e-06
10650,5.771007181465393e-06
10700,4.777547928824788e-06
10750,7.561421170976246e-06
10800,5.4366087169910315e-06
10850,6.127677806944121e-06
10900,4.969190740666818e-06
10950,5.465243702929001e-06
11000,4.641878149413969e-06
11050,4.8686270019970834e-06
11100,5.352997504814994e-06
11150,4.326514499553014e-06
11200,3.900403498846572e-06
11250,4.973410796083044e-06
11300,5.3926064538245555e-06
11350,4.462069682631409e-06
11400,4.844341674470343e-06
11450,4.919619641441386e-06
11500,4.675472155213356e-06
11550,7.011467459960841e-06
11600,7.01907492839382e-06
11650,5.189960575080477e-06
11700,4.11336532124551e-06
11750,5.393127594288671e-06
11800,3.668705403470085e-06
11850,4.76504237667541e-06
11900,3.93892787542427e-06
11950,3.952578026655829e-06
12000,4.001502929895651e-06
12050,3.8113189475552645e-06
12100,4.118112428841414e-06
12150,4.226656528771855e-06
12200,3.252720716773183e-06
12250,4.496940164244734e-06
12300,4.151110715611139e-06
12350,3.4429294828441925e-06
12400,4.078778601979138e-06
12450,3.102752089034766e-06
12500,3.5334117001184495e-06
12550,3.857848241750617e-06
12600,3.0822939152130857e-06
12650,4.021175300294999e-06
12700,3.4910074191429885e-06
12750,2.9629404707520735e-06
12800,4.1735479499038775e-06
12850,2.8012666462018387e-06
12900,3.5016053061553976e-06
12950,3.1581773782818345e-06
13000,3.0456089916697238e-06
13050,4.250961865182035e-06
13100,3.6992178138461895e-06
13150,4.621515472535975e-06
13200,4.178209564997815e-06
13250,3.5269465570308967e-06
13300,3.17361855195486e-06
13350,2.953893044832512e-06
13400,3.309282419650117e-06
13450,3.1033982850203756e-06
13500,2.6937539132632082e-06
13550,2.9115890356479213e-06
13600,3.1484028113482054e-06
13650,2.523706825741101e-06
13700,3.765805104194442e-06
13750,3.030061861863942e-06
13800,3.3684516438370338e-06
13850,3.5047621622652514e-06
13900,3.0965127280069282e-06
13950,3.075266704399837e-06
14000,5.809742106066551e-06
14050,3.3218777844012948e-06
14100,2.909448767240974e-06
14150,3.1129543458519038e-06
14200,3.3680389606161043e-06
14250,3.505718723317841e-06
14300,3.5072507671429776e-06
14350,3.134210146527039e-06
14400,4.157798230153276e-06
14450,4.0662775973032694e-06
14500,3.210002887499286e-06
14550,3.2848654427652946e-06
14600,2.9731515951425536e-06
14650,3.2584489417786244e-06
14700,3.1894214771455154e-06
14750,2.9495586204575375e-06
14800,2.9064865429972997e-06
14850,3.167459226460778e-06
14900,3.88250964533654e-06
14950,3.927836587536149e-06
15000,3.5027194371650694e-06
15050,3.55552697328676e-06
15100,3.108687451458536e-06
15150,3.828793524007779e-06
15200,3.858523086819332e-06
15250,3.7662646263925126e-06
15300,3.32266790792346e-06
15350,3.966750682593556e-06
15400,2.845046992661082e-06
15450,3.9213127820403315e-06
15500,3.349669668750721e-06
15550,3.8494013097079005e-06
15600,3.6350540995044867e-06
15650,4.581274424708681e-06
15700,3.656880380731309e-06
15750,3.1738354664412327e-06
15800,3.232798690078198e-06
15850,4.6915715756767895e-06
15900,3.1500885597779416e-06
15950,4.0445647755404934e-06
16000,3.592157554521691e-06
16050,3.5393675261730095e-06
16100,3.189775270584505e-06
16150,3.6142300814390182e-06
16200,3.0438770863838727e-06
16250,4.103284481971059e-06
16300,3.64607990377408e-06
16350,3.1643305646866793e-06
16400,3.6805306535825366e-06
16450,3.701301238834276e-06
16500,3.9033207031025086e-06
16550,4.0456902752339374e-06
16600,4.887463092018152e-06
16650,6.375680641212966e-06
16700,3.290368567832047e-06
16750,3.885495971189812e-06
16800,4.157724561082432e-06
16850,3.4315353332203813e-06
16900,4.486690613703104e-06
16950,3.7698805499530863e-06
17000,3.914613444067072e-06
17050,4.5270412556419615e-06
17100,3.317810296721291e-06
17150,3.6734134027938126e-06
17200,3.489796426947578e-06
17250,3.8115190363896545e-06
17300,3.3005710520228604e-06
17350,3.3931980851775734e-06
17400,3.2924808692769147e-06
17450,3.905397079506656e-06
17500,4.239332156430464e-06
17550,3.3258681924053235e-06
17600,3.3122580589406425e-06
17650,4.996520146960393e-06
17700,3.544399760357919e-06
17750,3.5169714465155266e-06
17800,3.7012810025771614e-06
17850,3.5314742490299977e-06
17900,3.3603405427129474e-06
17950,3.3840269679785706e-06
18000,3.720872882695403e-06
18050,3.258371179981623e-06
18100,3.6692288176709553e-06
18150,3.7249201341182925e-06
18200,3.856272542179795e-06
18250,3.699057060657651e-06
18300,3.4468405374354916e-06
18350,3.2129985356732504e-06
18400,3.2079840366350254e-06
18450,3.501263336147531e-06
18500,3.286665787527454e-06
18550,3.561807943697204e-06
18600,3.353187139509828e-06
18650,3.5201560422137845e-06
18700,4.517418346949853e-06
18750,4.023790097562596e-06
18800,3.4694464829954086e-06
