step,value
50,1.5958678722381592
100,1.0857146978378296
150,1.0571839809417725
200,1.0657297372817993
250,1.0600377321243286
300,1.0622612237930298
350,1.065750002861023
400,1.108530879020691
450,1.2051893472671509
500,1.1377426385879517
550,1.0951086282730103
600,1.0615178346633911
650,1.0278044939041138
700,1.0381495952606201
750,1.0194087028503418
800,1.0171458721160889
850,1.0205867290496826
900,1.010056734085083
950,1.0134185552597046
1000,1.0143141746520996
1050,1.008790135383606
1100,1.0065312385559082
1150,1.0088449716567993
1200,1.009469747543335
1250,1.0078517198562622
1300,1.0078920125961304
1350,1.0093244314193726
1400,1.0086314678192139
1450,1.0089248418807983
1500,1.0066689252853394
1550,1.0067859888076782
1600,1.0071607828140259
1650,1.0073868036270142
1700,1.009103775024414
1750,1.0067400932312012
1800,1.0091034173965454
1850,1.0136585235595703
1900,1.0084714889526367
1950,1.0084798336029053
2000,1.007203221321106
2050,1.009826421737671
2100,1.005878210067749
2150,1.0089118480682373
2200,1.0077987909317017
2250,1.0119189023971558
2300,1.0097346305847168
2350,1.0132207870483398
2400,1.0143038034439087
2450,1.012690544128418
2500,1.0121210813522339
2550,1.011939525604248
2600,1.0141758918762207
2650,1.0195046663284302
2700,1.0153559446334839
2750,1.0124924182891846
2800,1.0179297924041748
2850,1.010090708732605
2900,1.0165636539459229
2950,1.0210223197937012
3000,1.0186582803726196
3050,1.018631935119629
3100,1.0176668167114258
3150,1.0171549320220947
3200,1.0173225402832031
3250,1.0144479274749756
3300,1.021432638168335
3350,1.0338389873504639
3400,1.1003650426864624
3450,1.2025679349899292
3500,1.3611544370651245
3550,1.2432680130004883
3600,1.4846493005752563
3650,1.7737778425216675
3700,1.9439724683761597
3750,1.8021663427352905
3800,2.009042978286743
3850,1.8980964422225952
3900,1.896223545074463
3950,1.5241129398345947
4000,1.8530172109603882
4050,1.7596054077148438
4100,1.8804986476898193
4150,1.932981014251709
4200,1.9327200651168823
4250,1.7686628103256226
4300,2.0343008041381836
4350,1.7638541460037231
4400,1.9950405359268188
4450,2.008657693862915
4500,1.8636507987976074
4550,2.020653247833252
4600,1.89597749710083
4650,1.8282610177993774
4700,1.9047273397445679
4750,1.967664122581482
4800,2.000749349594116
4850,1.7416777610778809
4900,1.8538089990615845
4950,1.9140527248382568
5000,1.9253431558609009
5050,1.7074477672576904
5100,2.0340728759765625
5150,1.7089093923568726
5200,1.9371463060379028
5250,2.0392508506774902
5300,1.8027410507202148
5350,2.0007131099700928
5400,2.035290241241455
5450,1.9990237951278687
5500,1.9486503601074219
5550,1.9368841648101807
5600,1.9999022483825684
5650,1.7516992092132568
5700,2.037951707839966
5750,1.966850757598877
5800,1.888748288154602
5850,1.7294632196426392
5900,1.6965734958648682
5950,1.9184622764587402
6000,2.019353151321411
6050,1.7774029970169067
6100,2.113372325897217
6150,1.8354346752166748
6200,1.9459788799285889
6250,1.554197072982788
6300,1.9495831727981567
6350,1.9609979391098022
6400,1.910231590270996
6450,2.0439844131469727
6500,1.7416187524795532
6550,1.9608343839645386
6600,2.1069881916046143
6650,1.9433379173278809
6700,2.0254971981048584
6750,2.02750825881958
6800,2.093588352203369
6850,2.0382587909698486
6900,1.822408676147461
6950,2.082075595855713
7000,2.1681134700775146
7050,1.8101850748062134
7100,1.9212092161178589
7150,1.9913605451583862
7200,2.172166585922241
7250,1.9710931777954102
7300,1.7549275159835815
7350,1.9691317081451416
7400,1.9523565769195557
7450,1.963292121887207
7500,1.9315062761306763
7550,2.161623239517212
7600,2.111968994140625
7650,1.9579315185546875
7700,1.90580415725708
7750,1.6633650064468384
7800,2.007848024368286
7850,2.082819938659668
7900,1.8116415739059448
7950,1.6855442523956299
8000,2.111159324645996
8050,2.163952350616455
8100,1.8384603261947632
8150,1.801668405532837
8200,1.8605060577392578
8250,1.8985443115234375
8300,2.0793490409851074
8350,2.366117238998413
8400,2.6022579669952393
8450,2.6326863765716553
8500,2.139554500579834
8550,1.796290636062622
8600,2.413168430328369
8650,2.5725765228271484
8700,2.0236563682556152
8750,2.4352383613586426
8800,2.4453694820404053
8850,2.181251049041748
8900,2.400447368621826
8950,2.716355800628662
9000,2.619291067123413
9050,1.9471153020858765
9100,1.9499751329421997
9150,1.905246376991272
9200,1.8682645559310913
9250,2.1027350425720215
9300,2.2007648944854736
9350,1.8418090343475342
9400,1.7812345027923584
9450,2.093273162841797
9500,2.1554369926452637
9550,2.815390110015869
9600,1.9787521362304688
9650,1.9002854824066162
9700,1.9544651508331299
9750,1.7545143365859985
9800,1.6520572900772095
9850,1.9918925762176514
9900,2.0499966144561768
9950,1.8803331851959229
10000,1.9833242893218994
10050,1.8532687425613403
10100,2.4213578701019287
10150,1.7124407291412354
10200,2.2349905967712402
10250,2.0995993614196777
10300,1.7844656705856323
10350,2.1315019130706787
10400,2.078572988510132
10450,1.595810890197754
