step,value
170750,2.535301200456459e+30
170800,2.535301200456459e+30
170850,2.535301200456459e+30
170900,2.535301200456459e+30
170950,2.535301200456459e+30
171000,2.535301200456459e+30
171050,2.535301200456459e+30
171100,2.535301200456459e+30
171150,2.535301200456459e+30
171200,2.535301200456459e+30
171250,2.535301200456459e+30
171300,2.535301200456459e+30
171350,2.535301200456459e+30
171400,2.535301200456459e+30
171450,2.535301200456459e+30
171500,2.535301200456459e+30
171550,2.535301200456459e+30
171600,2.535301200456459e+30
171650,2.535301200456459e+30
171700,2.535301200456459e+30
171750,2.535301200456459e+30
171800,2.535301200456459e+30
171850,2.535301200456459e+30
171900,2.535301200456459e+30
171950,2.535301200456459e+30
172000,5.070602400912918e+30
172050,5.070602400912918e+30
172100,5.070602400912918e+30
172150,5.070602400912918e+30
172200,5.070602400912918e+30
172250,5.070602400912918e+30
172300,5.070602400912918e+30
172350,5.070602400912918e+30
172400,5.070602400912918e+30
172450,5.070602400912918e+30
172500,5.070602400912918e+30
172550,5.070602400912918e+30
172600,5.070602400912918e+30
172650,5.070602400912918e+30
172700,5.070602400912918e+30
172750,5.070602400912918e+30
172800,5.070602400912918e+30
172850,5.070602400912918e+30
172900,5.070602400912918e+30
172950,5.070602400912918e+30
173000,5.070602400912918e+30
173050,5.070602400912918e+30
173100,5.070602400912918e+30
173150,5.070602400912918e+30
173200,5.070602400912918e+30
173250,5.070602400912918e+30
173300,5.070602400912918e+30
173350,5.070602400912918e+30
173400,5.070602400912918e+30
173450,5.070602400912918e+30
173500,5.070602400912918e+30
173550,5.070602400912918e+30
173600,5.070602400912918e+30
173650,5.070602400912918e+30
173700,5.070602400912918e+30
173750,5.070602400912918e+30
173800,5.070602400912918e+30
173850,5.070602400912918e+30
173900,5.070602400912918e+30
173950,5.070602400912918e+30
174000,1.0141204801825835e+31
174050,1.0141204801825835e+31
174100,1.0141204801825835e+31
174150,1.0141204801825835e+31
174200,1.0141204801825835e+31
174250,1.0141204801825835e+31
174300,1.0141204801825835e+31
174350,1.0141204801825835e+31
174400,1.0141204801825835e+31
174450,1.0141204801825835e+31
174500,1.0141204801825835e+31
174550,1.0141204801825835e+31
174600,1.0141204801825835e+31
174650,1.0141204801825835e+31
174700,1.0141204801825835e+31
174750,1.0141204801825835e+31
174800,1.0141204801825835e+31
174850,1.0141204801825835e+31
174900,1.0141204801825835e+31
174950,1.0141204801825835e+31
175000,1.0141204801825835e+31
175050,1.0141204801825835e+31
175100,1.0141204801825835e+31
175150,1.0141204801825835e+31
175200,1.0141204801825835e+31
175250,1.0141204801825835e+31
175300,1.0141204801825835e+31
175350,1.0141204801825835e+31
175400,1.0141204801825835e+31
175450,1.0141204801825835e+31
175500,1.0141204801825835e+31
175550,1.0141204801825835e+31
175600,1.0141204801825835e+31
175650,1.0141204801825835e+31
175700,1.0141204801825835e+31
175750,1.0141204801825835e+31
175800,1.0141204801825835e+31
175850,1.0141204801825835e+31
175900,1.0141204801825835e+31
175950,1.0141204801825835e+31
176000,2.028240960365167e+31
176050,2.028240960365167e+31
176100,2.028240960365167e+31
176150,2.028240960365167e+31
176200,2.028240960365167e+31
176250,2.028240960365167e+31
176300,2.028240960365167e+31
176350,2.028240960365167e+31
176400,2.028240960365167e+31
176450,2.028240960365167e+31
176500,2.028240960365167e+31
176550,2.028240960365167e+31
176600,2.028240960365167e+31
176650,2.028240960365167e+31
176700,2.028240960365167e+31
176750,2.028240960365167e+31
176800,2.028240960365167e+31
176850,2.028240960365167e+31
176900,2.028240960365167e+31
176950,2.028240960365167e+31
177000,2.028240960365167e+31
177050,2.028240960365167e+31
177100,2.028240960365167e+31
177150,2.028240960365167e+31
177200,2.028240960365167e+31
177250,2.028240960365167e+31
177300,2.028240960365167e+31
177350,2.028240960365167e+31
177400,2.028240960365167e+31
177450,2.028240960365167e+31
177500,2.028240960365167e+31
177550,2.028240960365167e+31
177600,2.028240960365167e+31
177650,2.028240960365167e+31
177700,2.028240960365167e+31
177750,2.028240960365167e+31
