step,value
170750,0.0
170800,2.108135106482223e-07
170850,3.000992023771687e-07
170900,5.034721652918961e-07
170950,4.1170633835463377e-07
171000,4.5386903479993634e-07
171050,1.9841270670895028e-07
171100,2.1577379527570884e-07
171150,1.686507857812103e-07
171200,1.562500102636477e-07
171250,1.0664683003369646e-07
171300,4.687500165800884e-07
171350,3.447420340307872e-07
171400,4.588293336382776e-07
171450,1.364087438560091e-07
171500,2.5297617867181543e-07
171550,1.9097218739716482e-07
171600,8.432538720626326e-07
171650,3.0257936600719404e-07
171700,2.3065474863415147e-07
171750,4.0178565541282296e-07
171800,4.786706426784804e-07
171850,2.4801585141176474e-07
171900,3.968253565744817e-07
171950,5.977182127026026e-07
172000,2.207341083249048e-07
172050,4.885912403551629e-07
172100,6.001984047543374e-07
172150,2.7529765134204354e-07
172200,6.498015068245877e-07
172250,1.1408729960749042e-06
172300,3.4970236129083787e-07
172350,3.1001982847556064e-07
172400,2.132936458565382e-07
172450,4.290674269213923e-07
172500,7.118055691535119e-07
172550,7.688491905355477e-07
172600,9.57341171670123e-07
172650,1.066468229282691e-07
172700,3.0257936600719404e-07
172750,5.753968252975028e-07
172800,3.0753969326724473e-07
172850,3.447420624524966e-07
172900,1.7857142609045695e-07
172950,1.438492063243757e-07
173000,2.628968047702074e-07
173050,1.7113093520038092e-07
173100,3.0009917395545926e-07
173150,3.7946426800772315e-07
173200,2.6537699682194216e-07
173250,3.72023833961066e-07
173300,5.456349754240364e-07
173350,7.589284223286086e-07
173400,2.95138875117118e-07
173450,2.9513890353882744e-07
173500,3.199404545739526e-07
173550,5.183531470720482e-07
173600,3.5466268855088856e-07
173650,8.48214313009521e-07
173700,3.993054917827976e-07
173750,1.9097223002972896e-07
173800,9.92063405647059e-07
173850,2.703372956602834e-07
173900,1.1160715018831979e-07
173950,1.8105157550962758e-07
174000,3.3234130114578875e-07
174050,3.3234130114578875e-07
174100,8.010912324607489e-07
174150,7.911705779406475e-07
174200,3.943452497878752e-07
174250,4.1666663719297503e-07
174300,5.208333391237829e-07
174350,3.249007818340033e-07
174400,5.059523573436309e-07
174450,3.000992307988781e-07
174500,1.1160714308289243e-07
174550,5.927578285991331e-07
174600,5.803570957141346e-07
174650,3.8938495094953396e-07
174700,4.885912403551629e-07
174750,5.481150537889334e-07
174800,4.7123016599925904e-08
174850,5.257936663838336e-07
174900,7.787698450556491e-07
174950,5.555555731007189e-07
175000,2.132936458565382e-07
175050,5.381944561122509e-07
175100,5.109126277602627e-07
175150,5.753968252975028e-07
175200,3.645833146492805e-07
175250,2.6041666956189147e-07
175300,7.118055691535119e-07
175350,5.580357083090348e-07
175400,2.504960434634995e-07
175450,7.862103075240157e-07
175500,3.0753969326724473e-07
175550,2.901785478570673e-07
175600,2.8273811381041014e-07
175650,3.6210315101925517e-07
175700,9.67261897244498e-08
175750,2.5297620709352486e-07
175800,8.43253999960325e-08
175850,7.366070917669276e-07
175900,1.0168649851038936e-06
175950,4.315476189731271e-07
176000,5.753968252975028e-07
176050,2.0585316917731689e-07
176100,6.374007170961704e-07
176150,3.348214647758141e-07
176200,7.539682655988145e-07
176250,5.133928198119975e-07
176300,1.934523794488996e-07
176350,5.45634968318609e-08
176400,6.324405035229574e-07
176450,4.613095256900124e-07
176500,6.696427590213716e-07
176550,4.1170633835463377e-07
176600,3.0257936600719404e-07
176650,2.3561507589420216e-07
176700,3.745039691693819e-07
176750,2.0337301975814626e-06
176800,5.654762276208203e-07
176850,3.571428521809139e-07
176900,1.7857141187960224e-07
176950,7.762896530039143e-07
177000,5.406745913205668e-07
177050,2.256944355849555e-07
177100,3.224205897822685e-07
177150,1.934523936597543e-07
177200,1.2400792570588237e-07
177250,5.03472222135315e-07
177300,1.6369047273201431e-07
177350,4.538690063782269e-07
177400,3.3730154314071115e-07
177450,5.133929334988352e-07
177500,8.878968742465077e-07
177550,6.522816420329036e-07
177600,8.581349675296224e-07
177650,1.8105156129877287e-07
177700,1.364087438560091e-07
177750,4.191468292447098e-07
177800,4.365079462331778e-07
177850,3.2242064662568737e-07
177900,2.5297617867181543e-07
177950,5.505952458406682e-07
178000,1.2896825296593306e-07
178050,3.100198568972701e-07
178100,3.075396648455353e-07
178150,4.464285439098603e-07
178200,3.769841043776978e-07
178250,2.504960150417901e-07
178300,3.2242064662568737e-07
178350,1.1160714166180696e-06
178400,2.876984126487514e-07
178450,5.381944561122509e-07
178500,4.464285439098603e-07
178550,3.1001982847556064e-07
178600,5.034721652918961e-07
178650,3.993055486262165e-07
178700,5.90277750234236e-07
178750,4.141865019846591e-07
178800,2.3065474863415147e-07
178850,2.4801587983347417e-07
178900,2.678571604519675e-07
178950,5.158730687071511e-07
179000,1.1433530744398013e-06
179050,8.531745834261528e-07
179100,3.521825817642821e-07
179150,2.6785710360854864e-07
179200,6.076389240661229e-07
179250,5.282737447487307e-07
179300,4.836309130951122e-07
179350,3.596230442326487e-07
179400,5.927579422859708e-07
179450,2.008928419172662e-07
179500,1.562500102636477e-07
179550,3.844245668460644e-07
