step,value
170750,4.0343946105227104e-05
170800,4.031782500109074e-05
170850,4.029170664212054e-05
170900,4.026559103572182e-05
170950,4.023947818929904e-05
171000,4.0213368110255964e-05
171050,4.018726080599548e-05
171100,4.016115628391979e-05
171150,4.01350545514302e-05
171200,4.010895561592732e-05
171250,4.0082859484810885e-05
171300,4.0056766165479914e-05
171350,4.003067566533255e-05
171400,4.0004587991766223e-05
171450,3.997850315217747e-05
171500,3.995242115396209e-05
171550,3.9926342004515064e-05
171600,3.990026571123053e-05
171650,3.987419228150188e-05
171700,3.984812172272163e-05
171750,3.982205404228153e-05
171800,3.979598924757245e-05
171850,3.976992734598454e-05
171900,3.9743868344907035e-05
171950,3.971781225172841e-05
172000,3.969175907383628e-05
172050,3.966570881861746e-05
172100,3.9639661493457894e-05
172150,3.961361710574277e-05
172200,3.958757566285636e-05
172250,3.956153717218215e-05
172300,3.9535501641102755e-05
172350,3.9509469077000025e-05
172400,3.948343948725486e-05
172450,3.945741287924741e-05
172500,3.9431389260356935e-05
172550,3.940536863796184e-05
172600,3.937935101943972e-05
172650,3.935333641216726e-05
172700,3.932732482352038e-05
172750,3.9301316260874045e-05
172800,3.927531073160243e-05
172850,3.924930824307878e-05
172900,3.92233088026756e-05
172950,3.9197312417764386e-05
173000,3.917131909571589e-05
173050,3.914532884389991e-05
173100,3.911934166968542e-05
173150,3.9093357580440484e-05
173200,3.9067376583532353e-05
173250,3.904139868632733e-05
173300,3.9015423896190886e-05
173350,3.89894522204876e-05
173400,3.896348366658117e-05
173450,3.893751824183437e-05
173500,3.891155595360917e-05
173550,3.8885596809266575e-05
173600,3.885964081616671e-05
173650,3.883368798166886e-05
173700,3.880773831313133e-05
173750,3.8781791817911627e-05
173800,3.875584850336627e-05
173850,3.872990837685092e-05
173900,3.870397144572031e-05
173950,3.867803771732831e-05
174000,3.865210719902782e-05
174050,3.8626179898170903e-05
174100,3.8600255822108644e-05
174150,3.857433497819126e-05
174200,3.854841737376799e-05
174250,3.852250301618725e-05
174300,3.8496591912796445e-05
174350,3.847068407094211e-05
174400,3.844477949796984e-05
174450,3.8418878201224304e-05
174500,3.839298018804922e-05
174550,3.836708546578742e-05
174600,3.834119404178076e-05
174650,3.8315305923370195e-05
174700,3.8289421117895735e-05
174750,3.826353963269641e-05
174800,3.823766147511038e-05
174850,3.821178665247479e-05
174900,3.81859151721259e-05
174950,3.816004704139897e-05
175000,3.813418226762836e-05
175050,3.8108320858147426e-05
175100,3.808246282028862e-05
175150,3.805660816138341e-05
175200,3.803075688876232e-05
175250,3.8004909009754876e-05
175300,3.797906453168971e-05
175350,3.79532234618944e-05
175400,3.792738580769568e-05
175450,3.7901551576419184e-05
175500,3.787572077538967e-05
175550,3.784989341193085e-05
175600,3.782406949336555e-05
175650,3.7798249027015534e-05
175700,3.777243202020164e-05
175750,3.774661848024372e-05
175800,3.772080841446058e-05
175850,3.769500183017016e-05
175900,3.7669198734689304e-05
175950,3.764339913533391e-05
176000,3.761760303941889e-05
176050,3.759181045425817e-05
176100,3.756602138716462e-05
176150,3.754023584545022e-05
176200,3.7514453836425845e-05
176250,3.748867536740144e-05
176300,3.746290044568588e-05
176350,3.743712907858711e-05
176400,3.7411361273412e-05
176450,3.7385597037466485e-05
176500,3.73598363780554e-05
176550,3.7334079302482636e-05
176600,3.7308325818051015e-05
176650,3.7282575932062396e-05
176700,3.725682965181756e-05
176750,3.723108698461631e-05
