step,value
170750,1.667503483383792e-12
170800,1.5881318612617767e-12
170850,1.4453257384319795e-12
170900,1.0364908801033246e-12
170950,1.56357606441275e-13
171000,7.819840695116875e-13
171050,1.4718376257355503e-12
171100,1.1756432416118456e-12
171150,1.216603966007479e-12
171200,1.0477327339053488e-11
171250,1.1742539449480227e-12
171300,1.5902319608698812e-12
171350,1.5099039911165707e-13
171400,1.6678141073062092e-12
171450,2.3166095777793494e-12
171500,6.6125455805421396e-12
171550,1.3565535413734287e-12
171600,8.129617313536175e-13
171650,3.2314466857572e-13
171700,2.011775728644194e-12
171750,2.514307935030241e-13
171800,1.293542313193785e-12
171850,6.645099509712538e-13
171900,3.620720260069654e-13
171950,8.44421407797391e-12
172000,1.637248388079715e-12
172050,9.762281044309318e-13
172100,3.4307016862772377e-12
172150,3.047084719959292e-12
172200,5.851951410430767e-13
172250,2.491390123718351e-12
172300,1.2734193040320196e-12
172350,1.1296105110331078e-12
172400,1.3812375722344061e-12
172450,1.0140296805363769e-12
172500,8.612738994218105e-12
172550,2.5503908880619708e-12
172600,1.8859881104754672e-13
172650,3.1392342067851353e-13
172700,2.1169602529291787e-12
172750,2.6271671470234903e-12
172800,4.5722110044452494e-14
172850,6.960274370748643e-13
172900,1.239210990766626e-12
172950,1.5601864418457456e-12
173000,2.9494614216252213e-12
173050,8.159310358434035e-13
173100,3.2211676902205166e-12
173150,8.032523431122929e-12
173200,7.938409586800976e-13
173250,1.1968834126921402e-12
173300,2.5087286848607393e-12
173350,2.8429344924203737e-13
173400,7.848447369437905e-13
173450,4.3706021874562184e-13
173500,9.375354225599208e-13
173550,3.406411979746393e-13
173600,1.3634665228454135e-12
173650,3.1601500929956394e-12
173700,1.7309224800005074e-12
173750,2.2480674006369883e-12
173800,3.1261974888126265e-13
173850,2.3713600527663914e-12
173900,7.35905422970945e-13
173950,6.389548178747928e-13
174000,3.8628136605177443e-13
174050,1.577654673567963e-12
174100,1.2787863216262574e-12
174150,2.197833711900521e-12
174200,8.968314914488407e-13
174250,3.4993874659973445e-13
174300,7.558398351648066e-13
174350,5.121136126924261e-14
174400,2.5981124803647893e-12
174450,1.7169352758646984e-14
174500,7.89781543115986e-13
174550,1.6302382620930755e-12
174600,4.775732218541273e-13
174650,2.7341821515203257e-11
174700,1.0117611365682497e-13
174750,1.4352963262354024e-12
174800,4.6752796946381014e-12
174850,2.0575269190237916e-13
174900,1.9974172055930994e-12
174950,7.156430396199065e-13
175000,1.4670419826862124e-12
175050,2.6232334447012784e-12
175100,1.3179089763948326e-11
175150,5.222489107836736e-13
175200,4.0263647450855533e-13
175250,2.905357378291118e-12
175300,3.4616089833981734e-13
175350,1.4193091146808001e-12
175400,1.4278859128066812e-12
175450,2.665300922674585e-12
175500,1.3889586095855444e-12
175550,1.5592602079297913e-12
175600,2.6211405008275124e-12
175650,3.555560133019749e-15
175700,6.472533013029969e-13
175750,1.5657940439020579e-12
175800,7.136380787524377e-13
175850,1.0846185061197389e-12
175900,2.9557283812327306e-13
175950,2.630403273667925e-12
176000,1.6531022427671016e-12
176050,2.6428232432346155e-12
176100,5.946287841458731e-13
176150,8.827731839793074e-13
176200,8.718862762845114e-13
176250,6.21572346544419e-13
176300,4.5470924118010125e-13
176350,3.1902535084157857e-13
176400,1.9533259558446314e-12
176450,3.1764101440269477e-13
176500,4.51722253352882e-12
176550,1.4469687655092184e-13
176600,1.5006405677548545e-13
176650,3.62077165125263e-12
176700,1.0636947052333756e-12
176750,8.448979363362419e-13
176800,1.4701259686607931e-13
176850,1.3512739104742932e-12
176900,1.677045113022968e-12
176950,9.803965365234868e-13
177000,1.6405914170583569e-12
177050,2.98275455983682e-13
177100,3.807441775055542e-12
177150,2.0880807933415513e-12
177200,3.4911244901902894e-12
177250,4.121154372621616e-13
177300,1.5630416882669862e-12
177350,2.3017198769789e-14
177400,2.3407051037011017e-12
177450,2.0743272551027037e-12
177500,1.1723956495294369e-13
177550,8.207435924466322e-13
177600,2.6889467215351903e-12
177650,6.623218900408956e-12
177700,8.326731231605988e-13
177750,2.4113968200706326e-12
177800,1.2314131919016758e-12
177850,1.999568045862876e-12
177900,1.2687762082283505e-12
177950,3.224716067090627e-12
178000,2.070700381995305e-11
178050,2.8058052842921954e-12
178100,6.218773868256477e-13
178150,1.0729195309977513e-12
178200,1.7227544260936534e-13
178250,1.162871746595781e-13
178300,1.7544306936054244e-12
178350,6.866381378409225e-13
178400,2.6089292401790254e-13
178450,2.7294215065171157e-12
178500,1.881630701944248e-12
178550,1.1541747375540257e-12
178600,4.4563685424117705e-13
178650,3.1887463589758136e-12
178700,1.5944060308137331e-12
178750,8.068938854750851e-13
178800,6.408836677497531e-13
178850,8.418751942318795e-15
178900,6.340450083366922e-13
178950,4.66156453715616e-12
179000,9.270676674250078e-13
179050,3.518680572606181e-12
179100,1.383909696908714e-12
179150,2.5675447011541674e-12
179200,1.981209928102537e-13
179250,3.465009312461631e-12
179300,1.1168194461678299e-13
179350,1.2824496239266514e-12
179400,7.297449103327303e-12
179450,7.122527827946312e-12
179500,5.926684924079106e-13
179550,1.0406973893761773e-11
179600,5.45303439989514e-13
179650,3.265446723785259e-13
179700,2.586375775007199e-12
179750,2.267264501143451e-12
179800,6.712799587027529e-12
179850,8.310301231884143e-13
179900,1.0309082146969795e-12
179950,1.0015604881910556e-12
180000,1.0594618932158184e-11
180050,7.161635108728082e-13
180100,6.167732340481291e-13
180150,5.220202525454964e-13
180200,1.7530658999106996e-12
180250,4.299393740331281e-12
180300,3.84281668985853e-12
180350,1.4313835706991629e-11
180400,2.3208596502954926e-12
180450,1.949220515898298e-12
180500,5.336236552459794e-13
180550,1.7836684820110582e-12
180600,2.349510126384291e-12
180650,1.4776241211503227e-12
180700,1.5971978514078833e-13
180750,6.391073109103529e-13
180800,8.240771888663734e-13
180850,1.0158398644835587e-12
180900,8.450884306579476e-13
180950,6.320400474692234e-13
181000,8.042074493321005e-13
181050,9.200004039838783e-13
181100,1.022876553423424e-12
181150,3.033103282423788e-12
181200,6.801464773331656e-12
