step,value
170750,-0.407365620136261
170800,-0.40740978717803955
170850,-0.40745672583580017
170900,-0.40743258595466614
170950,-0.40743303298950195
171000,-0.40754321217536926
171050,-0.40733903646469116
171100,-0.40733614563941956
171150,-0.4073728024959564
171200,-0.40729594230651855
171250,-0.40731433033943176
171300,-0.4072984457015991
171350,-0.407415509223938
171400,-0.4074033796787262
171450,-0.4074801802635193
171500,-0.40763723850250244
171550,-0.4076087474822998
171600,-0.4076694846153259
171650,-0.4078393876552582
171700,-0.40781670808792114
171750,-0.40778589248657227
171800,-0.40768423676490784
171850,-0.4078620672225952
171900,-0.40788018703460693
171950,-0.40783336758613586
172000,-0.40799444913864136
172050,-0.4077301323413849
172100,-0.4075171649456024
172150,-0.40767350792884827
172200,-0.40796589851379395
172250,-0.40808209776878357
172300,-0.4083534777164459
172350,-0.40843939781188965
172400,-0.40845510363578796
172450,-0.40844061970710754
172500,-0.4082687199115753
172550,-0.4083123803138733
172600,-0.40838250517845154
172650,-0.4083505868911743
172700,-0.4086095988750458
172750,-0.4085555672645569
172800,-0.40849342942237854
172850,-0.40845733880996704
172900,-0.40860578417778015
172950,-0.4087574779987335
173000,-0.4085770547389984
173050,-0.4085245728492737
173100,-0.4090461730957031
173150,-0.4090154767036438
173200,-0.4087425768375397
173250,-0.40858450531959534
173300,-0.4085768461227417
173350,-0.4084949791431427
173400,-0.40854859352111816
173450,-0.40842774510383606
173500,-0.408649742603302
173550,-0.4086734652519226
173600,-0.408629447221756
173650,-0.408444881439209
173700,-0.40839266777038574
173750,-0.4083320200443268
173800,-0.40835097432136536
173850,-0.4081117510795593
173900,-0.4079259932041168
173950,-0.4077930450439453
174000,-0.4079347252845764
174050,-0.40810346603393555
174100,-0.40817514061927795
174150,-0.40817779302597046
174200,-0.40845993161201477
174250,-0.40859469771385193
174300,-0.40866872668266296
174350,-0.40863367915153503
174400,-0.4086310863494873
174450,-0.40845397114753723
174500,-0.4082566201686859
174550,-0.40817371010780334
174600,-0.4081445038318634
174650,-0.40795424580574036
174700,-0.40787822008132935
174750,-0.407657265663147
174800,-0.4077255427837372
174850,-0.40765053033828735
174900,-0.40756234526634216
174950,-0.40744516253471375
175000,-0.40744444727897644
175050,-0.4073990285396576
175100,-0.40753644704818726
175150,-0.4075050354003906
175200,-0.4075762629508972
175250,-0.40765494108200073
175300,-0.4075608551502228
175350,-0.407863050699234
175400,-0.4076862037181854
175450,-0.40751728415489197
175500,-0.40733060240745544
175550,-0.4072413444519043
175600,-0.4073535203933716
175650,-0.40759041905403137
175700,-0.4075113534927368
175750,-0.40725505352020264
175800,-0.4072069823741913
175850,-0.4071876108646393
175900,-0.40753692388534546
175950,-0.4076278805732727
176000,-0.4076409935951233
176050,-0.4075159728527069
176100,-0.4075678586959839
176150,-0.40768685936927795
176200,-0.4074860215187073
176250,-0.4074682891368866
176300,-0.40747329592704773
176350,-0.40738049149513245
176400,-0.4074968099594116
176450,-0.40735071897506714
176500,-0.40750110149383545
176550,-0.40754619240760803
176600,-0.40760233998298645
176650,-0.40773805975914
176700,-0.40728431940078735
176750,-0.40731698274612427
176800,-0.40740805864334106
176850,-0.4074145555496216
176900,-0.4073878526687622
176950,-0.40732303261756897
177000,-0.407318115234375
177050,-0.40731316804885864
177100,-0.40725818276405334
177150,-0.40732550621032715
177200,-0.40700411796569824
177250,-0.4068376123905182
177300,-0.40691429376602173
177350,-0.4069814383983612
177400,-0.4069612920284271
177450,-0.40687182545661926
177500,-0.4067670404911041
177550,-0.40626734495162964
177600,-0.4064318537712097
177650,-0.40629738569259644
177700,-0.40625613927841187
177750,-0.4062515199184418
177800,-0.40605655312538147
177850,-0.40601563453674316
177900,-0.4059563875198364
177950,-0.4060215353965759
178000,-0.4060094952583313
178050,-0.4060669243335724
178100,-0.4059765338897705
178150,-0.4059749245643616
178200,-0.4056045413017273
178250,-0.4059511423110962
178300,-0.40634843707084656
178350,-0.40638214349746704
178400,-0.4064657986164093
