step,value
170750,1.0
170800,1.0
170850,1.0
170900,1.0
170950,1.0
171000,1.0
171050,1.0
171100,1.0
171150,1.0
171200,1.0
171250,1.0
171300,1.0
171350,1.0
171400,1.0
171450,1.0
171500,1.0
171550,1.0
171600,1.0
171650,1.0
171700,1.0
171750,1.0
171800,1.0
171850,1.0
171900,1.0
171950,1.0
172000,1.0
172050,1.0
172100,1.0
172150,1.0
172200,1.0
172250,1.0
172300,1.0
172350,1.0
172400,1.0
172450,1.0
172500,1.0
172550,1.0
172600,1.0
172650,1.0
172700,1.0
172750,1.0
172800,1.0
172850,1.0
172900,1.0
172950,1.0
173000,1.0
173050,1.0
173100,1.0
173150,1.0
173200,1.0
173250,1.0
173300,1.0
173350,1.0
173400,1.0
173450,1.0
173500,1.0
173550,1.0
173600,1.0
173650,1.0
173700,1.0
173750,1.0
173800,1.0
173850,1.0
173900,1.0
173950,1.0
174000,1.0
174050,1.0
174100,1.0
174150,1.0
174200,1.0
174250,1.0
174300,1.0
174350,1.0
174400,1.0
174450,1.0
174500,1.0
174550,1.0
174600,1.0
174650,1.0
174700,1.0
174750,1.0
174800,1.0
174850,1.0
174900,1.0
174950,1.0
175000,1.0
175050,1.0
175100,1.0
175150,1.0
175200,1.0
175250,1.0
175300,1.0
175350,1.0
175400,1.0
175450,1.0
175500,1.0
175550,1.0
175600,1.0
175650,1.0
175700,1.0
175750,1.0
175800,1.0
175850,1.0
175900,1.0
175950,1.0
176000,1.0
176050,1.0
176100,1.0
176150,1.0
176200,1.0
176250,1.0
176300,1.0
176350,1.0
176400,1.0
176450,1.0
176500,1.0
176550,1.0
176600,1.0
176650,1.0
176700,1.0
176750,1.0
176800,1.0
176850,1.0
176900,1.0
176950,1.0
177000,1.0
177050,1.0
177100,1.0
177150,1.0
177200,1.0
177250,1.0
177300,1.0
177350,1.0
177400,1.0
177450,1.0
177500,1.0
177550,1.0
177600,1.0
177650,1.0
177700,1.0
177750,1.0
177800,1.0
177850,1.0
177900,1.0
177950,1.0
178000,1.0
178050,1.0
178100,1.0
178150,1.0
178200,1.0
178250,1.0
178300,1.0
178350,1.0
178400,1.0
178450,1.0
178500,1.0
178550,1.0
178600,1.0
178650,1.0
178700,1.0
178750,1.0
178800,1.0
178850,1.0
178900,1.0
178950,1.0
179000,1.0
179050,1.0
179100,1.0
179150,1.0
179200,1.0
179250,1.0
179300,1.0
179350,1.0
179400,1.0
179450,1.0
179500,1.0
