step,value
170750,314037.0
170800,314037.0
170850,314037.0
170900,314037.0
170950,314037.0
171000,314037.0
171050,314037.0
171100,314037.0
171150,314037.0
171200,314037.0
171250,314037.0
171300,314037.0
171350,314037.0
171400,314037.0
171450,314037.0
171500,314037.0
171550,314037.0
171600,314037.0
171650,314037.0
171700,314037.0
171750,314037.0
171800,314037.0
171850,314037.0
171900,314037.0
171950,314037.0
172000,314037.0
172050,314037.0
172100,314037.0
172150,314037.0
172200,314037.0
172250,314037.0
172300,314037.0
172350,314037.0
172400,314037.0
172450,314037.0
172500,314037.0
172550,314037.0
172600,314037.0
172650,314037.0
172700,314037.0
172750,314037.0
172800,314037.0
172850,314037.0
172900,314037.0
172950,314037.0
173000,314037.0
173050,314037.0
173100,314037.0
173150,314037.0
173200,314037.0
173250,314037.0
173300,314037.0
173350,314037.0
173400,314037.0
173450,314037.0
173500,314037.0
173550,314037.0
173600,314037.0
173650,314037.0
173700,314037.0
173750,314037.0
173800,314037.0
173850,314037.0
173900,314037.0
173950,314037.0
174000,314037.0
174050,314037.0
174100,314037.0
174150,314037.0
174200,314037.0
174250,314037.0
174300,314037.0
174350,314037.0
174400,314037.0
174450,314037.0
174500,314037.0
174550,314037.0
174600,314037.0
174650,314037.0
174700,314037.0
174750,314037.0
174800,314037.0
174850,314037.0
174900,314037.0
174950,314037.0
175000,314037.0
175050,314037.0
175100,314037.0
175150,314037.0
175200,314037.0
175250,314037.0
175300,314037.0
175350,314037.0
175400,314037.0
175450,314037.0
175500,314037.0
175550,314037.0
175600,314037.0
175650,314037.0
175700,314037.0
175750,314037.0
175800,314037.0
175850,314037.0
175900,314037.0
175950,314037.0
176000,314037.0
176050,314037.0
176100,314037.0
176150,314037.0
176200,314037.0
176250,314037.0
176300,314037.0
176350,314037.0
176400,314037.0
176450,314037.0
176500,314037.0
176550,314037.0
176600,314037.0
176650,314037.0
176700,314037.0
176750,314037.0
176800,314037.0
176850,314037.0
176900,314037.0
176950,314037.0
177000,314037.0
177050,314037.0
177100,314037.0
177150,314037.0
177200,314037.0
177250,314037.0
177300,314037.0
177350,314037.0
177400,314037.0
177450,314037.0
177500,314037.0
177550,314037.0
177600,314037.0
177650,314037.0
177700,314037.0
177750,314037.0
177800,314037.0
177850,314037.0
177900,314037.0
177950,300261.0
178000,300261.0
178050,300261.0
178100,300261.0
178150,300261.0
178200,300261.0
178250,300261.0
178300,300261.0
178350,300261.0
178400,300261.0
178450,300261.0
178500,300261.0
178550,300261.0
178600,300261.0
178650,300261.0
178700,300261.0
178750,300261.0
178800,300261.0
178850,300261.0
178900,300261.0
178950,300261.0
179000,300261.0
179050,300261.0
179100,300261.0
179150,300261.0
179200,300261.0
179250,300261.0
179300,300261.0
179350,300261.0
179400,300261.0
179450,300261.0
179500,300261.0
179550,300261.0
179600,300261.0
179650,300261.0
179700,300261.0
179750,300261.0
179800,300261.0
179850,300261.0
179900,300261.0
179950,300261.0
180000,300261.0
180050,300261.0
180100,300261.0
180150,300261.0
180200,300261.0
180250,300261.0
180300,300261.0
180350,300261.0
180400,300261.0
180450,300261.0
180500,300261.0
180550,300261.0
180600,300261.0
180650,300261.0
180700,300261.0
180750,300261.0
180800,300261.0
180850,300261.0
180900,300261.0
180950,300261.0
181000,300261.0
