step,value
170750,301266.0
170800,301266.0
170850,301266.0
170900,301266.0
170950,301266.0
171000,301266.0
171050,301266.0
171100,301266.0
171150,301266.0
171200,301266.0
171250,301266.0
171300,301266.0
171350,301266.0
171400,301266.0
171450,301266.0
171500,301266.0
171550,301266.0
171600,301266.0
171650,301266.0
171700,301266.0
171750,301266.0
171800,301266.0
171850,301266.0
171900,301266.0
171950,301266.0
172000,301266.0
172050,301266.0
172100,301266.0
172150,301266.0
172200,301266.0
172250,301266.0
172300,301266.0
172350,301266.0
172400,301266.0
172450,301266.0
172500,301266.0
172550,301266.0
172600,301266.0
172650,301266.0
172700,301266.0
172750,301266.0
172800,301266.0
172850,301266.0
172900,301266.0
172950,301266.0
173000,301266.0
173050,301266.0
173100,301266.0
173150,301266.0
173200,301266.0
173250,301266.0
173300,301266.0
173350,301266.0
173400,301266.0
173450,301266.0
173500,301266.0
173550,301266.0
173600,301266.0
173650,301266.0
173700,301266.0
173750,301266.0
173800,301266.0
173850,301266.0
173900,301266.0
173950,301266.0
174000,301266.0
174050,301266.0
174100,301266.0
174150,301266.0
174200,301266.0
174250,301266.0
174300,301266.0
174350,301266.0
174400,301266.0
174450,301266.0
174500,301266.0
174550,301266.0
174600,301266.0
174650,301266.0
174700,301266.0
174750,301266.0
174800,301266.0
174850,301266.0
174900,301266.0
174950,301266.0
175000,301266.0
175050,301266.0
175100,301266.0
175150,301266.0
175200,301266.0
175250,301266.0
175300,301266.0
175350,301266.0
175400,301266.0
175450,301266.0
175500,301266.0
175550,301266.0
175600,301266.0
175650,301266.0
175700,301266.0
175750,301266.0
175800,301266.0
175850,301266.0
175900,301266.0
175950,301266.0
176000,301266.0
176050,301266.0
176100,301266.0
176150,301266.0
176200,301266.0
176250,301266.0
176300,301266.0
176350,301266.0
176400,301266.0
176450,301266.0
176500,301266.0
176550,301266.0
176600,301266.0
176650,301266.0
176700,301266.0
176750,301266.0
176800,301266.0
176850,301266.0
176900,301266.0
176950,301266.0
177000,301266.0
177050,301266.0
177100,301266.0
177150,301266.0
177200,301266.0
177250,301266.0
177300,301266.0
177350,301266.0
177400,301266.0
177450,301266.0
177500,301266.0
177550,301266.0
177600,301266.0
177650,301266.0
177700,301266.0
177750,301266.0
177800,301266.0
177850,301266.0
177900,301266.0
177950,300258.0
178000,300258.0
178050,300258.0
178100,300258.0
178150,300258.0
178200,300258.0
178250,300258.0
178300,300258.0
178350,300258.0
178400,300258.0
178450,300258.0
178500,300258.0
178550,300258.0
178600,300258.0
178650,300258.0
178700,300258.0
178750,300258.0
178800,300258.0
178850,300258.0
178900,300258.0
178950,300258.0
179000,300258.0
179050,300258.0
179100,300258.0
179150,300258.0
179200,300258.0
179250,300258.0
179300,300258.0
179350,300258.0
179400,300258.0
179450,300258.0
179500,300258.0
179550,300258.0
179600,300258.0
179650,300258.0
179700,300258.0
179750,300258.0
179800,300258.0
179850,300258.0
179900,300258.0
179950,300258.0
180000,300258.0
180050,300258.0
180100,300258.0
180150,300258.0
180200,300258.0
180250,300258.0
180300,300258.0
180350,300258.0
180400,300258.0
180450,300258.0
180500,300258.0
180550,300258.0
180600,300258.0
180650,300258.0
180700,300258.0
180750,300258.0
180800,300258.0
180850,300258.0
180900,300258.0
180950,300258.0
181000,300258.0
181050,300258.0
181100,300258.0
181150,300258.0
181200,300258.0
181250,300258.0
181300,300258.0
181350,300258.0
181400,300258.0
181450,300258.0
181500,300258.0
181550,300258.0
181600,300258.0
181650,300258.0
181700,300258.0
181750,300258.0
181800,300258.0
181850,300258.0
181900,300258.0
181950,300258.0
182000,300258.0
182050,300258.0
182100,300258.0
182150,300258.0
182200,300258.0
182250,300258.0
182300,300258.0
182350,300258.0
182400,300258.0
182450,300258.0
182500,300258.0
182550,300258.0
182600,300258.0
182650,300258.0
182700,300258.0
182750,300258.0
182800,300258.0
182850,300258.0
182900,300258.0
182950,300258.0
183000,300258.0
183050,300258.0
183100,300258.0
183150,300258.0
183200,300258.0
183250,300258.0
183300,300258.0
183350,300258.0
183400,300258.0
183450,300258.0
183500,300258.0
183550,300258.0
183600,300258.0
183650,300258.0
183700,300258.0
183750,300258.0
183800,300258.0
183850,300258.0
183900,300258.0
183950,300258.0
184000,300258.0
184050,300258.0
184100,300258.0
184150,300258.0
184200,300258.0
184250,300258.0
184300,300258.0
184350,300258.0
184400,300258.0
184450,300258.0
184500,300258.0
184550,300258.0
184600,300258.0
184650,300258.0
184700,300258.0
184750,300258.0
184800,300258.0
184850,300258.0
184900,300258.0
184950,300258.0
185000,300258.0
185050,300258.0
185100,300300.0
185150,300300.0
185200,300300.0
185250,300300.0
185300,300300.0
185350,300300.0
185400,300300.0
185450,300300.0
185500,300300.0
185550,300300.0
185600,300300.0
185650,300300.0
185700,300300.0
185750,300300.0
185800,300300.0
185850,300300.0
185900,300300.0
185950,300300.0
186000,300300.0
186050,300300.0
186100,300300.0
186150,300300.0
186200,300300.0
186250,300300.0
186300,300300.0
186350,300300.0
186400,300300.0
186450,300300.0
186500,300300.0
186550,300300.0
186600,300300.0
186650,300300.0
186700,300300.0
186750,300300.0
186800,300300.0
186850,300300.0
186900,300300.0
186950,300300.0
187000,300300.0
187050,300300.0
187100,300300.0
187150,300300.0
187200,300300.0
187250,300300.0
187300,300300.0
187350,300300.0
187400,300300.0
187450,300300.0
187500,300300.0
187550,300300.0
187600,300300.0
187650,300300.0
187700,300300.0
187750,300300.0
187800,300300.0
187850,300300.0
187900,300300.0
187950,300300.0
188000,300300.0
188050,300300.0
188100,300300.0
188150,300300.0
188200,300300.0
188250,300300.0
188300,300300.0
188350,300300.0
188400,300300.0
188450,300300.0
188500,300300.0
188550,300300.0
188600,300300.0
188650,300300.0
188700,300300.0
188750,300300.0
188800,300300.0
188850,300300.0
188900,300300.0
188950,300300.0
189000,300300.0
189050,300300.0
189100,300300.0
189150,300300.0
189200,300300.0
189250,300300.0
189300,300300.0
189350,300300.0
189400,300300.0
189450,300300.0
189500,300300.0
189550,300300.0
189600,300300.0
189650,300300.0
189700,300300.0
189750,300300.0
189800,300300.0
189850,300300.0
189900,300300.0
189950,300300.0
190000,300300.0
190050,300300.0
190100,300300.0
190150,300300.0
190200,300300.0
190250,300300.0
190300,300300.0
190350,300300.0
190400,300300.0
190450,300300.0
190500,300300.0
190550,300300.0
190600,300300.0
190650,300300.0
190700,300300.0
190750,300300.0
190800,300300.0
190850,300300.0
190900,300300.0
190950,300300.0
191000,300300.0
191050,300300.0
191100,300300.0
191150,300300.0
191200,300300.0
191250,300300.0
191300,300300.0
191350,300300.0
191400,300300.0
191450,300300.0
191500,300300.0
191550,300300.0
191600,300300.0
191650,300300.0
191700,300300.0
191750,300300.0
191800,300300.0
191850,300300.0
191900,300300.0
191950,300300.0
192000,300300.0
192050,300300.0
192100,300300.0
192150,300300.0
192200,300300.0
192250,300804.0
192300,300804.0
192350,300804.0
192400,300804.0
192450,300804.0
192500,300804.0
192550,300804.0
192600,300804.0
192650,300804.0
192700,300804.0
192750,300804.0
192800,300804.0
192850,300804.0
192900,300804.0
192950,300804.0
193000,300804.0
193050,300804.0
193100,300804.0
193150,300804.0
193200,300804.0
193250,300804.0
193300,300804.0
193350,300804.0
193400,300804.0
193450,300804.0
193500,300804.0
193550,300804.0
193600,300804.0
193650,300804.0
193700,300804.0
193750,300804.0
193800,300804.0
193850,300804.0
193900,300804.0
193950,300804.0
194000,300804.0
194050,300804.0
194100,300804.0
194150,300804.0
194200,300804.0
194250,300804.0
194300,300804.0
194350,300804.0
194400,300804.0
194450,300804.0
194500,300804.0
194550,300804.0
194600,300804.0
194650,300804.0
194700,300804.0
194750,300804.0
194800,300804.0
194850,300804.0
194900,300804.0
194950,300804.0
195000,300804.0
195050,300804.0
195100,300804.0
195150,300804.0
195200,300804.0
195250,300804.0
195300,300804.0
195350,300804.0
195400,300804.0
195450,300804.0
195500,300804.0
195550,300804.0
195600,300804.0
195650,300804.0
195700,300804.0
195750,300804.0
195800,300804.0
195850,300804.0
195900,300804.0
195950,300804.0
196000,300804.0
196050,300804.0
196100,300804.0
196150,300804.0
196200,300804.0
196250,300804.0
196300,300804.0
196350,300804.0
196400,300804.0
196450,300804.0
196500,300804.0
196550,300804.0
196600,300804.0
196650,300804.0
196700,300804.0
196750,300804.0
196800,300804.0
196850,300804.0
196900,300804.0
196950,300804.0
197000,300804.0
197050,300804.0
197100,300804.0
197150,300804.0
197200,300804.0
197250,300804.0
197300,300804.0
197350,300804.0
197400,300804.0
197450,300804.0
197500,300804.0
197550,300804.0
197600,300804.0
197650,300804.0
197700,300804.0
197750,300804.0
197800,300804.0
197850,300804.0
197900,300804.0
197950,300804.0
198000,300804.0
198050,300804.0
198100,300804.0
198150,300804.0
198200,300804.0
198250,300804.0
198300,300804.0
198350,300804.0
198400,300804.0
198450,300804.0
198500,300804.0
198550,300804.0
198600,300804.0
198650,300804.0
198700,300804.0
198750,300804.0
198800,300804.0
198850,300804.0
198900,300804.0
198950,300804.0
199000,300804.0
199050,300804.0
199100,300804.0
199150,300804.0
199200,300804.0
199250,300804.0
199300,300804.0
199350,300804.0
199400,300258.0
199450,300258.0
199500,300258.0
199550,300258.0
199600,300258.0
199650,300258.0
199700,300258.0
199750,300258.0
199800,300258.0
199850,300258.0
199900,300258.0
199950,300258.0
200000,300258.0
200050,300258.0
200100,300258.0
200150,300258.0
200200,300258.0
200250,300258.0
200300,300258.0
200350,300258.0
200400,300258.0
200450,300258.0
200500,300258.0
200550,300258.0
200600,300258.0
200650,300258.0
200700,300258.0
200750,300258.0
200800,300258.0
200850,300258.0
200900,300258.0
200950,300258.0
201000,300258.0
201050,300258.0
201100,300258.0
201150,300258.0
201200,300258.0
201250,300258.0
201300,300258.0
201350,300258.0
201400,300258.0
201450,300258.0
201500,300258.0
201550,300258.0
201600,300258.0
201650,300258.0
201700,300258.0
201750,300258.0
201800,300258.0
201850,300258.0
201900,300258.0
201950,300258.0
202000,300258.0
202050,300258.0
202100,300258.0
202150,300258.0
202200,300258.0
202250,300258.0
202300,300258.0
202350,300258.0
202400,300258.0
202450,300258.0
202500,300258.0
202550,300258.0
202600,300258.0
202650,300258.0
202700,300258.0
202750,300258.0
202800,300258.0
202850,300258.0
202900,300258.0
202950,300258.0
203000,300258.0
203050,300258.0
203100,300258.0
203150,300258.0
203200,300258.0
203250,300258.0
203300,300258.0
203350,300258.0
203400,300258.0
203450,300258.0
203500,300258.0
203550,300258.0
203600,300258.0
203650,300258.0
203700,300258.0
203750,300258.0
203800,300258.0
203850,300258.0
203900,300258.0
203950,300258.0
204000,300258.0
204050,300258.0
204100,300258.0
204150,300258.0
204200,300258.0
204250,300258.0
204300,300258.0
204350,300258.0
204400,300258.0
204450,300258.0
204500,300258.0
204550,300258.0
204600,300258.0
204650,300258.0
204700,300258.0
204750,300258.0
204800,300258.0
204850,300258.0
204900,300258.0
204950,300258.0
205000,300258.0
205050,300258.0
205100,300258.0
205150,300258.0
205200,300258.0
205250,300258.0
205300,300258.0
205350,300258.0
205400,300258.0
205450,300258.0
