step,value
170750,1242959360.0
170800,1241615872.0
170850,1243752960.0
170900,1242809344.0
170950,1243369472.0
171000,1242156032.0
171050,1243287040.0
171100,1241737728.0
171150,1244282368.0
171200,1244264960.0
171250,1243527680.0
171300,1241725440.0
171350,1242895872.0
171400,1243124736.0
171450,1240720384.0
171500,1244131328.0
171550,1242746880.0
171600,1241639424.0
171650,1243850752.0
171700,1242848768.0
171750,1240687616.0
171800,1243973632.0
171850,1242348544.0
171900,1242744832.0
171950,1242882560.0
172000,1242585600.0
172050,1243043840.0
172100,1243173888.0
172150,1242672128.0
172200,1242894848.0
172250,1242571264.0
172300,1244649472.0
172350,1241289216.0
172400,1241762304.0
172450,1243985920.0
172500,1244276224.0
172550,1244511232.0
172600,1244781056.0
172650,1245009408.0
172700,1244186112.0
172750,1243808768.0
172800,1245467136.0
172850,1241522688.0
172900,1244763136.0
172950,1242812416.0
173000,1243139584.0
173050,1242679808.0
173100,1241819648.0
173150,1244795392.0
173200,1244425728.0
173250,1245436416.0
173300,1241785856.0
173350,1242379264.0
173400,1242171904.0
173450,1242824192.0
173500,1243158016.0
173550,1242408448.0
173600,1243456000.0
173650,1244498944.0
173700,1243712000.0
173750,1243619328.0
173800,1241398784.0
173850,1242451456.0
173900,1242906112.0
173950,1243835904.0
174000,1242281984.0
174050,1242814976.0
174100,1243530752.0
174150,1243737088.0
174200,1242705920.0
174250,1241948672.0
174300,1244040704.0
174350,1242930688.0
174400,1243165696.0
174450,1242644480.0
174500,1241376768.0
174550,1244399104.0
174600,1241762816.0
174650,1242902016.0
174700,1244492800.0
174750,1244514304.0
174800,1243982848.0
174850,1245998080.0
174900,1244895744.0
174950,1244058112.0
175000,1245161984.0
175050,1248211456.0
175100,1248195072.0
175150,1248689152.0
175200,1247613440.0
175250,1244796416.0
175300,1248266240.0
175350,1248590336.0
175400,1246788096.0
175450,1246096384.0
175500,1245395968.0
175550,1247280640.0
175600,1248043520.0
175650,1247834112.0
175700,1246656512.0
175750,1245575680.0
175800,1247640576.0
