step,value
170750,26031947776.0
170800,26031947776.0
170850,26031947776.0
170900,26031947776.0
170950,26031947776.0
171000,26031947776.0
171050,26031947776.0
171100,26031947776.0
171150,26031947776.0
171200,26031947776.0
171250,26031947776.0
171300,26031947776.0
171350,26031947776.0
171400,26031947776.0
171450,26031947776.0
171500,26031947776.0
171550,26031947776.0
171600,26031947776.0
171650,26031947776.0
171700,26031947776.0
171750,26031947776.0
171800,26031947776.0
171850,26031947776.0
171900,26031947776.0
171950,26031947776.0
172000,26031947776.0
172050,26031947776.0
172100,26031947776.0
172150,26031947776.0
172200,26031947776.0
172250,26031947776.0
172300,26031947776.0
172350,26031947776.0
172400,26031947776.0
172450,26031947776.0
172500,26031947776.0
172550,26031947776.0
172600,26031947776.0
172650,26031947776.0
172700,26031947776.0
172750,26031947776.0
172800,26031947776.0
172850,26031947776.0
172900,26031947776.0
172950,26031947776.0
173000,26031947776.0
173050,26031947776.0
173100,26031947776.0
173150,26031947776.0
173200,26031947776.0
173250,26031947776.0
173300,26031947776.0
173350,26031947776.0
173400,26031947776.0
173450,26031947776.0
173500,26031947776.0
173550,26031947776.0
173600,26031947776.0
173650,26031947776.0
173700,26031947776.0
173750,26031947776.0
173800,26031947776.0
173850,26031947776.0
173900,26031947776.0
173950,26031947776.0
174000,26031947776.0
174050,26031947776.0
174100,26031947776.0
174150,26031947776.0
174200,26031947776.0
174250,26031947776.0
174300,26031947776.0
174350,26031947776.0
174400,26031947776.0
174450,26031947776.0
174500,26031947776.0
174550,26031947776.0
174600,26031947776.0
174650,26031947776.0
174700,26031947776.0
174750,26031947776.0
174800,26031947776.0
174850,26031947776.0
174900,26031947776.0
174950,26031947776.0
175000,26031947776.0
175050,26031947776.0
175100,26031947776.0
175150,26031947776.0
175200,26031947776.0
175250,26031947776.0
175300,26031947776.0
175350,26031947776.0
175400,26031947776.0
175450,26031947776.0
175500,26031947776.0
175550,26031947776.0
175600,26031947776.0
175650,26031947776.0
175700,26031947776.0
175750,26031947776.0
175800,26031947776.0
175850,26031947776.0
175900,26031947776.0
175950,26031947776.0
176000,26031947776.0
176050,26031947776.0
176100,26031947776.0
176150,26031947776.0
176200,26031947776.0
176250,26031947776.0
176300,26031947776.0
176350,26031947776.0
176400,26031947776.0
176450,26031947776.0
176500,26031947776.0
176550,26031947776.0
176600,26031947776.0
176650,26031947776.0
176700,26031947776.0
176750,26031947776.0
176800,26031947776.0
176850,26031947776.0
176900,26031947776.0
176950,26031947776.0
177000,26031947776.0
177050,26031947776.0
177100,26031947776.0
177150,26031947776.0
