step,value
170750,2898264064.0
170800,25553797120.0
170850,25553797120.0
170900,25553797120.0
170950,25553797120.0
171000,25553797120.0
171050,25553797120.0
171100,25553797120.0
171150,25553797120.0
171200,25553797120.0
171250,25553797120.0
171300,25553797120.0
171350,25553797120.0
171400,25553797120.0
171450,25553797120.0
171500,25553797120.0
171550,25553797120.0
171600,25553797120.0
171650,25553797120.0
171700,25553797120.0
171750,25553797120.0
171800,25553797120.0
171850,25553797120.0
171900,25553797120.0
171950,25553797120.0
172000,25553797120.0
172050,25553797120.0
172100,25553797120.0
172150,25553797120.0
172200,25553797120.0
172250,25553797120.0
172300,25553797120.0
172350,25553797120.0
172400,25553797120.0
172450,25553797120.0
172500,25553797120.0
172550,25553797120.0
172600,25553797120.0
172650,25553797120.0
172700,25553797120.0
172750,25553797120.0
172800,25553797120.0
172850,25553797120.0
172900,25553797120.0
172950,25553797120.0
173000,25553797120.0
173050,25553797120.0
173100,25553797120.0
173150,25553797120.0
173200,25553797120.0
173250,25553797120.0
173300,25553797120.0
173350,25553797120.0
173400,25553797120.0
173450,25553797120.0
173500,25553797120.0
173550,25553797120.0
173600,25553797120.0
173650,25553797120.0
173700,25553797120.0
173750,25553797120.0
173800,25553797120.0
173850,25553797120.0
173900,25553797120.0
173950,25553797120.0
174000,25553797120.0
174050,25553797120.0
174100,25553797120.0
174150,25553797120.0
174200,25553797120.0
174250,25553797120.0
174300,25553797120.0
174350,25553797120.0
174400,25553797120.0
174450,25553797120.0
174500,25553797120.0
174550,25553797120.0
174600,25553797120.0
174650,25553797120.0
174700,25553797120.0
174750,25553797120.0
174800,25553797120.0
174850,25553797120.0
174900,25553797120.0
174950,25553797120.0
175000,25553797120.0
175050,25553797120.0
175100,25553797120.0
175150,25553797120.0
175200,25553797120.0
175250,25553797120.0
175300,25553797120.0
175350,25553797120.0
175400,25553797120.0
175450,25553797120.0
175500,25553797120.0
175550,25553797120.0
175600,25553797120.0
175650,25553797120.0
175700,25553797120.0
175750,25553797120.0
175800,25553797120.0
175850,25553797120.0
175900,25553797120.0
175950,25553797120.0
176000,25553797120.0
176050,25553797120.0
176100,25553797120.0
176150,25553797120.0
176200,25553797120.0
176250,25553797120.0
176300,25553797120.0
176350,25553797120.0
176400,25553797120.0
176450,25553797120.0
176500,25553797120.0
176550,25553797120.0
176600,25553797120.0
176650,25553797120.0
176700,25553797120.0
176750,25553797120.0
176800,25553797120.0
176850,25553797120.0
176900,25553797120.0
176950,25553797120.0
177000,25553797120.0
177050,25553797120.0
177100,25553797120.0
177150,25553797120.0
177200,25553797120.0
177250,25553797120.0
177300,25553797120.0
177350,25553797120.0
177400,25553797120.0
177450,25553797120.0
177500,25553797120.0
177550,25553797120.0
177600,25553797120.0
177650,25553797120.0
177700,25553797120.0
177750,25553797120.0
177800,25553797120.0
177850,25553797120.0
177900,25553797120.0
177950,25553797120.0
178000,25553797120.0
178050,25553797120.0
178100,25553797120.0
178150,25553797120.0
178200,25553797120.0
178250,25553797120.0
178300,25553797120.0
178350,25553797120.0
178400,25553797120.0
178450,25553797120.0
178500,25553797120.0
178550,25553797120.0
178600,25553797120.0
178650,25553797120.0
178700,25553797120.0
178750,25553797120.0
178800,25553797120.0
178850,25553797120.0
178900,25553797120.0
178950,25553797120.0
179000,25553797120.0
179050,25553797120.0
179100,25553797120.0
179150,25553797120.0
179200,25553797120.0
179250,25553797120.0
179300,25553797120.0
179350,25553797120.0
179400,25553797120.0
179450,25553797120.0
179500,25553797120.0
179550,25553797120.0
179600,25553797120.0
179650,25553797120.0
179700,25553797120.0
179750,25553797120.0
179800,25553797120.0
179850,25553797120.0
179900,25553797120.0
179950,25553797120.0
180000,25553797120.0
180050,25553797120.0
180100,25553797120.0
180150,25553797120.0
180200,25553797120.0
180250,25553797120.0
180300,25553797120.0
180350,25553797120.0
180400,25553797120.0
180450,25553797120.0
180500,25553797120.0
180550,25553797120.0
180600,25553797120.0
180650,25553797120.0
180700,25553797120.0
180750,25553797120.0
180800,25553797120.0
180850,25553797120.0
180900,25553797120.0
180950,25553797120.0
181000,25553797120.0
181050,25553797120.0
181100,25553797120.0
181150,25553797120.0
181200,25553797120.0
181250,25553797120.0
181300,25553797120.0
181350,25553797120.0
181400,25553797120.0
181450,25553797120.0
181500,25553797120.0
181550,25553797120.0
181600,25553797120.0
181650,25553797120.0
181700,25553797120.0
181750,25553797120.0
181800,25553797120.0
181850,25553797120.0
181900,25553797120.0
181950,25553797120.0
182000,25553797120.0
182050,25553797120.0
182100,25553797120.0
182150,25553797120.0
182200,25553797120.0
182250,25553797120.0
182300,25553797120.0
182350,25553797120.0
182400,25553797120.0
182450,25553797120.0
182500,25553797120.0
182550,25553797120.0
182600,25553797120.0
182650,25553797120.0
182700,25553797120.0
182750,25553797120.0
182800,25553797120.0
182850,25553797120.0
182900,25553797120.0
182950,25553797120.0
183000,25553797120.0
183050,25553797120.0
183100,25553797120.0
183150,25553797120.0
183200,25553797120.0
183250,25553797120.0
183300,25553797120.0
183350,25553797120.0
183400,25553797120.0
183450,25553797120.0
183500,25553797120.0
183550,25553797120.0
183600,25553797120.0
183650,25553797120.0
183700,25553797120.0
183750,25553797120.0
183800,25553797120.0
183850,25553797120.0
183900,25553797120.0
183950,25553797120.0
184000,25553797120.0
184050,25553797120.0
184100,25553797120.0
184150,25553797120.0
184200,25553797120.0
184250,25553797120.0
184300,25553797120.0
184350,25553797120.0
184400,25553797120.0
184450,25553797120.0
184500,25553797120.0
184550,25553797120.0
184600,25553797120.0
184650,25553797120.0
184700,25553797120.0
184750,25553797120.0
184800,25553797120.0
184850,25553797120.0
184900,25553797120.0
184950,25553797120.0
185000,25553797120.0
185050,25553797120.0
185100,25553797120.0
185150,25553797120.0
185200,25553797120.0
185250,25553797120.0
185300,25553797120.0
185350,25553797120.0
185400,25553797120.0
185450,25553797120.0
185500,25553797120.0
185550,25553797120.0
185600,25553797120.0
185650,25553797120.0
185700,25553797120.0
185750,25553797120.0
185800,25553797120.0
185850,25553797120.0
185900,25553797120.0
185950,25553797120.0
186000,25553797120.0
186050,25553797120.0
186100,25553797120.0
186150,25553797120.0
186200,25553797120.0
186250,25553797120.0
186300,25553797120.0
186350,25553797120.0
186400,25553797120.0
186450,25553797120.0
186500,25553797120.0
186550,25553797120.0
186600,25553797120.0
186650,25553797120.0
186700,25553797120.0
186750,25553797120.0
186800,25553797120.0
186850,25553797120.0
186900,25553797120.0
186950,25553797120.0
187000,25553797120.0
187050,25553797120.0
187100,25553797120.0
187150,25553797120.0
187200,25553797120.0
187250,25553797120.0
187300,25553797120.0
187350,25553797120.0
187400,25553797120.0
187450,25553797120.0
187500,25553797120.0
187550,25553797120.0
187600,25553797120.0
187650,25553797120.0
187700,25553797120.0
187750,25553797120.0
187800,25553797120.0
187850,25553797120.0
187900,25553797120.0
187950,25553797120.0
188000,25553797120.0
188050,25553797120.0
188100,25553797120.0
188150,25553797120.0
188200,25553797120.0
188250,25553797120.0
188300,25553797120.0
