step,value
50,0.267578125
100,0.08984375
150,0.189453125
200,0.2734375
250,0.498046875
300,0.609375
350,0.6875
400,0.671875
450,0.7421875
500,0.75
550,0.77734375
600,0.8203125
650,0.80859375
700,0.8671875
750,0.90234375
800,0.91796875
850,0.9453125
900,0.9609375
950,0.92578125
1000,0.9609375
1050,0.91796875
1100,0.94921875
1150,0.84375
1200,0.8828125
1250,0.9453125
1300,0.93359375
1350,0.97265625
1400,0.984375
1450,0.96484375
1500,0.95703125
1550,0.9765625
1600,0.9765625
1650,0.95703125
1700,0.96875
1750,0.99609375
1800,0.9453125
1850,0.9921875
1900,0.9921875
1950,0.9921875
2000,0.98828125
2050,1.0
2100,0.9765625
2150,0.96875
2200,0.92578125
2250,0.98828125
2300,0.890625
2350,0.98828125
2400,0.92578125
2450,0.921875
2500,0.96484375
2550,0.9453125
2600,0.90625
2650,0.9765625
2700,0.93359375
2750,0.90625
2800,0.953125
2850,0.9375
2900,0.98046875
2950,0.87109375
3000,0.8984375
3050,0.88671875
3100,0.98828125
3150,0.96484375
3200,0.9609375
3250,0.85546875
3300,0.88671875
3350,0.8984375
3400,0.94921875
3450,0.90625
3500,0.94140625
3550,0.96484375
3600,0.8671875
3650,0.94921875
3700,0.8828125
3750,0.91796875
3800,0.921875
3850,0.91796875
3900,0.984375
3950,0.91796875
4000,0.953125
4050,0.94921875
4100,0.9609375
4150,0.97265625
4200,0.9765625
4250,0.98046875
4300,0.98828125
4350,0.9609375
4400,0.97265625
4450,0.98046875
4500,0.99609375
4550,0.98828125
4600,0.984375
4650,0.984375
4700,0.97265625
4750,0.984375
4800,0.98046875
4850,0.984375
4900,0.9921875
4950,0.9921875
5000,0.99609375
5050,0.99609375
5100,0.9921875
5150,0.9921875
5200,0.984375
5250,0.9921875
5300,0.984375
5350,0.98828125
5400,0.984375
5450,0.9921875
5500,0.9609375
5550,0.9765625
5600,0.96484375
5650,0.98828125
5700,0.98828125
5750,0.98046875
5800,0.99609375
5850,0.98046875
5900,0.9921875
5950,0.984375
6000,0.99609375
6050,0.9765625
6100,0.9921875
6150,0.9921875
6200,0.984375
6250,0.9921875
6300,1.0
6350,0.9921875
6400,0.984375
6450,0.984375
6500,0.98046875
6550,0.98828125
6600,0.98828125
6650,0.9765625
6700,0.99609375
6750,0.98828125
6800,0.9921875
6850,0.9921875
6900,0.9921875
6950,0.9921875
7000,0.9921875
7050,0.98828125
7100,0.98828125
7150,0.98828125
7200,0.9921875
7250,0.9921875
7300,0.99609375
7350,0.98828125
7400,0.9921875
7450,1.0
7500,0.984375
7550,0.9921875
7600,0.98828125
7650,0.9921875
7700,0.99609375
7750,0.99609375
7800,0.99609375
7850,1.0
7900,0.984375
7950,0.98828125
8000,0.99609375
8050,0.98828125
8100,0.98828125
8150,0.98828125
8200,0.9921875
8250,0.9921875
8300,0.984375
8350,0.98046875
8400,1.0
8450,0.99609375
8500,0.98828125
8550,0.9921875
8600,0.9921875
8650,0.98828125
8700,0.98828125
8750,0.99609375
8800,0.99609375
8850,0.99609375
8900,0.99609375
8950,0.98828125
9000,0.9921875
9050,0.9921875
9100,1.0
9150,1.0
9200,0.99609375
9250,0.98828125
9300,0.98828125
9350,0.98828125
9400,0.9921875
9450,0.99609375
9500,1.0
9550,0.9921875
9600,0.99609375
9650,0.9921875
9700,0.99609375
9750,0.99609375
9800,0.9921875
9850,0.984375
9900,0.98046875
9950,0.9921875
10000,0.984375
10050,0.98828125
10100,0.9921875
10150,1.0
10200,0.9921875
10250,0.99609375
10300,0.9921875
10350,0.9921875
10400,0.99609375
10450,0.99609375
10500,0.9921875
10550,0.9921875
10600,0.9921875
10650,0.99609375
10700,0.99609375
10750,0.99609375
10800,0.9921875
10850,0.99609375
10900,0.99609375
10950,1.0
11000,0.99609375
11050,0.9921875
11100,0.9921875
11150,0.99609375
11200,0.98828125
11250,0.9921875
11300,0.98828125
11350,0.9921875
11400,0.984375
11450,0.98828125
11500,0.984375
11550,0.9921875
11600,0.98828125
11650,0.9921875
11700,1.0
11750,0.9921875
11800,0.9921875
11850,0.99609375
11900,0.9921875
11950,1.0
12000,0.99609375
12050,0.98828125
12100,0.98828125
12150,0.9921875
12200,0.99609375
12250,0.98828125
12300,0.9921875
12350,0.98828125
12400,0.98046875
12450,0.98046875
12500,0.99609375
12550,0.99609375
12600,0.9921875
12650,0.9921875
12700,0.984375
12750,0.9921875
12800,0.9921875
12850,0.99609375
12900,0.9921875
12950,0.99609375
13000,0.9921875
13050,0.9921875
13100,1.0
13150,0.9921875
13200,0.99609375
13250,0.9921875
13300,0.99609375
13350,0.99609375
13400,0.98828125
13450,0.9921875
13500,0.99609375
13550,0.99609375
13600,0.9921875
13650,0.9921875
13700,0.9921875
13750,0.984375
13800,0.9921875
13850,0.99609375
13900,0.99609375
13950,0.99609375
14000,1.0
14050,0.99609375
14100,0.99609375
14150,0.99609375
14200,0.99609375
14250,1.0
14300,0.99609375
14350,0.9921875
14400,0.98828125
14450,0.9921875
14500,0.99609375
14550,0.99609375
14600,0.99609375
14650,0.99609375
14700,0.9921875
14750,1.0
14800,0.99609375
14850,0.9921875
14900,1.0
14950,0.9921875
15000,0.99609375
15050,0.99609375
15100,0.9921875
15150,0.98828125
15200,1.0
15250,0.9921875
15300,0.99609375
15350,0.99609375
15400,0.99609375
15450,1.0
15500,0.99609375
15550,0.98828125
15600,0.99609375
15650,0.99609375
15700,0.99609375
15750,0.9921875
15800,0.99609375
15850,0.99609375
15900,0.99609375
15950,0.99609375
16000,0.9921875
16050,1.0
16100,0.98828125
16150,0.99609375
16200,0.9921875
16250,0.99609375
16300,0.99609375
16350,0.99609375
16400,0.99609375
16450,0.99609375
16500,0.9921875
16550,0.99609375
16600,0.99609375
16650,0.984375
16700,0.9921875
16750,0.9921875
16800,0.9921875
16850,0.9921875
16900,0.99609375
16950,0.9921875
17000,0.9921875
17050,1.0
17100,0.9921875
17150,0.99609375
17200,1.0
17250,0.98828125
17300,0.98828125
17350,0.9921875
17400,0.99609375
17450,0.99609375
17500,0.9921875
17550,0.99609375
17600,0.99609375
17650,0.99609375
17700,0.98828125
17750,1.0
17800,0.99609375
17850,0.99609375
17900,0.9921875
17950,0.9921875
18000,0.99609375
18050,0.99609375
18100,0.99609375
18150,0.98828125
18200,0.99609375
18250,1.0
18300,0.99609375
18350,0.99609375
18400,1.0
18450,1.0
18500,0.9921875
18550,0.9921875
18600,0.9921875
18650,0.99609375
18700,0.9921875
18750,1.0
18800,0.99609375
18850,0.9921875
18900,0.9921875
18950,0.99609375
19000,0.99609375
19050,0.99609375
19100,0.99609375
