step,value
50,4.074745629612153e-17
100,2.2516710718178956e-15
150,3.5503345750099004e-15
200,1.260451026321649e-13
250,3.4179622565404244e-13
300,7.496226404370143e-13
350,2.371993226835123e-12
400,1.0367826389079404e-12
450,2.629010832817802e-13
500,2.4513746067766906e-13
550,3.727952321841421e-11
600,1.333688715021708e-11
650,1.503508428868372e-11
700,1.0437352073117481e-13
750,9.317440916034592e-12
800,1.278488946654388e-11
850,1.1880274541908875e-10
900,1.5285999896419433e-11
950,5.275069617227679e-11
1000,2.6147972675971687e-12
1050,9.433081399334853e-11
1100,2.9956485209092776e-11
1150,9.913492249324918e-11
1200,3.86537633498274e-12
1250,4.093214656109012e-11
1300,6.821228152632808e-13
1350,8.01492205937393e-12
1400,4.992461739156129e-12
1450,8.355997317688324e-12
1500,3.001332515850663e-11
1550,1.6934462512829818e-11
1600,2.4030130316154974e-11
1650,5.6843423197616705e-12
1700,1.1084466677857563e-11
1750,9.375263065880546e-11
1800,2.7633008728433772e-11
1850,4.030198397231288e-11
1900,8.578415755522428e-11
1950,1.5775829254049967e-10
2000,8.180574273541907e-12
2050,3.087488598119137e-11
2100,1.9622086941395445e-11
2150,4.985168181037558e-11
2200,1.459348614174516e-10
2250,4.0457876632205014e-11
2300,3.38709746014465e-13
2350,4.861335292649649e-12
2400,1.647971620277744e-10
2450,6.312059382118651e-12
2500,3.07993734682821e-11
2550,1.8141115779718442e-12
2600,7.609912699990673e-12
2650,6.0538249760377916e-12
2700,1.904254705309416e-11
2750,2.4660287700761785e-11
2800,2.944610874577869e-11
2850,4.376948456452645e-12
2900,3.8060717771903896e-12
2950,4.118098657218683e-12
3000,5.059064712292782e-12
3050,5.030643870224116e-12
3100,3.135542498387822e-13
3150,1.2607041278978048e-11
3200,1.2192913345643319e-11
3250,2.15931803687619e-11
3300,1.1332332641722509e-11
3350,4.9123812656537424e-12
3400,2.3355296863147856e-11
3450,5.582213510879619e-12
3500,2.942781782144799e-11
3550,2.8851083848369097e-12
3600,3.835467013435512e-11
3650,1.2361003713656782e-11
3700,1.220919892963579e-11
3750,2.8256058950959506e-11
3800,2.210355162790556e-11
3850,2.9274362881720473e-12
3900,1.6366024854774786e-11
3950,4.590996680042814e-11
4000,7.318993328064849e-11
4050,1.042710709442396e-11
4100,6.41223619340936e-12
4150,9.976066847605658e-12
4200,1.7848833522293717e-11
4250,1.3707934960749402e-11
4300,1.179501700303287e-12
4350,1.3324202852160738e-12
4400,1.5511545173318986e-11
4450,1.511546963983701e-11
4500,8.895997653801668e-12
4550,3.0797453888335713e-13
4600,9.493460705056744e-12
4650,5.8264508669136905e-12
4700,2.3840237509814566e-12
4750,1.947192190474012e-12
4800,1.4873276221738507e-11
4850,2.916512864548082e-11
4900,7.446493942298016e-12
4950,6.060624658382752e-12
5000,2.55856425455947e-12
5050,8.950398582008301e-12
5100,5.149910446006212e-12
5150,7.957468885211316e-12
5200,3.4977589401241627e-12
5250,7.201854130417518e-12
5300,2.4665164008452756e-11
5350,7.89636064868482e-12
5400,1.4319662643147435e-11
5450,1.840994891255665e-11
5500,4.547500071817867e-13
5550,8.443265075812334e-13
5600,1.496420500533835e-12
5650,5.548380223145688e-13
5700,1.0127765813494616e-11
5750,2.8625159534390043e-11
5800,1.8337300428106218e-11
5850,7.072127172075282e-12
5900,3.353761712787673e-12
5950,1.424028429897195e-11
6000,7.068756387521025e-13
6050,3.2647311937195056e-11
6100,1.7590600850936333e-11
6150,1.7103466212753382e-11
6200,1.1541746725018953e-11
6250,2.8785139202791576e-11
6300,7.33127621110885e-12
6350,3.879563337250147e-12
6400,1.774527139813964e-12
6450,1.466072402367402e-11
6500,8.749008462149988e-12
6550,5.270396966072788e-12
6600,1.989214999317812e-12
6650,1.1539347602451677e-11
6700,1.3124731336466855e-11
6750,2.373658040955018e-11
6800,1.916708111671106e-12
6850,4.163322898237398e-12
6900,6.094017651614436e-12
6950,2.031542295499733e-11
7000,1.3088242295511421e-11
7050,5.666472933235633e-12
7100,3.504698701389808e-12
7150,1.376623749889394e-12
7200,4.3473020322482014e-12
7250,1.5344673231706962e-12
7300,1.1081112590016762e-11
7350,4.503621087170728e-11
7400,5.028812869595223e-12
7450,1.1831697947772835e-11
7500,2.1424884436016534e-12
7550,1.4314578168639347e-12
7600,2.5001955800824094e-12
7650,2.928125103496271e-11
7700,4.2556426048043217e-13
7750,1.2800320699224432e-11
7800,5.654700232365917e-12
7850,6.815113794481076e-13
7900,2.572165353972866e-12
7950,8.526731702434773e-14
8000,8.039379925661727e-12
8050,9.514411827837854e-13
8100,3.367362812201069e-12
8150,5.400126960181106e-13
8200,1.06506999400513e-11
8250,3.4152719714797275e-12
8300,2.0178650417257415e-12
8350,1.3042881661859407e-13
8400,3.4632477007717766e-12
8450,6.740839657293218e-12
8500,1.369560367892042e-11
8550,8.180575140903645e-12
8600,6.572520305780927e-14
8650,4.3473015985673324e-12
8700,9.150524305293062e-13
8750,5.608057421224721e-12
8800,5.277198383141224e-12
8850,3.4323069560138197e-12
8900,1.5768331735818708e-12
8950,2.876714491617527e-12
9000,6.642202846768308e-12
9050,1.6842912698225576e-12
9100,4.957758596019213e-12
9150,3.178459015082402e-12
9200,1.2789610516483751e-11
9250,4.448150181524113e-12
9300,9.952172549607119e-13
9350,5.901613833042552e-12
9400,3.34543677482646e-12
9450,7.176481631177012e-13
9500,3.776374352115752e-11
9550,7.213535866724963e-13
9600,2.7524000873607735e-12
9650,2.1694446369555087e-13
9700,1.6764234314972648e-12
9750,4.006545963053387e-12
9800,5.929221957162722e-13
9850,4.5391485709034285e-12
9900,1.2924649198109428e-11
9950,1.115308193022635e-11
10000,3.1981518128221254e-12
10050,7.0106169133832275e-12
10100,1.0804711617594387e-13
10150,2.8023286816059034e-12
10200,2.212425772099569e-12
10250,9.857539047183894e-13
10300,1.6674907440082654e-13
10350,2.0669551140106712e-12
10400,3.8469900008608615e-12
10450,3.697459872997744e-12
10500,1.3652362226834747e-11
10550,1.7976731214730535e-12
10600,1.828505473118816e-13
10650,1.1368683772161603e-13
10700,1.702634208752482e-13
10750,2.6262408046873187e-12
10800,5.699599321153104e-14
10850,1.403017025475295e-12
10900,5.894074833236174e-13
10950,2.2235412296123247e-12
11000,4.119013290171392e-12
11050,2.9824497906061342e-12
11100,3.0120912274805844e-12
11150,3.465885998338303e-12
11200,5.477369426076795e-12
11250,1.6636927837980486e-13
11300,1.224340615869901e-12
11350,1.0427261484813322e-11
11400,3.700555920721493e-12
11450,2.7034628875821642e-12
11500,8.773677856281636e-13
11550,2.9868408094047005e-12
11600,2.3049489834142678e-12
11650,1.5446681477307433e-12
11700,3.377563203080247e-12
11750,1.6931463826461157e-12
11800,2.3846562745288846e-12
11850,1.3442445941092007e-12
11900,2.3797081926540953e-12
11950,2.3049489834142678e-12
12000,2.948447475753513e-12
12050,4.1065555903690987e-13
12100,6.072091614239827e-13
12150,1.2727330040568363e-12
12200,2.3077405871679835e-13
12250,1.488328096833566e-13
12300,5.968558980384842e-13
12350,1.3648252450079723e-12
12400,1.514851286944785e-12
12450,5.2307077939850455e-12
12500,6.787208056864558e-13
12550,1.4049325938736423e-12
12600,1.315369362910046e-12
12650,7.287729447691405e-12
12700,2.6660604605065197e-13
12750,2.1857806363489996e-12
12800,1.0697976792622965e-12
