step,value
50,2.578698702054155e-13
100,1.2715623909712037e-12
150,2.4013253191457196e-11
200,8.650602456583556e-11
250,1.3605232218605323e-10
300,5.082375631459968e-10
350,2.37322694829345e-09
400,4.3614598044250386e-10
450,1.5803593989005549e-09
500,5.007269709977891e-09
550,1.9921966298852567e-09
600,1.3459166225970876e-08
650,1.018350181958283e-09
700,1.5992986490687144e-08
750,8.339839041582309e-09
800,3.228931433341131e-08
850,8.196036560548237e-08
900,2.6420238441460242e-08
950,3.8459688767034095e-08
1000,8.96597072141958e-08
1050,5.813600978399336e-08
1100,1.1900973539979987e-08
1150,9.91039499353974e-08
1200,2.5397856262543428e-08
1250,7.962996306787318e-08
1300,1.5927392382764083e-07
1350,1.7782367578433877e-08
1400,4.8141558295355935e-08
1450,1.2070435317923511e-08
1500,5.5504017382190796e-08
1550,1.922012415889185e-08
1600,2.6810340614247252e-08
1650,4.572184764128906e-08
1700,7.455950878920703e-08
1750,2.052149028486383e-08
1800,8.91645441924993e-08
1850,6.2058759908723e-08
1900,2.4350970129205507e-09
1950,2.0487310337102826e-07
2000,1.923098693623615e-07
2050,4.776562789743366e-08
2100,2.0239090758877865e-07
2150,8.788588701236222e-08
2200,1.96560506537935e-07
2250,7.800907297905724e-08
2300,3.575320661752812e-08
2350,1.7610973657156137e-07
2400,2.08770014609172e-08
2450,1.4776544787764578e-07
2500,1.263803852680212e-07
2550,1.5873419556555746e-07
2600,1.3812984889227664e-07
2650,1.703429717281324e-07
2700,5.493719754667836e-07
2750,5.166377992082971e-09
2800,3.326132684833283e-07
2850,5.3544116696002675e-08
2900,1.9629229797146763e-08
2950,4.800942861038493e-07
3000,5.6676078941109154e-08
3050,4.794117813844423e-08
3100,1.576549095716473e-07
3150,1.6389009260819876e-07
3200,1.3738121751316612e-08
3250,4.8891791948335594e-08
3300,6.726519075073156e-08
3350,6.012064801552697e-08
3400,6.785317907542776e-08
3450,1.374724547531514e-07
3500,5.870563057897016e-08
3550,7.12039536665543e-07
3600,5.2846871767542325e-08
3650,2.4096562523112652e-09
3700,8.511350557682817e-08
3750,1.267492564238637e-07
3800,9.745683371420455e-08
3850,5.0978339771745595e-08
3900,2.2824846723779046e-07
3950,7.525638778815846e-08
4000,2.0562244174016087e-07
4050,1.2936122573137254e-07
4100,3.230117329167115e-07
4150,2.754353261025244e-07
4200,2.404428016689053e-07
4250,1.400858877786959e-07
4300,6.408402697388738e-08
4350,9.330087635817108e-08
4400,1.3296511269800249e-07
4450,5.257865964836128e-08
4500,1.413788055515397e-07
4550,2.430293761790381e-07
4600,2.3369192092559388e-07
4650,1.6696621685241553e-07
4700,1.9650252625069697e-07
4750,4.7255636559384584e-07
4800,3.1640666975363274e-07
4850,1.6392469603943027e-08
4900,6.861480983388901e-07
4950,2.3008091432075162e-07
5000,1.1062692095720195e-07
5050,4.5762041622765537e-07
5100,2.6357323434922364e-08
5150,1.275686116741781e-07
5200,3.525645695390267e-07
5250,1.40184880592642e-07
5300,4.619540163730562e-07
5350,2.1954789986011747e-07
5400,2.3977376528705463e-08
5450,2.3448334385278713e-09
5500,1.3867925474642107e-07
5550,4.430620208495384e-07
5600,2.7000595537174377e-08
5650,2.8987477662667516e-07
5700,1.4101269130151195e-07
5750,3.250792701692262e-07
5800,1.4882651555581106e-07
5850,3.5929704722548195e-07
5900,3.210774650597159e-07
5950,7.010106060079124e-07
6000,1.515428067477842e-07
6050,2.1154654916699656e-07
6100,5.248841361549239e-08
6150,1.8061554385440104e-07
6200,3.290197980732046e-07
6250,6.491252975138195e-07
6300,6.2243607601431e-08
6350,4.1215895407731296e-07
6400,7.337977763199888e-07
6450,2.7323017093294766e-06
6500,1.1170435527674272e-06
6550,1.7699200327569997e-07
6600,2.3314726149692433e-07
6650,8.120543526501933e-08
6700,2.764469400062808e-07
6750,1.146617663039251e-07
6800,1.1094557521573734e-06
6850,2.604241728931811e-07
6900,2.941989123428357e-07
6950,2.5355569732710137e-07
7000,6.920542432453658e-07
7050,1.8943808299809461e-07
7100,4.5148641447667615e-07
7150,7.066874445627036e-07
7200,1.0271936616845778e-06
7250,1.755255141233647e-07
7300,3.157622927574266e-07
7350,9.156076998806384e-07
7400,1.2531312449937104e-06
7450,1.973316159364913e-07
7500,7.438637084078437e-08
7550,5.8810427638888996e-09
7600,4.4600417936635495e-07
7650,8.715992407815065e-07
7700,7.332270346438463e-09
7750,1.7605131574782718e-07
7800,1.7876071751743439e-06
7850,2.8755897574228584e-07
7900,1.8507125787436962e-06
7950,4.4892377104588377e-07
8000,7.582956413898501e-07
8050,4.868378766786918e-08
8100,2.044038865278708e-06
8150,6.394081992766587e-07
8200,1.1791707947850227e-06
8250,2.968083435916924e-06
8300,1.0130435157407192e-06
8350,6.93414051511354e-07
8400,1.0463630673029911e-07
8450,1.500692633271683e-06
8500,1.9469600829324918e-06
8550,1.0586481380414625e-07
8600,2.034896340319392e-07
8650,1.813679233464427e-07
8700,1.680648324509093e-06
8750,2.1868886790343822e-07
8800,3.0499984404741554e-06
8850,4.2287973656129907e-07
8900,2.1272215633416636e-07
8950,1.2846069239458302e-06
9000,1.9087535747530637e-06
9050,1.4010913673700998e-06
9100,1.1800361789937597e-06
9150,1.5045593499962706e-06
9200,2.024085233642836e-06
9250,7.399066817015409e-07
9300,3.4181766750407405e-07
9350,1.8752255073195556e-06
9400,2.4027297058637487e-06
9450,8.148978736244317e-07
9500,4.000837179773953e-06
9550,8.607083145761862e-06
9600,7.353870046244992e-07
9650,1.0804687917698175e-06
9700,3.072647203339329e-08
9750,1.2995682254768326e-06
9800,4.698628345067846e-06
9850,3.0052949568926124e-06
9900,2.3455979771824786e-06
9950,1.7194334986925242e-06
10000,1.4655623772341642e-06
10050,6.600161214009859e-06
10100,3.7571687698800815e-06
10150,1.0913330470430083e-06
10200,3.575934215405141e-06
10250,1.0902582289418206e-05
10300,6.043266580491036e-07
10350,8.496457439832739e-07
10400,3.908679389041936e-07
10450,4.3326346599315e-07
10500,1.1882055332534947e-05
10550,1.3025819498579949e-05
10600,1.5401625432787114e-06
10650,3.5038065107073635e-06
10700,5.042178145231446e-06
10750,2.950408315882669e-06
10800,2.100057514553555e-07
10850,8.561448794353055e-07
10900,7.0743512878834736e-06
10950,1.0782351637317333e-05
11000,1.6974535128611024e-06
11050,1.52583788803895e-05
11100,1.6298606624332024e-06
11150,6.374038548528915e-06
11200,8.564395102439448e-06
11250,1.7895364408104797e-06
11300,3.103400274540036e-07
11350,1.7199454305227846e-05
11400,4.898265160591109e-06
11450,3.132481879219995e-06
11500,3.923033546016086e-06
11550,7.481552984245354e-06
11600,7.893486326793209e-06
11650,1.0594075320113916e-05
11700,6.15935462633388e-08
11750,1.7257918443647213e-05
11800,2.226589003839763e-06
11850,3.5140001273248345e-06
11900,3.833952723653056e-05
11950,5.447055173135595e-06
12000,4.517703473538859e-06
12050,4.668059773393907e-06
12100,5.174805664864834e-06
12150,1.925811602632166e-06
12200,1.354145751975011e-06
12250,1.1331587302265689e-05
12300,3.62567061529262e-06
12350,3.2842276596056763e-06
12400,1.1678733926601126e-06
12450,8.461084507871419e-05
12500,7.941775947983842e-08
12550,4.411388090375112e-06
12600,1.6587184290983714e-05
12650,8.630934189568507e-07
12700,3.5270382795715705e-05
12750,3.2521811590413563e-06
12800,2.2921454728930257e-05
12850,1.6351923477486707e-05
12900,7.765812370053027e-06
12950,1.389258341077948e-05
13000,1.4250336789700668e-05
13050,2.9344730137381703e-05
13100,1.5309099126170622e-06
13150,4.99687803312554e-06
13200,2.7604020942817442e-05
13250,1.3674795127371908e-06
13300,1.2365490874799434e-05
13350,1.2897970009362325e-05
13400,2.1860003471374512e-05
13450,5.085224074719008e-06
13500,2.9695775083382614e-05
13550,7.1536287578055635e-06
13600,1.383508242724929e-05
13650,6.989023404457839e-06
13700,0.00010901124187512323
13750,1.1339008779032156e-05
13800,9.296934877056628e-06
13850,1.8208866094937548e-05
13900,9.741570465848781e-06
13950,9.903564205160365e-06
14000,9.139205758401658e-06
14050,9.75905732047977e-06
14100,3.198836395768012e-07
14150,7.628015282534761e-06
14200,6.706839485559613e-05
14250,7.8259208748932e-06
14300,1.2006560609734152e-05
14350,1.574742782395333e-05
14400,5.2375311497598886e-05
14450,3.793739597313106e-05
14500,2.6082581825903617e-05
14550,2.1066245608380996e-05
14600,1.1517220173118403e-06
14650,2.2894204448675737e-05
14700,7.800363164278679e-06
14750,2.460810537741054e-05
14800,4.446199454832822e-06
14850,1.2289790902286768e-05
14900,3.707146970555186e-05
14950,1.3977485195937334e-06
15000,1.4483738596027251e-05
15050,2.9543340133386664e-05
15100,1.5645202438463457e-05
15150,6.259383553697262e-06
15200,6.745252903783694e-06
15250,4.549796358332969e-05
15300,2.2799601993028773e-06
15350,1.4894881132931914e-05
15400,1.5991214240784757e-05
15450,4.590111711877398e-05
15500,2.512932042009197e-06
15550,3.10130744765047e-05
15600,2.6819561753654853e-05
15650,9.78900061454624e-07
15700,1.1439103218435775e-05
15750,7.3383944254601374e-06
15800,4.1180583139066584e-06
15850,2.001847133215051e-05
15900,8.493400855513755e-06
15950,1.6047848475864157e-05
16000,2.8466009098337963e-05
16050,4.126066414755769e-05
16100,5.936990419286303e-06
16150,2.95446147902112e-06
16200,3.334612483740784e-05
16250,1.9747392343560932e-06
16300,8.575955689593684e-06
16350,6.720123110426357e-06
16400,1.295775109610986e-05
16450,8.786658327153418e-06
16500,5.5892314776428975e-06
16550,6.189011037349701e-05
16600,3.575682785594836e-05
16650,6.050098454579711e-05
16700,7.395700959023088e-05
16750,0.0001328321231994778
16800,3.331018524477258e-05
16850,5.5004333262331784e-05
16900,2.008702176681254e-05
16950,1.8687583178689238e-06
17000,1.459064515074715e-05
17050,1.911813160404563e-05
17100,1.019548381009372e-05
17150,2.743923141679261e-05
17200,3.2551837648497894e-05
17250,9.702472016215324e-05
17300,3.3904925658134744e-05
17350,7.353820546995848e-05
17400,2.9287809866218595e-06
17450,6.065979050617898e-06
17500,1.6603216863586567e-05
17550,5.41732219971891e-07
17600,3.0025727028260008e-05
17650,1.8341852410230786e-05
17700,3.522633051034063e-05
17750,3.9373760955641046e-05
17800,3.181704232702032e-05
17850,4.876360253547318e-05
17900,0.00022552338487002999
17950,3.0509456337313168e-05
18000,1.655281266721431e-05
18050,0.00011221149907214567
18100,9.84285943559371e-05
18150,4.6280623791972175e-05
18200,1.5116967006179038e-05
18250,0.0001283354649785906
18300,7.330863445531577e-05
18350,3.2551735785091296e-05
18400,4.242580689606257e-05
18450,2.8344755264697596e-05
18500,1.1168076525791548e-05
18550,8.997015356726479e-06
18600,4.217405148665421e-06
18650,4.807555160368793e-05
18700,1.7844437252279022e-06
18750,0.00011294346040813252
18800,6.73818212817423e-05
18850,6.671628216281533e-05
18900,2.104455779772252e-05
18950,1.117393094318686e-05
19000,4.4947690184926614e-05
19050,3.6176538742438424e-06
19100,5.161268200026825e-05
19150,1.3184910585550824e-07
19200,0.0001286480837734416
19250,0.00014354610175359994
19300,4.0879247535485774e-05
19350,0.0001941775408340618
19400,1.6527856132597663e-05
19450,0.00032083247788250446
19500,0.0001231840142281726
19550,0.00021847891912329942
19600,4.0193728636950254e-05
19650,1.7099545175369713e-06
19700,0.00017718393064569682
19750,0.00014220437151379883
19800,3.066215867875144e-05
19850,3.825797830359079e-05
19900,7.768745854264125e-05
19950,0.00017451831081416458
20000,0.0001417886232957244
20050,0.00017073847993742675
20100,4.216418892610818e-05
20150,5.68997893424239e-05
20200,7.240979175549e-05
20250,3.8260023416114564e-07
20300,6.593026773771271e-05
20350,4.6588971599703655e-05
20400,7.899239426478744e-05
20450,6.600309279747307e-05
20500,2.0431423763511702e-05
20550,0.00014867796562612057
20600,2.257039113828796e-06
20650,5.96198151470162e-05
20700,0.00010489984560990706
20750,0.00013212136400397867
20800,4.7250396164599806e-05
20850,5.751713251811452e-05
20900,6.031497377989581e-06
20950,0.0001040430215653032
21000,4.646402521757409e-05
21050,9.843677617027424e-06
21100,0.00014426978304982185
21150,3.264443148509599e-05
21200,8.632309618405998e-05
21250,0.00013696406676899642
21300,6.34393363725394e-05
21350,1.128951771534048e-05
21400,2.334277996851597e-05
21450,4.215072112856433e-05
21500,1.1391615771572106e-05
21550,0.00016952611622400582
21600,2.2240939870243892e-05
21650,0.00017974540241993964
21700,5.716810483136214e-05
21750,0.00012195438466733322
21800,2.1230920538073406e-05
21850,0.0001158810846391134
21900,3.792488860199228e-05
21950,1.4632095371780451e-05
22000,0.00014698681479785591
22050,0.0001053203668561764
22100,0.00010010752157540992
22150,5.467683877213858e-05
22200,0.00016081826470326632
22250,1.4791088688070886e-05
22300,0.0002230010722996667
22350,9.05423512449488e-05
22400,9.160406625596806e-05
22450,0.00016686836897861212
22500,3.5377721360418946e-05
22550,0.00019571602751966566
22600,4.9691068852553144e-05
22650,0.0002028968301601708
22700,0.00017195590771734715
22750,4.226511373417452e-05
22800,0.00019110788707621396
22850,1.0100912732013967e-05
22900,9.175894228974357e-05
22950,7.472670404240489e-05
23000,1.8038106645690277e-05
23050,5.767174661741592e-05
23100,0.00015055949916131794
23150,3.575718801585026e-05
23200,0.00020774421864189208
23250,9.34765994315967e-05
23300,3.772435229620896e-05
23350,6.693487648590235e-06
23400,0.0004309114592615515
23450,5.440224049380049e-05
23500,9.659339411882684e-05
23550,2.371172740822658e-05
23600,0.00027395240613259375
23650,6.244603719096631e-05
23700,8.978581900009885e-05
23750,0.00012440381397027522
23800,4.884100053459406e-05
23850,2.071410563075915e-06
23900,7.179443491622806e-05
23950,4.422058191266842e-05
24000,0.0001857822499005124
24050,2.6710325983003713e-05
24100,2.5681063561933115e-05
24150,1.3636323274113238e-05
24200,0.00015075079863891006
24250,4.3083658965770155e-05
24300,8.645632624393329e-05
24350,9.225140092894435e-05
24400,1.089727538783336e-05
24450,8.849356527207419e-05
24500,5.46510955246049e-06
24550,0.0004905412788502872
24600,0.0002765926765277982
24650,8.109273767331615e-05
24700,2.8066472168575274e-06
24750,0.00035551271867007017
24800,1.7919579477165826e-05
24850,0.00018653114966582507
24900,7.404913776554167e-05
24950,0.00011327002721372992
25000,0.00011016270582331344
