step,value
50,1240472064.0
100,1239749632.0
150,1240083456.0
200,1240317952.0
250,1240524288.0
300,1239707648.0
350,1240280064.0
400,1240702464.0
450,1240151040.0
500,1240301056.0
550,1240018432.0
600,1239755776.0
650,1240514560.0
700,1240905216.0
750,1240124928.0
800,1239954432.0
850,1239958016.0
900,1240071168.0
950,1240074240.0
1000,1239697408.0
1050,1241659904.0
1100,1239409152.0
1150,1239678464.0
1200,1239852544.0
1250,1240350208.0
1300,1239896064.0
1350,1239647232.0
1400,1240863232.0
1450,1239955456.0
1500,1240540672.0
1550,1239822848.0
1600,1238609920.0
1650,1239659520.0
1700,1239368192.0
1750,1240273408.0
1800,1240356352.0
1850,1239162880.0
1900,1240749056.0
1950,1240531456.0
2000,1239771136.0
2050,1239718912.0
2100,1240119808.0
2150,1239037952.0
2200,1240575488.0
2250,1239846912.0
2300,1240733184.0
2350,1239876608.0
2400,1239941632.0
2450,1239714816.0
2500,1239647232.0
2550,1239320576.0
2600,1241210368.0
2650,1239448064.0
2700,1239523328.0
2750,1239838208.0
2800,1240999936.0
2850,1240167424.0
2900,1239905280.0
2950,1239750656.0
3000,1240414208.0
3050,1239976960.0
3100,1239910912.0
3150,1241112576.0
3200,1240230400.0
3250,1239296512.0
3300,1240654336.0
3350,1239749120.0
3400,1239927808.0
3450,1239724544.0
3500,1239654912.0
3550,1239944704.0
3600,1239484928.0
3650,1240461312.0
3700,1239878144.0
3750,1239482368.0
3800,1240301056.0
3850,1239832576.0
3900,1240145920.0
3950,1240097792.0
4000,1239767552.0
4050,1240829952.0
4100,1239257088.0
4150,1239648768.0
4200,1239810560.0
4250,1239903744.0
4300,1239864320.0
4350,1240484864.0
4400,1239742976.0
4450,1239979520.0
4500,1241678336.0
4550,1241185792.0
4600,1240805888.0
4650,1239422464.0
4700,1240065024.0
4750,1240896512.0
4800,1240503808.0
4850,1239910400.0
4900,1239906304.0
4950,1240622080.0
5000,1242648064.0
5050,1243128320.0
5100,1244399616.0
5150,1244538880.0
5200,1244243456.0
5250,1244671488.0
5300,1243523584.0
5350,1243358208.0
5400,1243984384.0
5450,1243102720.0
5500,1243580416.0
5550,1243432960.0
5600,1243922432.0
5650,1243780096.0
5700,1244628992.0
5750,1244690432.0
5800,1243825152.0
5850,1243818496.0
5900,1243944960.0
5950,1244014080.0
6000,1243116544.0
6050,1244218368.0
6100,1243541504.0
6150,1243528192.0
6200,1243412480.0
6250,1243134464.0
6300,1243315712.0
6350,1244656640.0
6400,1245359616.0
6450,1244973056.0
6500,1243814400.0
6550,1243749888.0
6600,1243927040.0
6650,1243134976.0
6700,1243681792.0
6750,1243520000.0
6800,1244158976.0
6850,1242597888.0
6900,1243254272.0
6950,1243169792.0
7000,1243774464.0
7050,1244255232.0
7100,1242950656.0
7150,1244181504.0
7200,1243262464.0
7250,1243314688.0
7300,1243191808.0
7350,1243651584.0
7400,1243234304.0
7450,1244377088.0
7500,1245732864.0
7550,1243387392.0
7600,1243337216.0
7650,1244104192.0
7700,1244727296.0
7750,1244494848.0
7800,1243412992.0
7850,1243304448.0
7900,1244656640.0
7950,1244408832.0
8000,1243407872.0
8050,1243133952.0
8100,1243153408.0
8150,1242806784.0
8200,1243142144.0
8250,1243774464.0
8300,1243867136.0
8350,1243556352.0
8400,1244568064.0
8450,1242848768.0
8500,1242844160.0
8550,1243871232.0
8600,1243638272.0
8650,1243441664.0
8700,1243402240.0
8750,1242700800.0
8800,1244540928.0
8850,1242716672.0
8900,1243296768.0
8950,1244179968.0
9000,1243206144.0
9050,1243314176.0
9100,1243451392.0
9150,1243942912.0
9200,1243538944.0
9250,1243867136.0
9300,1244047872.0
9350,1243774976.0
9400,1243698688.0
9450,1243537408.0
9500,1243250688.0
9550,1243303936.0
9600,1243851264.0
9650,1243462656.0
9700,1243338752.0
9750,1243253760.0
9800,1243977216.0
9850,1243818496.0
9900,1244094976.0
9950,1243915776.0
10000,1243094528.0
10050,1243111936.0
10100,1243269120.0
10150,1243700736.0
10200,1243886080.0
10250,1243016704.0
10300,1243207168.0
10350,1243412480.0
10400,1243276288.0
10450,1243309056.0
10500,1243305984.0
10550,1242801152.0
10600,1243166208.0
10650,1243358720.0
10700,1243547136.0
10750,1243750400.0
10800,1242867200.0
10850,1242884096.0
10900,1243867136.0
10950,1243394048.0
11000,1242954240.0
11050,1245313024.0
11100,1244616192.0
11150,1243147776.0
11200,1243812352.0
11250,1243501568.0
11300,1243237376.0
11350,1242797056.0
11400,1244384256.0
11450,1243141632.0
11500,1243495424.0
11550,1243504128.0
11600,1243799552.0
11650,1243651072.0
11700,1243453440.0
11750,1242825216.0
11800,1243914240.0
11850,1243409408.0
11900,1244349440.0
11950,1244212224.0
12000,1243147264.0
12050,1243227136.0
12100,1244942336.0
12150,1243148800.0
12200,1243859456.0
12250,1243119616.0
12300,1243700736.0
12350,1243824128.0
12400,1244104192.0
12450,1243599360.0
12500,1243653120.0
12550,1245172736.0
12600,1243592192.0
12650,1243664896.0
12700,1243566080.0
12750,1245030912.0
12800,1244213760.0
12850,1242885120.0
12900,1243330048.0
12950,1242837504.0
13000,1242847232.0
13050,1243365888.0
13100,1244304384.0
13150,1244544512.0
13200,1243315712.0
13250,1243447296.0
13300,1243824128.0
13350,1244104192.0
13400,1243599360.0
13450,1243653120.0
13500,1245172736.0
13550,1243592192.0
13600,1243664896.0
13650,1243566080.0
13700,1245030912.0
13750,1244213760.0
13800,1242885120.0
13850,1243330048.0
13900,1242837504.0
13950,1242847232.0
14000,1243365888.0
14050,1244304384.0
14100,1244544512.0
14150,1243315712.0
14200,1243447296.0
14250,1243824128.0
14300,1244104192.0
14350,1243599360.0
14400,1243653120.0
14450,1245172736.0
14500,1243592192.0
14550,1243664896.0
14600,1243566080.0
14650,1245030912.0
14700,1244213760.0
14750,1242885120.0
14800,1243330048.0
14850,1242837504.0
14900,1242847232.0
14950,1243365888.0
15000,1244336128.0
15050,1242848768.0
15100,1243513344.0
15150,1244256768.0
15200,1243220480.0
15250,1243290112.0
15300,1244390400.0
15350,1244694016.0
15400,1243881472.0
15450,1243153920.0
15500,1243947520.0
15550,1243797504.0
15600,1243264000.0
15650,1243804672.0
15700,1243980288.0
15750,1243824128.0
15800,1244104192.0
15850,1244651008.0
15900,1243427840.0
15950,1243138048.0
16000,1243212288.0
16050,1243237888.0
16100,1244184064.0
16150,1243516928.0
16200,1243943424.0
16250,1244686336.0
16300,1243539968.0
16350,1243905024.0
16400,1243813376.0
16450,1244291072.0
16500,1244028416.0
16550,1244094976.0
16600,1243762176.0
16650,1243198976.0
16700,1244208128.0
16750,1244016128.0
16800,1243462144.0
16850,1243894784.0
16900,1242568192.0
16950,1243821056.0
17000,1243267072.0
17050,1243254272.0
17100,1243051520.0
17150,1243974144.0
17200,1243773952.0
17250,1243356672.0
17300,1243806720.0
17350,1244430848.0
17400,1242925056.0
17450,1243791360.0
17500,1242927104.0
17550,1243181056.0
17600,1242852352.0
17650,1243613696.0
17700,1244397056.0
17750,1243912704.0
17800,1243886592.0
17850,1244655104.0
17900,1243547648.0
17950,1243318784.0
18000,1243654656.0
18050,1243901440.0
18100,1244408320.0
18150,1244394496.0
18200,1242779136.0
18250,1243255296.0
18300,1243271168.0
18350,1244149248.0
18400,1243222016.0
18450,1243624960.0
18500,1243717632.0
18550,1243366912.0
18600,1242939392.0
18650,1243680256.0
18700,1242893312.0
18750,1243892736.0
18800,1243881472.0
18850,1243400192.0
18900,1244791808.0
18950,1244016640.0
19000,1242600448.0
19050,1242227200.0
19100,1243827200.0
19150,1243459072.0
19200,1244254720.0
19250,1244218880.0
19300,1243756544.0
19350,1243509760.0
19400,1243420160.0
19450,1243320320.0
19500,1243010560.0
19550,1243314176.0
19600,1243953152.0
19650,1242755584.0
19700,1243744256.0
19750,1243121152.0
19800,1242937344.0
19850,1243207680.0
19900,1243501056.0
19950,1244503040.0
20000,1244205056.0
20050,1245717504.0
20100,1245886976.0
20150,1248163328.0
20200,1246753792.0
20250,1245172224.0
20300,1245085184.0
20350,1246332416.0
20400,1247204352.0
20450,1245214208.0
20500,1245451264.0
20550,1246288384.0
20600,1246038528.0
20650,1246328832.0
20700,1245000704.0
20750,1245632000.0
20800,1247834624.0
20850,1244879872.0
20900,1245690880.0
20950,1244160000.0
21000,1246117376.0
21050,1245244928.0
21100,1245271552.0
21150,1245448192.0
21200,1247050752.0
21250,1246705664.0
21300,1245972992.0
21350,1244051456.0
21400,1244957184.0
21450,1244575232.0
21500,1244751872.0
21550,1243904000.0
21600,1246775808.0
21650,1245527040.0
21700,1245986304.0
21750,1246299136.0
21800,1246580224.0
21850,1246600704.0
21900,1244682752.0
21950,1243804672.0
22000,1245578752.0
22050,1247081472.0
22100,1245732352.0
22150,1244477952.0
22200,1245948416.0
22250,1246452224.0
22300,1245601792.0
22350,1244654592.0
22400,1245654528.0
22450,1244854784.0
22500,1245545984.0
22550,1245948928.0
22600,1246205952.0
22650,1246254592.0
22700,1247155200.0
22750,1246672384.0
22800,1245495808.0
22850,1244751872.0
22900,1244878336.0
22950,1244673536.0
23000,1243120640.0
23050,1245374464.0
23100,1244341760.0
