step,value
50,126.11306534800678
100,245.4679249730034
150,364.08820367700537
200,482.52740732900565
250,601.1415573150007
300,719.644476557005
350,838.1537753750017
400,956.7002515020067
450,1075.295332996
500,1193.7868493780043
550,1312.3686788710038
600,1431.0870828630068
650,1549.464357746001
700,1668.0933490870011
750,1786.6614180350007
800,1905.071468001006
850,2023.597187805004
900,2142.110333372002
950,2260.651259407001
1000,2379.163511466002
1050,2497.903209949007
1100,2616.421458695004
1150,2734.9238354840054
1200,2853.576905654001
1250,2972.0128202660053
1300,3090.5236664230033
1350,3209.212753824002
1400,3327.780040192003
1450,3446.288315239006
1500,3564.854906271001
1550,3683.3264978060033
1600,3801.986054082001
1650,3920.6489178860065
1700,4039.1640893580043
1750,4157.668799937004
1800,4276.984210525006
1850,4396.664817571007
1900,4515.179791975002
1950,4633.758273251005
2000,4752.275852855004
2050,4870.635549904
2100,4989.376158593004
2150,5107.899149723002
2200,5226.347104483
2250,5344.949061282001
2300,5463.435311766007
2350,5581.882883189006
2400,5700.717992849
2450,5819.384982226002
2500,5937.902610938007
2550,6056.545559163002
2600,6175.13000479
2650,6293.703313953003
2700,6412.264760832004
2750,6530.801376478004
2800,6649.372812367001
2850,6768.111640970004
2900,6886.72251331
2950,7005.302110002005
3000,7123.871716149006
3050,7242.410100273002
3100,7360.853500041005
3150,7479.486799344006
3200,7598.082591451006
3250,7716.662238003002
3300,7835.362285614006
3350,7954.019116104006
3400,8072.553884423003
3450,8191.286446023005
3500,8309.846198584004
3550,8428.356101704005
3600,8547.13649176
3650,8665.807875709004
3700,8784.362959735001
3750,8902.934622407003
3800,9021.580322374
3850,9140.183304026003
3900,9259.240949918007
3950,9377.931676371001
4000,9496.595265890006
4050,9614.872760497004
4100,9733.524926220001
4150,9852.050918194007
4200,9970.837501201
4250,10089.506208401006
4300,10208.052189571004
4350,10326.660487695
4400,10445.351171114002
4450,10563.885375195001
4500,10682.623269128002
4550,10801.277993316005
4600,10919.997420275002
4650,11038.571852265006
4700,11157.273016348001
4750,11275.832438848003
4800,11394.613036540002
4850,11513.321439397005
4900,11631.922201751004
4950,11750.622214607007
5000,11869.354294273006
5050,11988.242838589002
5100,12106.969055000001
5150,12225.604467334
5200,12344.114362554006
5250,12462.701359604005
5300,12581.423661237
5350,12699.970299217006
5400,12818.590274655005
5450,12937.185404072006
5500,13055.712207812001
5550,13174.363559577003
5600,13293.053983147001
5650,13411.734881219003
5700,13530.419374138
5750,13649.144804079006
5800,13767.732230267
5850,13886.285453937002
5900,14004.980713627003
5950,14123.666180912005
6000,14242.328199604002
6050,14361.108346905006
6100,14479.696250404006
6150,14598.245051982005
6200,14716.920400041003
6250,14835.455931266006
6300,14954.016574772002
6350,15072.520681829003
6400,15191.090273455004
6450,15309.671981418003
6500,15428.256817093003
6550,15546.809090264003
6600,15665.335470763006
6650,15784.016459614002
6700,15902.609359580005
6750,16021.154906977004
6800,16139.832267127007
6850,16258.366718048004
6900,16376.941362768004
6950,16495.620333507002
7000,16614.313580262
7050,16732.926927984
7100,16851.592944543
7150,16970.214093193004
7200,17089.794628323005
7250,17208.513150245002
7300,17327.19969863
7350,17445.810265144006
7400,17564.645258068005
7450,17683.290665811
7500,17801.822294035002
7550,17920.598436178007
7600,18039.263628612003
7650,18157.992500263004
7700,18276.654538914
7750,18395.334208473003
7800,18513.843529600003
7850,18632.566261045
7900,18751.122768284004
7950,18869.644607579
8000,18988.335537426006
8050,19106.938227975006
8100,19225.525028362004
8150,19344.269214795
8200,19462.997189512003
8250,19581.560225232002
8300,19700.303030568997
8350,19818.958534257
8400,19937.432468434003
8450,20056.135119880004
8500,20174.843839276007
8550,20293.391121511006
8600,20412.058155005005
8650,20530.679498596008
8700,20649.194610952
8750,20767.879078260004
8800,20886.631267687007
8850,21005.153601685997
8900,21123.822817861008
8950,21242.451569011006
9000,21360.991187991
9050,21479.618311013
9100,21598.300408621006
9150,21716.777137802004
9200,21835.556763529
9250,21954.233256964006
9300,22072.767539860004
9350,22191.51186430001
9400,22310.305654855
9450,22428.982820842
9500,22547.654763198
9550,22666.36520034301
9600,22784.913109928
9650,22903.648611032004
9700,23022.34793451601
9750,23141.04688797601
9800,23259.58522164201
9850,23378.214358655
9900,23496.759592655006
9950,23615.348580430007
10000,23734.058821288003
10050,23852.979437014008
10100,23971.70866748
10150,24090.364883778
10200,24208.967787374007
10250,24327.5988172
10300,24446.21843125701
10350,24564.840072881
10400,24683.462849648997
10450,24801.947713987007
10500,24920.567792580005
10550,25039.15446394201
10600,25157.795824338005
10650,25276.383736993004
10700,25394.895085712
10750,25513.581312131
10800,25632.124778945006
10850,25750.67069062101
10900,25869.28075761701
10950,25987.783040375005
11000,26106.348775740007
11050,26224.747633532003
11100,26343.305006823
11150,26461.748734464003
11200,26580.122343820003
11250,26698.80059471001
11300,26817.298186873006
11350,26935.82921571
11400,27054.23973814201
11450,27172.653418933005
11500,27291.220531674007
11550,27409.994036081007
11600,27528.436855791
11650,27646.930522782997
11700,27765.291267294997
11750,27883.557085697008
11800,28002.097347026
11850,28120.507266702007
11900,28238.951578853004
11950,28357.58147759
12000,28475.993539826006
12050,28594.434898874002
12100,28712.987048749004
12150,28831.51346634901
12200,28949.897425911004
12250,29068.409699574004
12300,29186.936799837007
12350,29305.278127489008
12400,29423.871939361
12450,29542.416843274004
12500,29660.90457770401
12550,29779.399463197005
12600,29897.94578198401
12650,30016.537250296
12700,30135.118333878003
12750,30253.688039014007
12800,30372.093680915998
12850,30490.57958538201
12900,30609.159767940997
12950,30727.573151086
13000,30846.051443213008
13050,30964.679967047
13100,31082.97672261901
13150,31201.516179029008
13200,31320.08342418701
13250,31438.397879391
13300,31556.880190666
13350,31675.413533146006
13400,31793.78872540901
13450,31912.34964062101
13500,32030.832925435003
13550,32149.184648112998
13600,32267.77202892201
13650,32386.195601907
13700,32504.554956910004
13750,32623.127533234998
13800,32741.623785779004
13850,32860.15248015301
13900,32978.657693808
13950,33097.368551611005
14000,33215.87361167701
14050,33334.46068894701
14100,33453.151101916
14150,33571.776220736
14200,33690.17759212001
14250,33808.825252569
14300,33927.328313671
14350,34046.47530141801
14400,34165.11977278701
14450,34283.566608399
14500,34401.946650873004
14550,34520.557034961
14600,34639.00707244101
14650,34757.499980607005
14700,34876.054818318
14750,34994.598296884
14800,35112.82224810401
14850,35231.355228475
14900,35349.907310021
14950,35468.39766074
15000,35587.166585555
15050,35706.128013884
15100,35824.60840874201
15150,35943.229136962
15200,36061.805914781005
15250,36180.354360851
15300,36299.015396518
15350,36417.530319000005
15400,36536.05517264701
15450,36654.70704598701
15500,36773.29244757801
15550,36891.83791163601
15600,37010.56034968701
15650,37129.11885218201
15700,37247.658209737005
15750,37366.355651155005
15800,37484.985361848005
15850,37603.51609788101
15900,37722.116788245
15950,37840.818298281
16000,37959.337412614004
16050,38078.090405182
16100,38196.737926686
16150,38315.297929121
16200,38433.898979978
16250,38552.55926361301
16300,38671.051222566
16350,38789.77132091601
16400,38908.50636036401
16450,39027.113078424
16500,39145.78591701101
16550,39264.437681350006
16600,39382.904830445004
16650,39501.64653963
16700,39620.430391564
16750,39738.935825846005
16800,39857.64449295401
16850,39976.345465166996
16900,40094.961706796
16950,40213.728020999006
17000,40332.411069945
17050,40450.906370027
17100,40569.688017543005
17150,40688.400670433
17200,40806.863412827
17250,40925.645599505
17300,41044.345012347
17350,41162.964069492
17400,41281.740793026
17450,41400.44544466401
17500,41519.019790995
17550,41637.74183686601
17600,41756.41580853401
17650,41875.060931723005
17700,41993.774903788006
17750,42112.508362464
17800,42231.094398791996
17850,42349.80224754901
17900,42468.42193602601
17950,42587.148805738
18000,42705.774312261005
18050,42824.006646745
18100,42942.533987747
18150,43061.262580842005
18200,43179.99128512901
18250,43298.681937231006
18300,43417.335239240005
18350,43536.16245778
18400,43654.846422807
18450,43773.506135056006
18500,43892.23651096901
18550,44010.96110389601
18600,44129.61340285901
18650,44248.369678008
18700,44367.055760387004
18750,44485.78517276601
18800,44604.65767040301
18850,44723.31072522401
18900,44842.12352387701
18950,44961.00694812301
19000,45079.78672599201
19050,45198.420707238
19100,45317.156926934
19150,45435.888875881
19200,45554.541161191
19250,45673.405549136
19300,45792.17898502401
19350,45910.849469810004
19400,46029.569180022
19450,46148.312975716
19500,46266.963585850004
19550,46385.855858598
19600,46504.66979882301
19650,46623.39912531
19700,46742.32461609701
19750,46861.180318160004
19800,46979.85751075901
19850,47098.69447563901
19900,47217.571679119
19950,47336.30490676201
20000,47455.180308207004
20050,47574.293910681
20100,47692.89897713101
20150,47811.679119047
20200,47930.40804716301
20250,48049.05406272201
20300,48167.931421026
20350,48286.67493517401
20400,48405.457368557
20450,48524.313613935
20500,48643.142087347
20550,48761.72124145101
20600,48880.583020418
20650,48999.434299936
20700,49118.069213924005
20750,49236.817426213
20800,49355.679455613
20850,49474.32218685101
20900,49592.883966617
20950,49711.55481137201
21000,49830.138971511005
21050,49949.029756054
21100,50067.88299227101
21150,50186.633248733
21200,50305.464261145
21250,50424.325374129
21300,50542.99411222
21350,50661.76286532
21400,50780.604644645
21450,50899.18592439501
21500,51019.114090013005
21550,51137.86999123201
21600,51256.644255995
21650,51375.51425192001
21700,51494.37169960001
21750,51613.017758894006
21800,51732.203612145
21850,51851.030772458
21900,51969.62854943101
21950,52088.436456423
22000,52207.171460203004
22050,52325.843142055
22100,52444.686608101
22150,52563.57208357601
22200,52682.238318753
22250,52801.082313367
22300,52919.929828178
22350,53038.627724656
22400,53157.40874499501
22450,53276.134103578
22500,53394.891054734
22550,53513.820021763
22600,53632.642378829005
22650,53751.425857264
22700,53870.208345803
22750,53989.044104851004
22800,54107.713697095
22850,54226.631658822
22900,54345.52262143
22950,54464.305306389004
23000,54583.183675931
23050,54701.98752619001
23100,54820.797875038006
23150,54939.633290431004
23200,55058.54262385201
23250,55177.306928186
23300,55296.157424877
23350,55415.090957798
23400,55533.913348443
23450,55652.868305744
23500,55771.92751490001
23550,55890.89048594901
23600,56009.746799566004
23650,56128.599868426005
23700,56247.39565495801
23750,56366.32894214101
23800,56485.278466995
23850,56604.032994866
23900,56722.809969809
23950,56841.70979165901
24000,56960.457764108
24050,57079.251390692
24100,57198.061950376
24150,57316.84273576401
24200,57435.56412071801
24250,57554.498368012
24300,57673.295882998
24350,57792.009330868
24400,57910.874149231
24450,58029.77067235001
24500,58148.535402061
24550,58267.5548967
24600,58386.373624737
24650,58505.133848758
24700,58624.07670526401
24750,58742.89741025
24800,58861.63641590601
24850,58980.58224207101
24900,59099.47782666
24950,59218.264769562
25000,59337.236806065
