step,value
50,3197131.073512302
100,3378161.5701850937
150,3399081.5432673316
200,3404278.208292314
250,3399257.171657905
300,3402447.826425213
350,3402264.666329882
400,3401197.683582183
450,3399803.7264338103
500,3402775.2560793096
550,3400183.668306474
600,3396272.0727542797
650,3406059.147742069
700,3398831.8997082096
750,3400578.280285829
800,3405116.374123276
850,3401793.304160127
900,3402154.2342073987
950,3401356.9278255547
1000,3402179.8843149766
1050,3395662.993516108
1100,3402007.7436692496
1150,3402463.401370543
1200,3398142.1586675355
1250,3404372.747243795
1300,3402220.2445998755
1350,3397110.963013499
1400,3400600.7251323545
1450,3402294.0578629007
1500,3400620.6680193534
1550,3403347.543287407
1600,3397956.4112153947
1650,3397861.698888052
1700,3402096.0775917736
1750,3402396.394455652
1800,3379278.485595256
1850,3368966.8690018035
1900,3402101.7346345317
1950,3400279.676896119
2000,3402026.9511679863
2050,3406564.988359943
2100,3395636.964065335
2150,3401871.6213275874
2200,3404026.6952432515
2250,3399606.6412573517
2300,3402926.486009677
2350,3404037.7118420973
2400,3392936.6594907613
2450,3397743.5689300774
2500,3402025.541531606
2550,3398432.0689281053
2600,3400108.6556346915
2650,3400427.9955257135
2700,3400768.2144052275
2750,3401480.612573947
2800,3400481.7178520625
2850,3395687.8701244034
2900,3399351.1053880057
2950,3400247.692250626
3000,3400534.193392858
3050,3401429.8657744066
3100,3404157.6043051435
3150,3398708.4770371937
3200,3399783.3551819623
3250,3400246.2625253345
3300,3396797.289596207
3350,3398034.4691069666
3400,3401533.62357717
3450,3395867.1030642902
3500,3400816.814226674
3550,3402247.317607947
3600,3394499.7133779633
3650,3397617.7455996056
3700,3400950.7336824695
3750,3400475.2140091695
3800,3398353.2493141782
3850,3399577.265123447
3900,3386594.762387108
3950,3397064.0508269235
4000,3397840.9184682965
4050,3408932.5390237216
4100,3398168.061603723
4150,3401785.492657403
4200,3394322.7407784173
4250,3397694.383915729
4300,3401211.8843725235
4350,3399424.883227687
4400,3397065.2825093716
4450,3401549.815313032
4500,3395714.599987005
4550,3398094.7893920047
4600,3396242.808173749
4650,3400395.7955623185
4700,3396765.3402125454
4750,3400826.281858722
4800,3394493.7795776
4850,3396558.2073048297
4900,3399640.8791752155
4950,3396798.2841680795
5000,3395880.88690292
5050,3391411.6984082763
5100,3396048.5913593406
5150,3398647.9421916245
5200,3402247.544405344
5250,3400035.5016157627
5300,3396160.573490284
5350,3401193.039890387
5400,3399090.23342148
5450,3399802.3526099413
5500,3401762.1945199533
5550,3398191.3733150596
5600,3397072.7197060673
5650,3397345.3736033053
5700,3397242.4710546257
5750,3396071.087721904
5800,3400023.197744545
5850,3401004.101940955
5900,3396934.309365398
5950,3397214.5808870285
6000,3397885.8984908923
6050,3394506.650831471
6100,3400009.5128033203
6150,3401130.965754338
6200,3397504.2550501293
6250,3401511.730981738
6300,3400791.2581851664
6350,3402413.7223029803
6400,3400534.6098500225
6450,3400187.1530287634
6500,3400097.4720328823
6550,3401031.3696678025
6600,3401774.3417330845
6650,3397342.7749765166
6700,3399866.266155783
6750,3401224.3298326107
6800,3397446.6527598356
6850,3401542.7318150015
6900,3400389.6950491345
6950,3397400.5461062538
7000,3396991.918438835
7050,3399280.1631819946
7100,3397771.423459985
7150,3399056.6150194565
7200,3371786.2155547817
7250,3396268.699040223
7300,3397183.6361109056
7350,3399359.8702893755
7400,3392939.992497543
7450,3398361.6194686177
7500,3401623.735717439
7550,3394621.114352706
7600,3397795.0208462826
7650,3395972.642485736
7700,3397885.3269652077
7750,3397380.5412353966
7800,3402264.0258643785
7850,3396148.2783673215
7900,3400909.9069288233
7950,3401904.6818573847
8000,3397058.229468177
8050,3399585.609176555
8100,3400041.140195959
8150,3395534.654048223
8200,3395998.2974615423
8250,3400722.641348406
8300,3395574.147466945
8350,3398072.4658182953
8400,3403280.2472618734
8450,3396722.778205327
8500,3396549.150319408
8550,3401174.555825998
8600,3397742.3057465213
8650,3399051.0290475325
8700,3402097.774576472
8750,3397243.204147618
8800,3395305.8208484403
8850,3401890.482543456
8900,3397679.8111261628
8950,3398838.7814197084
9000,3401394.432253476
9050,3398885.429643451
9100,3397311.036174369
9150,3403199.9599180855
9200,3394521.556472339
9250,3397471.464901454
9300,3401547.553577952
9350,3395530.707690479
9400,3394116.7978249853
9450,3397452.2111875312
9500,3397601.758218952
9550,3396500.001996192
9600,3401156.556969427
9650,3395783.032463225
9700,3396818.011808914
9750,3396828.600817226
9800,3401431.313654811
9850,3398827.7260741214
9900,3401233.321619526
9950,3399978.4260321897
10000,3396505.618098425
10050,3390497.076881767
10100,3395962.3794200025
10150,3398052.0581188104
10200,3399579.502483338
10250,3398773.4962042626
10300,3399100.588931415
10350,3399042.489043184
10400,3399009.962383405
10450,3402966.2966044596
10500,3399087.277487281
10550,3400044.839517974
10600,3398477.551624648
10650,3400009.2502935505
10700,3402205.8170651225
10750,3397192.851819057
10800,3401284.0254841894
10850,3401213.8782312716
10900,3399374.186455848
10950,3402466.101209294
11000,3400645.209670037
11050,3405438.2577604493
11100,3400885.0635577887
11150,3404148.1810001815
11200,3406164.618900866
11250,3397421.153212756
11300,3402600.7840344184
11350,3401640.937028275
11400,3405102.7874783576
11450,3405011.9657344334
11500,3400605.7048951583
11550,3394696.502499076
11600,3404174.2757158233
11650,3402713.4971460155
11700,3406534.8411113005
11750,3409269.0977661535
11800,3401376.000690397
11850,3405120.1208753004
11900,3404131.381893496
11950,3398805.902160476
12000,3405058.508282591
12050,3404216.2572333408
12100,3401034.906790993
12150,3401773.2769135954
12200,3405866.820908767
12250,3402179.264120222
12300,3401753.6842235005
12350,3407093.7685072036
12400,3399840.1234897696
12450,3401242.7923168777
12500,3402883.8675971865
12550,3402678.5065236297
12600,3401202.1978045604
12650,3399907.309851809
12700,3400205.056493511
12750,3400531.354425774
12800,3405243.1414859886
12850,3402936.4236794976
12900,3400230.89270779
12950,3405020.524633319
13000,3403155.0654677656
13050,3398845.294275407
13100,3408377.499876264
13150,3401399.097068831
13200,3400601.9070671205
13250,3407867.612666891
13300,3403039.6238992824
13350,3401574.540665768
13400,3406119.0718421694
13450,3400783.4645931087
13500,3403011.6622187397
13550,3406794.5178711503
13600,3400024.498807065
13650,3404727.5372370826
13700,3406574.832971687
13750,3400449.0118767004
13800,3402639.250977692
13850,3401707.9335045977
13900,3402381.950669661
13950,3396487.9663248775
14000,3402386.3603413315
14050,3400033.201610923
14100,3397073.023120498
14150,3398942.854690168
14200,3405365.962293663
14250,3398297.0964130964
14300,3402443.753355322
14350,3384055.3389074225
14400,3398388.44025016
14450,3404058.858278047
14500,3405979.5179457073
14550,3399365.098597714
14600,3403966.8418681514
14650,3402735.2880491954
14700,3400957.799654643
14750,3401283.6882925024
14800,3410476.4376355913
14850,3401584.932210813
14900,3401036.867020665
14950,3402808.7312879968
15000,3394827.3980592927
15050,3389333.8846345344
15100,3403094.667967734
15150,3399068.6623693453
15200,3400328.5248266757
15250,3401141.16520714
15300,3397914.047636572
15350,3402103.2251126026
15400,3401818.163815945
15450,3398176.4353995277
15500,3400081.246008934
15550,3401226.7209374756
15600,3396156.6711322996
15650,3400852.672013226
15700,3401401.933639915
15750,3396871.8717373717
15800,3398811.2897235015
15850,3401649.340030511
15900,3399642.9427396385
15950,3396755.440412809
16000,3401982.8976036357
16050,3395282.8579803878
16100,3398301.07606939
16150,3400809.6467529754
16200,3399632.6093782745
16250,3397935.5825595693
16300,3402762.5466126944
16350,3396223.6015951983
16400,3395796.2356729195
16450,3399470.169944805
16500,3397576.099137316
16550,3398179.5571790254
16600,3403475.1665769774
16650,3395605.4933640626
16700,3394400.782894543
16750,3402375.6162987775
16800,3396550.6464086687
16850,3396770.8307942846
16900,3399197.2301828046
16950,3394902.0200358448
17000,3397283.8040541327
17050,3402666.6012997823
17100,3394463.778132599
17150,3396436.6070870124
17200,3403601.7726062173
17250,3394448.370385821
17300,3396815.4546533516
17350,3399116.5475808172
17400,3394604.498284416
17450,3396665.542893546
17500,3400398.252034179
17550,3396167.889812827
17600,3397543.65959856
17650,3398369.769971286
17700,3396398.8651582664
17750,3395841.4460094394
17800,3400063.046924019
17850,3396574.0616303417
17900,3399098.456392994
17950,3396029.9044192815
18000,3398931.7459462276
18050,3410234.617794628
18100,3401746.774975661
18150,3395980.6099729915
18200,3395977.4295637095
18250,3397066.178838601
18300,3398135.518971226
18350,3393161.9788296176
18400,3397257.5815804787
18450,3397951.944750133
18500,3395929.616995762
18550,3396095.030183993
18600,3398164.245647882
18650,3395189.007857921
18700,3397196.974725697
18750,3395957.176246392
18800,3391869.5073712543
18850,3398142.598252271
18900,3393573.7948364
18950,3391557.7596896733
19000,3394517.2085157577
19050,3398688.940261982
19100,3395762.481173013
19150,3395884.6256284146
19200,3398164.636665514
19250,3392100.922494807
19300,3394698.460859269
19350,3397643.489256102
19400,3396234.7050882108
19450,3395545.827413547
19500,3398212.6138636847
19550,3391305.3445838853
19600,3393541.1891603186
19650,3395959.6329737836
19700,3390358.09170742
19750,3392348.814584391
19800,3397451.4493477005
19850,3392883.6907535167
19900,3391735.237680488
19950,3395848.053691294
20000,3391786.6530744373
20050,3385003.825134243
20100,3399517.5085539166
20150,3394506.8047246095
20200,3395971.0274319286
20250,3398344.2098777224
20300,3391730.82033802
20350,3395553.8783990094
20400,3394441.3202914908
20450,3392333.307498374
20500,3393126.145802179
20550,3400260.383425763
20600,3392175.3780242354
20650,3392475.0464208266
20700,3398662.2187863723
20750,3395419.537085322
20800,3392168.230975891
20850,3398438.2843575487
20900,3400758.6660372084
20950,3397633.183048497
21000,3400116.8412997923
21050,3391347.79495206
21100,3392419.1955851973
21150,3395361.088159381
21200,3393053.646652863
21250,3392194.3845021697
21300,3397693.499452295
21350,3394832.3062760923
21400,3392746.2403383115
21450,3400199.4315629913
21500,3362012.567458955
21550,3395199.6983833304
21600,3394674.7707052683
21650,3391940.8919166494
21700,3392298.9923655475
21750,3398342.9571891013
21800,3382951.826932841
21850,3393163.641527299
21900,3399726.4560174886
21950,3393713.517966267
22000,3395797.2557701245
22050,3397609.216517815
22100,3392698.087784828
22150,3391499.24235081
22200,3397765.1637689783
22250,3392682.998493779
22300,3392582.509118467
22350,3396858.8489243677
22400,3394481.7012788225
22450,3396073.1288771965
22500,3395169.681228638
22550,3390258.9930145144
22600,3393300.8059756462
22650,3394411.4561407096
22700,3394439.7441009725
22750,3392918.1185028395
22800,3397669.0437342776
22850,3390572.745651595
22900,3391342.715673111
22950,3394434.1310280445
23000,3391701.968603737
23050,3393829.4013281334
23100,3393643.7684889114
23150,3392927.930336148
23200,3390818.7725891066
23250,3394959.4725542287
23300,3392497.3914774
23350,3390128.8400119897
23400,3393299.8470348953
23450,3389518.2609309186
23500,3386550.2959259846
23550,3389289.9315194013
23600,3392331.3598575033
23650,3392423.9724507085
23700,3394059.770725708
23750,3390135.8446404813
23800,3389673.060862808
23850,3395238.9624922625
23900,3394597.3131028907
23950,3391090.0262629893
24000,3395426.3949489985
24050,3394121.4827287607
24100,3393637.746277591
24150,3394488.4156382075
24200,3396186.796138115
24250,3390108.4773618053
24300,3394010.3885802496
24350,3396413.8624086175
24400,3392088.6394548975
24450,3391184.1105430797
24500,3394947.3129030745
24550,3387680.322647683
24600,3393404.446093976
24650,3395076.115120128
24700,3389863.097660126
24750,3393347.9863423957
24800,3395682.8067777366
24850,3389778.4646994458
24900,3391210.879645635
24950,3394312.4568212884
25000,3389031.6737568425
