step,value
100050,21.0
100100,21.0
100150,21.0
100200,21.0
100250,21.0
100300,21.0
100350,21.0
100400,21.0
100450,21.0
100500,21.0
100550,21.0
100600,21.0
100650,21.0
100700,21.0
100750,21.0
100800,21.0
100850,21.0
100900,21.0
100950,21.0
101000,21.0
101050,21.0
101100,21.0
101150,21.0
101200,21.0
101250,21.0
101300,21.0
101350,21.0
101400,21.0
101450,21.0
101500,21.0
101550,21.0
101600,21.0
101650,21.0
101700,21.0
101750,21.0
101800,21.0
101850,21.0
101900,21.0
101950,21.0
102000,21.0
102050,21.0
102100,21.0
102150,21.0
102200,21.0
102250,21.0
102300,21.0
102350,21.0
102400,21.0
102450,21.0
102500,21.0
102550,21.0
102600,21.0
102650,21.0
102700,21.0
102750,21.0
102800,21.0
102850,21.0
102900,21.0
102950,21.0
103000,21.0
103050,21.0
103100,21.0
103150,21.0
103200,21.0
103250,21.0
103300,21.0
103350,21.0
103400,21.0
103450,21.0
103500,21.0
103550,21.0
103600,21.0
103650,21.0
103700,21.0
103750,21.0
103800,21.0
103850,21.0
103900,21.0
103950,21.0
104000,21.0
104050,21.0
104100,21.0
104150,21.0
104200,21.0
104250,21.0
104300,21.0
104350,21.0
104400,21.0
104450,21.0
104500,21.0
104550,21.0
104600,21.0
104650,21.0
104700,21.0
104750,21.0
104800,21.0
104850,21.0
104900,21.0
104950,21.0
105000,21.0
105050,21.0
105100,21.0
105150,21.0
105200,21.0
105250,21.0
105300,21.0
105350,21.0
105400,21.0
105450,21.0
105500,21.0
105550,21.0
105600,21.0
105650,21.0
105700,21.0
105750,21.0
105800,21.0
105850,21.0
105900,21.0
105950,21.0
106000,21.0
106050,21.0
106100,21.0
106150,21.0
106200,21.0
106250,21.0
106300,21.0
106350,21.0
106400,21.0
106450,21.0
106500,21.0
106550,21.0
106600,21.0
106650,21.0
106700,21.0
106750,21.0
106800,21.0
106850,21.0
106900,21.0
106950,21.0
107000,21.0
107050,21.0
107100,21.0
107150,21.0
107200,21.0
107250,21.0
107300,21.0
107350,21.0
107400,21.0
107450,21.0
107500,21.0
107550,21.0
107600,21.0
107650,21.0
107700,21.0
107750,21.0
107800,21.0
107850,21.0
107900,21.0
107950,21.0
108000,21.0
108050,21.0
108100,21.0
108150,21.0
108200,21.0
108250,21.0
108300,21.0
108350,21.0
108400,21.0
108450,21.0
108500,21.0
108550,21.0
108600,21.0
108650,21.0
108700,21.0
108750,21.0
108800,21.0
108850,21.0
108900,21.0
108950,21.0
109000,21.0
109050,21.0
109100,21.0
109150,21.0
109200,21.0
109250,21.0
109300,21.0
109350,21.0
109400,21.0
109450,21.0
109500,21.0
109550,21.0
109600,21.0
109650,21.0
109700,21.0
109750,21.0
109800,21.0
109850,21.0
109900,21.0
109950,21.0
110000,21.0
110050,21.0
110100,21.0
110150,21.0
110200,21.0
110250,21.0
110300,21.0
110350,21.0
110400,21.0
110450,21.0
110500,21.0
110550,21.0
110600,21.0
110650,21.0
110700,21.0
110750,21.0
110800,21.0
110850,21.0
110900,21.0
110950,21.0
111000,21.0
111050,21.0
111100,21.0
111150,21.0
111200,21.0
111250,21.0
111300,21.0
111350,21.0
111400,21.0
111450,21.0
111500,21.0
111550,21.0
111600,21.0
111650,21.0
111700,21.0
111750,21.0
111800,21.0
111850,21.0
111900,21.0
111950,21.0
112000,21.0
112050,21.0
112100,21.0
112150,21.0
112200,21.0
112250,21.0
112300,21.0
112350,21.0
112400,21.0
112450,21.0
112500,21.0
112550,21.0
112600,21.0
112650,21.0
112700,21.0
112750,21.0
112800,21.0
112850,21.0
112900,21.0
112950,21.0
113000,21.0
113050,21.0
113100,21.0
113150,21.0
113200,21.0
113250,21.0
113300,21.0
113350,21.0
113400,21.0
113450,21.0
113500,21.0
113550,21.0
113600,21.0
113650,21.0
113700,21.0
113750,21.0
113800,21.0
113850,21.0
113900,21.0
113950,21.0
114000,21.0
114050,21.0
114100,21.0
114150,21.0
114200,21.0
114250,21.0
114300,21.0
114350,21.0
114400,21.0
114450,21.0
114500,21.0
114550,21.0
114600,21.0
114650,21.0
114700,21.0
114750,21.0
114800,21.0
114850,21.0
114900,21.0
114950,21.0
115000,21.0
115050,21.0
115100,21.0
115150,21.0
115200,21.0
115250,21.0
115300,21.0
115350,21.0
115400,21.0
115450,21.0
115500,21.0
115550,21.0
115600,21.0
115650,21.0
115700,21.0
115750,21.0
115800,21.0
115850,21.0
115900,21.0
115950,21.0
116000,21.0
116050,21.0
116100,21.0
116150,21.0
116200,21.0
116250,21.0
116300,21.0
116350,21.0
116400,21.0
116450,21.0
116500,21.0
116550,21.0
116600,21.0
116650,21.0
116700,21.0
116750,21.0
116800,21.0
116850,21.0
116900,21.0
116950,21.0
117000,21.0
117050,21.0
117100,21.0
117150,21.0
117200,21.0
117250,21.0
117300,21.0
117350,21.0
117400,21.0
117450,21.0
117500,21.0
117550,21.0
117600,21.0
117650,21.0
117700,21.0
117750,21.0
117800,21.0
117850,21.0
117900,21.0
117950,21.0
118000,21.0
118050,21.0
118100,21.0
118150,21.0
118200,21.0
118250,21.0
118300,21.0
118350,21.0
118400,21.0
118450,21.0
118500,21.0
118550,21.0
118600,21.0
118650,21.0
118700,21.0
118750,21.0
118800,21.0
118850,21.0
118900,21.0
118950,21.0
119000,21.0
119050,21.0
119100,21.0
119150,21.0
119200,21.0
119250,21.0
119300,21.0
119350,21.0
119400,21.0
119450,21.0
119500,21.0
119550,21.0
119600,21.0
119650,21.0
119700,21.0
119750,21.0
119800,21.0
119850,21.0
119900,21.0
119950,21.0
120000,21.0
120050,21.0
120100,21.0
120150,21.0
120200,21.0
120250,21.0
120300,21.0
120350,21.0
120400,21.0
120450,21.0
120500,21.0
120550,21.0
120600,21.0
120650,21.0
120700,21.0
120750,21.0
120800,21.0
120850,21.0
120900,21.0
120950,21.0
121000,21.0
121050,21.0
121100,21.0
121150,21.0
121200,21.0
121250,21.0
121300,21.0
121350,21.0
121400,21.0
121450,21.0
121500,21.0
121550,21.0
121600,21.0
121650,21.0
121700,21.0
121750,21.0
121800,21.0
121850,21.0
121900,21.0
121950,21.0
122000,21.0
122050,21.0
122100,21.0
122150,21.0
122200,21.0
122250,21.0
122300,21.0
122350,21.0
122400,21.0
122450,21.0
122500,21.0
122550,21.0
122600,21.0
122650,21.0
122700,21.0
122750,21.0
122800,21.0
122850,21.0
122900,21.0
122950,21.0
123000,21.0
123050,21.0
123100,21.0
123150,21.0
123200,21.0
123250,21.0
123300,21.0
123350,21.0
123400,21.0
123450,21.0
123500,21.0
123550,21.0
123600,21.0
123650,21.0
123700,21.0
123750,21.0
123800,21.0
123850,21.0
123900,21.0
123950,21.0
124000,21.0
124050,21.0
124100,21.0
124150,21.0
124200,21.0
124250,21.0
124300,21.0
124350,21.0
124400,21.0
124450,21.0
124500,21.0
124550,21.0
124600,21.0
124650,21.0
124700,21.0
124750,21.0
124800,21.0
124850,21.0
124900,21.0
124950,21.0
125000,21.0
125050,21.0
125100,21.0
125150,21.0
125200,21.0
125250,21.0
125300,21.0
125350,21.0
125400,21.0
125450,21.0
125500,21.0
125550,21.0
125600,21.0
125650,21.0
125700,21.0
125750,21.0
125800,21.0
125850,21.0
125900,21.0
125950,21.0
126000,21.0
126050,21.0
126100,21.0
126150,21.0
126200,21.0
126250,21.0
126300,21.0
126350,21.0
126400,21.0
126450,21.0
126500,21.0
126550,21.0
126600,21.0
126650,21.0
126700,21.0
126750,21.0
126800,21.0
126850,21.0
126900,21.0
126950,21.0
127000,21.0
127050,21.0
127100,21.0
127150,21.0
127200,21.0
127250,21.0
127300,21.0
127350,21.0
127400,21.0
127450,21.0
127500,21.0
127550,21.0
127600,21.0
127650,21.0
127700,21.0
127750,21.0
127800,21.0
127850,21.0
127900,21.0
127950,21.0
128000,21.0
128050,21.0
128100,21.0
128150,21.0
128200,21.0
128250,21.0
