step,value
50050,50000.0
50100,50000.0
50150,50000.0
50200,50000.0
50250,50000.0
50300,50000.0
50350,50000.0
50400,50000.0
50450,50000.0
50500,50000.0
50550,50000.0
50600,50000.0
50650,50000.0
50700,50000.0
50750,50000.0
50800,50000.0
50850,50000.0
50900,50000.0
50950,50000.0
51000,50000.0
51050,50000.0
51100,50000.0
51150,50000.0
51200,50000.0
51250,50000.0
51300,50000.0
51350,50000.0
51400,50000.0
51450,50000.0
51500,50000.0
51550,50000.0
51600,50000.0
51650,50000.0
51700,50000.0
51750,50000.0
51800,50000.0
51850,50000.0
51900,50000.0
51950,50000.0
52000,50000.0
52050,50000.0
52100,50000.0
52150,50000.0
52200,50000.0
52250,50000.0
52300,50000.0
52350,50000.0
52400,50000.0
52450,50000.0
52500,50000.0
52550,50000.0
52600,50000.0
52650,50000.0
52700,50000.0
52750,50000.0
52800,50000.0
52850,50000.0
52900,50000.0
52950,50000.0
53000,50000.0
53050,50000.0
53100,50000.0
53150,50000.0
53200,50000.0
53250,50000.0
53300,50000.0
53350,50000.0
53400,50000.0
53450,50000.0
53500,50000.0
53550,50000.0
53600,50000.0
53650,50000.0
53700,50000.0
53750,50000.0
53800,50000.0
53850,50000.0
53900,50000.0
53950,50000.0
54000,50000.0
54050,50000.0
54100,50000.0
54150,50000.0
54200,50000.0
54250,50000.0
54300,50000.0
54350,50000.0
54400,50000.0
54450,50000.0
54500,50000.0
54550,50000.0
54600,50000.0
54650,50000.0
54700,50000.0
54750,50000.0
54800,50000.0
54850,50000.0
54900,50000.0
54950,50000.0
55000,50000.0
55050,50000.0
55100,50000.0
55150,50000.0
55200,50000.0
55250,50000.0
55300,50000.0
55350,50000.0
55400,50000.0
55450,50000.0
55500,50000.0
55550,50000.0
55600,50000.0
55650,50000.0
55700,50000.0
55750,50000.0
55800,50000.0
55850,50000.0
55900,50000.0
55950,50000.0
56000,50000.0
56050,50000.0
56100,50000.0
56150,50000.0
56200,50000.0
56250,50000.0
56300,50000.0
56350,50000.0
56400,50000.0
56450,50000.0
56500,50000.0
56550,50000.0
56600,50000.0
56650,50000.0
56700,50000.0
56750,50000.0
56800,50000.0
56850,50000.0
56900,50000.0
56950,50000.0
57000,50000.0
57050,50000.0
57100,50000.0
57150,50000.0
57200,50001.0
57250,50001.0
57300,50001.0
57350,50001.0
57400,50001.0
57450,50001.0
57500,50001.0
57550,50001.0
57600,50001.0
57650,50001.0
57700,50001.0
57750,50001.0
57800,50001.0
57850,50001.0
57900,50001.0
57950,50001.0
58000,50001.0
58050,50001.0
58100,50001.0
58150,50001.0
58200,50001.0
58250,50001.0
58300,50001.0
58350,50001.0
58400,50001.0
58450,50001.0
58500,50001.0
58550,50001.0
58600,50001.0
58650,50001.0
58700,50001.0
58750,50001.0
58800,50001.0
58850,50001.0
58900,50001.0
58950,50001.0
59000,50001.0
59050,50001.0
59100,50001.0
59150,50001.0
59200,50001.0
59250,50001.0
59300,50001.0
59350,50001.0
59400,50001.0
59450,50001.0
59500,50001.0
59550,50001.0
59600,50001.0
59650,50001.0
59700,50001.0
59750,50001.0
59800,50001.0
59850,50001.0
59900,50001.0
59950,50001.0
60000,50001.0
60050,50001.0
60100,50001.0
60150,50001.0
60200,50001.0
60250,50001.0
60300,50001.0
60350,50001.0
60400,50001.0
60450,50001.0
60500,50001.0
60550,50001.0
60600,50001.0
60650,50001.0
60700,50001.0
60750,50001.0
60800,50001.0
60850,50001.0
60900,50001.0
60950,50001.0
61000,50001.0
61050,50001.0
61100,50001.0
61150,50001.0
61200,50001.0
61250,50001.0
61300,50001.0
61350,50001.0
61400,50001.0
61450,50001.0
61500,50001.0
61550,50001.0
61600,50001.0
61650,50001.0
61700,50001.0
61750,50001.0
61800,50001.0
61850,50001.0
61900,50001.0
61950,50001.0
62000,50001.0
62050,50001.0
62100,50001.0
62150,50001.0
62200,50001.0
62250,50001.0
62300,50001.0
62350,50001.0
62400,50001.0
62450,50001.0
62500,50001.0
62550,50001.0
62600,50001.0
62650,50001.0
62700,50001.0
62750,50001.0
62800,50001.0
62850,50001.0
62900,50001.0
62950,50001.0
63000,50001.0
63050,50001.0
63100,50001.0
63150,50001.0
63200,50001.0
63250,50001.0
63300,50001.0
63350,50001.0
63400,50001.0
63450,50001.0
63500,50001.0
63550,50001.0
63600,50001.0
63650,50001.0
63700,50001.0
63750,50001.0
63800,50001.0
63850,50001.0
63900,50001.0
63950,50001.0
64000,50001.0
64050,50001.0
64100,50001.0
64150,50001.0
64200,50001.0
64250,50001.0
64300,50001.0
64350,50002.0
64400,50002.0
64450,50002.0
64500,50002.0
64550,50002.0
