step,value
50050,7.142857066355646e-05
50100,4.5634922571480274e-05
50150,7.936508154671174e-06
50200,2.6785715817823075e-05
50250,3.3234129659831524e-05
50300,1.0912698598986026e-05
50350,5.158730346010998e-05
50400,6.25000029685907e-05
50450,7.53968270146288e-05
50500,7.440476565534482e-06
50550,1.190476177725941e-05
50600,7.936508154671174e-06
50650,1.5376985174953006e-05
50700,2.628968286444433e-05
50750,3.2242063753074035e-05
50800,1.6865080397110432e-05
50850,2.8769842174369842e-05
50900,1.934523788804654e-05
50950,3.76984135073144e-05
51000,4.017857281723991e-05
51050,7.390873361146078e-05
51100,1.6369047443731688e-05
51150,9.920635420712642e-06
51200,4.216270099277608e-05
51250,8.928571332944557e-06
51300,3.3234129659831524e-05
51350,2.4801588551781606e-06
51400,1.1408730642870069e-05
51450,3.6210320104146376e-05
51500,1.6865080397110432e-05
51550,1.7361111531499773e-05
51600,5.05952411913313e-05
51650,8.928571332944557e-06
51700,6.448412932513747e-06
51750,2.2321428332361393e-05
51800,8.928571332944557e-06
51850,3.4722222608252196e-06
51900,5.6547622079961e-05
51950,1.190476177725941e-05
52000,0.00010515873145777732
52050,5.952380888629705e-06
52100,2.628968286444433e-05
52150,1.4880953131068964e-05
52200,5.456349299493013e-06
52250,3.720238237292506e-05
52300,2.0337301975814626e-05
52350,3.2242063753074035e-05
52400,4.8611113015795127e-05
52450,1.4880953131068964e-05
52500,2.9761904443148524e-06
52550,1.0416666555101983e-05
52600,2.6785715817823075e-05
52650,0.00010218254465144128
52700,1.1408730642870069e-05
52750,1.0416666555101983e-05
52800,2.9761904443148524e-06
52850,2.2817461285740137e-05
52900,2.6785715817823075e-05
52950,6.944444521650439e-06
53000,2.82738110399805e-05
53050,4.4642856664722785e-06
53100,6.696429045405239e-05
53150,1.88492067536572e-05
53200,8.928571332944557e-06
53250,2.82738110399805e-05
53300,1.4384921087184921e-05
53350,7.440476565534482e-06
53400,4.960317710356321e-06
53450,9.920635420712642e-06
53500,6.944444521650439e-06
53550,1.88492067536572e-05
53600,2.9761904443148524e-06
53650,2.4801588551781606e-06
53700,2.82738110399805e-05
53750,3.4722222608252196e-06
53800,1.934523788804654e-05
53850,1.835317561926786e-05
53900,4.4642856664722785e-05
53950,1.190476177725941e-05
54000,1.5376985174953006e-05
54050,2.9761904443148524e-06
54100,4.4642856664722785e-06
54150,2.132936606358271e-05
54200,2.7777778086601757e-05
54250,2.9761904443148524e-06
