step,value
50050,314527.0
50100,314527.0
50150,314527.0
50200,314527.0
50250,314527.0
50300,314527.0
50350,314527.0
50400,314527.0
50450,314527.0
50500,314527.0
50550,314527.0
50600,314527.0
50650,314527.0
50700,314527.0
50750,314527.0
50800,314527.0
50850,314527.0
50900,314527.0
50950,314527.0
51000,314527.0
51050,314527.0
51100,314527.0
51150,314527.0
51200,314527.0
51250,314527.0
51300,314527.0
51350,314527.0
51400,314527.0
51450,314527.0
51500,314527.0
51550,314527.0
51600,314527.0
51650,314527.0
51700,314527.0
51750,314527.0
51800,314527.0
51850,314527.0
51900,314527.0
51950,314527.0
52000,314527.0
52050,314527.0
52100,314527.0
52150,314527.0
52200,314527.0
52250,314527.0
52300,314527.0
52350,314527.0
52400,314527.0
52450,314527.0
52500,314527.0
52550,314527.0
52600,314527.0
52650,314527.0
52700,314527.0
52750,314527.0
52800,314527.0
52850,314527.0
52900,314527.0
52950,314527.0
53000,314527.0
53050,314527.0
53100,314527.0
53150,314527.0
53200,314527.0
53250,314527.0
53300,314527.0
53350,314527.0
53400,314527.0
53450,314527.0
53500,314527.0
53550,314527.0
53600,314527.0
53650,314527.0
53700,314527.0
53750,314527.0
53800,314527.0
53850,314527.0
53900,314527.0
53950,314527.0
54000,314527.0
54050,314527.0
54100,314527.0
54150,314527.0
54200,314527.0
54250,314527.0
54300,314527.0
54350,314527.0
54400,314527.0
54450,314527.0
54500,314527.0
54550,314527.0
54600,314527.0
54650,314527.0
54700,314527.0
54750,314527.0
54800,314527.0
54850,314527.0
54900,314527.0
54950,314527.0
55000,314527.0
55050,314527.0
55100,314527.0
55150,314527.0
55200,314527.0
55250,314527.0
55300,314527.0
55350,314527.0
55400,314527.0
55450,314527.0
55500,314527.0
55550,314527.0
55600,314527.0
55650,314527.0
55700,314527.0
55750,314527.0
55800,314527.0
55850,314527.0
55900,314527.0
55950,314527.0
56000,314527.0
56050,314527.0
56100,314527.0
56150,314527.0
56200,314527.0
56250,314527.0
56300,314527.0
56350,314527.0
56400,314527.0
56450,314527.0
56500,314527.0
56550,314527.0
56600,314527.0
56650,314527.0
56700,314527.0
56750,314527.0
56800,314527.0
56850,314527.0
56900,314527.0
56950,314527.0
57000,314527.0
57050,314527.0
57100,314527.0
57150,314527.0
57200,314903.0
57250,314903.0
57300,314903.0
57350,314903.0
57400,314903.0
57450,314903.0
57500,314903.0
57550,314903.0
57600,314903.0
57650,314903.0
57700,314903.0
57750,314903.0
57800,314903.0
57850,314903.0
57900,314903.0
57950,314903.0
58000,314903.0
58050,314903.0
58100,314903.0
58150,314903.0
58200,314903.0
58250,314903.0
58300,314903.0
58350,314903.0
58400,314903.0
58450,314903.0
58500,314903.0
58550,314903.0
58600,314903.0
58650,314903.0
58700,314903.0
58750,314903.0
58800,314903.0
58850,314903.0
58900,314903.0
58950,314903.0
59000,314903.0
59050,314903.0
59100,314903.0
59150,314903.0
59200,314903.0
59250,314903.0
59300,314903.0
59350,314903.0
59400,314903.0
59450,314903.0
59500,314903.0
59550,314903.0
59600,314903.0
59650,314903.0
59700,314903.0
59750,314903.0
59800,314903.0
59850,314903.0
59900,314903.0
59950,314903.0
60000,314903.0
60050,314903.0
60100,314903.0
60150,314903.0
60200,314903.0
60250,314903.0
60300,314903.0
60350,314903.0
60400,314903.0
60450,314903.0
60500,314903.0
60550,314903.0
60600,314903.0
60650,314903.0
60700,314903.0
60750,314903.0
60800,314903.0
60850,314903.0
60900,314903.0
60950,314903.0
61000,314903.0
61050,314903.0
61100,314903.0
61150,314903.0
61200,314903.0
61250,314903.0
61300,314903.0
61350,314903.0
61400,314903.0
61450,314903.0
61500,314903.0
61550,314903.0
61600,314903.0
61650,314903.0
61700,314903.0
61750,314903.0
61800,314903.0
61850,314903.0
61900,314903.0
61950,314903.0
62000,314903.0
62050,314903.0
62100,314903.0
62150,314903.0
62200,314903.0
62250,314903.0
62300,314903.0
62350,314903.0
62400,314903.0
62450,314903.0
62500,314903.0
62550,314903.0
62600,314903.0
62650,314903.0
62700,314903.0
62750,314903.0
62800,314903.0
62850,314903.0
62900,314903.0
62950,314903.0
63000,314903.0
63050,314903.0
63100,314903.0
63150,314903.0
63200,314903.0
63250,314903.0
63300,314903.0
63350,314903.0
63400,314903.0
63450,314903.0
63500,314903.0
63550,314903.0
63600,314903.0
63650,314903.0
63700,314903.0
63750,314903.0
63800,314903.0
63850,314903.0
63900,314903.0
63950,314903.0
64000,314903.0
64050,314903.0
64100,314903.0
64150,314903.0
64200,314903.0
64250,314903.0
64300,314903.0
64350,314401.0
64400,314401.0
64450,314401.0
64500,314401.0
64550,314401.0
64600,314401.0
64650,314401.0
64700,314401.0
64750,314401.0
64800,314401.0
64850,314401.0
64900,314401.0
64950,314401.0
65000,314401.0
65050,314401.0
65100,314401.0
65150,314401.0
65200,314401.0
65250,314401.0
65300,314401.0
65350,314401.0
65400,314401.0
65450,314401.0
65500,314401.0
65550,314401.0
65600,314401.0
65650,314401.0
65700,314401.0
65750,314401.0
65800,314401.0
65850,314401.0
65900,314401.0
65950,314401.0
66000,314401.0
66050,314401.0
66100,314401.0
66150,314401.0
66200,314401.0
66250,314401.0
66300,314401.0
66350,314401.0
66400,314401.0
66450,314401.0
66500,314401.0
66550,314401.0
66600,314401.0
66650,314401.0
66700,314401.0
66750,314401.0
66800,314401.0
66850,314401.0
66900,314401.0
66950,314401.0
67000,314401.0
67050,314401.0
67100,314401.0
67150,314401.0
67200,314401.0
67250,314401.0
67300,314401.0
67350,314401.0
67400,314401.0
67450,314401.0
67500,314401.0
67550,314401.0
67600,314401.0
67650,314401.0
67700,314401.0
67750,314401.0
67800,314401.0
67850,314401.0
67900,314401.0
67950,314401.0
68000,314401.0
68050,314401.0
68100,314401.0
68150,314401.0
68200,314401.0
68250,314401.0
68300,314401.0
68350,314401.0
68400,314401.0
68450,314401.0
68500,314401.0
68550,314401.0
68600,314401.0
68650,314401.0
68700,314401.0
68750,314401.0
68800,314401.0
68850,314401.0
68900,314401.0
68950,314401.0
69000,314401.0
69050,314401.0
69100,314401.0
69150,314401.0
69200,314401.0
69250,314401.0
69300,314401.0
69350,314401.0
69400,314401.0
69450,314401.0
69500,314401.0
69550,314401.0
69600,314401.0
69650,314401.0
69700,314401.0
69750,314401.0
69800,314401.0
69850,314401.0
69900,314401.0
69950,314401.0
70000,314401.0
70050,314401.0
70100,314401.0
70150,314401.0
70200,314401.0
70250,314401.0
70300,314401.0
70350,314401.0
70400,314401.0
70450,314401.0
70500,314401.0
70550,314401.0
70600,314401.0
70650,314401.0
70700,314401.0
70750,314401.0
70800,314401.0
70850,314401.0
70900,314401.0
70950,314401.0
71000,314401.0
71050,314401.0
71100,314401.0
71150,314401.0
71200,314401.0
71250,314401.0
71300,314401.0
71350,314401.0
71400,314401.0
71450,314401.0
71500,314401.0
71550,314735.0
71600,314735.0
71650,314735.0
71700,314735.0
71750,314735.0
71800,314735.0
71850,314735.0
71900,314735.0
71950,314735.0
72000,314735.0
72050,314735.0
72100,314735.0
72150,314735.0
72200,314735.0
72250,314735.0
72300,314735.0
72350,314735.0
72400,314735.0
72450,314735.0
72500,314735.0
72550,314735.0
72600,314735.0
72650,314735.0
72700,314735.0
72750,314735.0
72800,314735.0
72850,314735.0
72900,314735.0
72950,314735.0
73000,314735.0
73050,314735.0
73100,314735.0
73150,314735.0
73200,314735.0
73250,314735.0
73300,314735.0
73350,314735.0
73400,314735.0
73450,314735.0
73500,314735.0
73550,314735.0
73600,314735.0
73650,314735.0
73700,314735.0
73750,314735.0
73800,314735.0
73850,314735.0
73900,314735.0
73950,314735.0
74000,314735.0
74050,314735.0
74100,314735.0
74150,314735.0
74200,314735.0
74250,314735.0
74300,314735.0
74350,314735.0
74400,314735.0
74450,314735.0
74500,314735.0
74550,314735.0
74600,314735.0
74650,314735.0
74700,314735.0
74750,314735.0
74800,314735.0
74850,314735.0
74900,314735.0
74950,314735.0
75000,314735.0
75050,314735.0
75100,314735.0
75150,314735.0
75200,314735.0
75250,314735.0
75300,314735.0
75350,314735.0
75400,314735.0
75450,314735.0
75500,314735.0
75550,314735.0
75600,314735.0
75650,314735.0
75700,314735.0
75750,314735.0
75800,314735.0
75850,314735.0
75900,314735.0
75950,314735.0
76000,314735.0
76050,314735.0
76100,314735.0
76150,314735.0
76200,314735.0
76250,314735.0
76300,314735.0
76350,314735.0
76400,314735.0
76450,314735.0
76500,314735.0
76550,314735.0
76600,314735.0
76650,314735.0
76700,314735.0
76750,314735.0
76800,314735.0
76850,314735.0
76900,314735.0
76950,314735.0
77000,314735.0
77050,314735.0
77100,314735.0
77150,314735.0
77200,314735.0
77250,314735.0
77300,314735.0
77350,314735.0
77400,314735.0
77450,314735.0
77500,314735.0
77550,314735.0
77600,314735.0
77650,314735.0
77700,314735.0
77750,314735.0
77800,314735.0
77850,314735.0
77900,314735.0
77950,314735.0
78000,314735.0
78050,314735.0
78100,314735.0
78150,314735.0
78200,314735.0
78250,314735.0
78300,314735.0
78350,314735.0
78400,314735.0
78450,314735.0
78500,314735.0
78550,314735.0
78600,314735.0
78650,314735.0
78700,314358.0
78750,314358.0
78800,314358.0
78850,314358.0
78900,314358.0
78950,314358.0
79000,314358.0
79050,314358.0
79100,314358.0
79150,314358.0
79200,314358.0
79250,314358.0
79300,314358.0
79350,314358.0
79400,314358.0
79450,314358.0
79500,314358.0
79550,314358.0
79600,314358.0
79650,314358.0
79700,314358.0
79750,314358.0
79800,314358.0
79850,314358.0
79900,314358.0
79950,314358.0
80000,314358.0
80050,314358.0
80100,314358.0
80150,314358.0
80200,314358.0
80250,314358.0
80300,314358.0
80350,314358.0
80400,314358.0
80450,314358.0
80500,314358.0
80550,314358.0
80600,314358.0
80650,314358.0
80700,314358.0
80750,314358.0
80800,314358.0
80850,314358.0
80900,314358.0
80950,314358.0
81000,314358.0
81050,314358.0
81100,314358.0
81150,314358.0
81200,314358.0
81250,314358.0
81300,314358.0
81350,314358.0
81400,314358.0
81450,314358.0
81500,314358.0
81550,314358.0
81600,314358.0
81650,314358.0
81700,314358.0
81750,314358.0
81800,314358.0
81850,314358.0
81900,314358.0
81950,314358.0
82000,314358.0
82050,314358.0
82100,314358.0
82150,314358.0
82200,314358.0
82250,314358.0
82300,314358.0
82350,314358.0
82400,314358.0
82450,314358.0
82500,314358.0
82550,314358.0
82600,314358.0
82650,314358.0
82700,314358.0
82750,314358.0
82800,314358.0
82850,314358.0
82900,314358.0
82950,314358.0
83000,314358.0
83050,314358.0
83100,314358.0
83150,314358.0
83200,314358.0
83250,314358.0
83300,314358.0
83350,314358.0
83400,314358.0
83450,314358.0
83500,314358.0
83550,314358.0
83600,314358.0
83650,314358.0
83700,314358.0
83750,314358.0
83800,314358.0
83850,314358.0
83900,314358.0
83950,314358.0
84000,314358.0
84050,314358.0
84100,314358.0
84150,314358.0
84200,314358.0
84250,314358.0
84300,314358.0
84350,314358.0
84400,314358.0
84450,314358.0
84500,314358.0
84550,314358.0
84600,314358.0
84650,314358.0
84700,314358.0
84750,314358.0
84800,314358.0
84850,314358.0
84900,314358.0
84950,314358.0
85000,314358.0
85050,314358.0
85100,314358.0
85150,314358.0
85200,314358.0
85250,314358.0
85300,314358.0
85350,314358.0
85400,314358.0
85450,314358.0
85500,314358.0
85550,314358.0
85600,314358.0
85650,314358.0
85700,314358.0
85750,314358.0
85800,314358.0
85850,314488.0
85900,314488.0
85950,314488.0
86000,314488.0
86050,314488.0
86100,314488.0
86150,314488.0
86200,314488.0
86250,314488.0
86300,314488.0
86350,314488.0
86400,314488.0
86450,314488.0
86500,314488.0
86550,314488.0
86600,314488.0
86650,314488.0
86700,314488.0
86750,314488.0
86800,314488.0
86850,314488.0
86900,314488.0
86950,314488.0
87000,314488.0
87050,314488.0
87100,314488.0
87150,314488.0
87200,314488.0
87250,314488.0
87300,314488.0
87350,314488.0
87400,314488.0
87450,314488.0
87500,314488.0
87550,314488.0
87600,314488.0
87650,314488.0
87700,314488.0
87750,314488.0
87800,314488.0
87850,314488.0
87900,314488.0
87950,314488.0
88000,314488.0
88050,314488.0
88100,314488.0
88150,314488.0
88200,314488.0
88250,314488.0
88300,314488.0
88350,314488.0
88400,314488.0
88450,314488.0
88500,314488.0
88550,314488.0
88600,314488.0
88650,314488.0
88700,314488.0
88750,314488.0
88800,314488.0
88850,314488.0
88900,314488.0
88950,314488.0
89000,314488.0
89050,314488.0
89100,314488.0
89150,314488.0
89200,314488.0
89250,314488.0
89300,314488.0
89350,314488.0
89400,314488.0
89450,314488.0
89500,314488.0
89550,314488.0
89600,314488.0
89650,314488.0
89700,314488.0
89750,314488.0
89800,314488.0
89850,314488.0
89900,314488.0
89950,314488.0
90000,314488.0
90050,314488.0
90100,314488.0
90150,314488.0
90200,314488.0
90250,314488.0
90300,314488.0
90350,314488.0
90400,314488.0
90450,314488.0
90500,314488.0
90550,314488.0
90600,314488.0
90650,314488.0
90700,314488.0
90750,314488.0
90800,314488.0
90850,314488.0
90900,314488.0
90950,314488.0
91000,314488.0
91050,314488.0
91100,314488.0
91150,314488.0
91200,314488.0
91250,314488.0
91300,314488.0
91350,314488.0
91400,314488.0
91450,314488.0
91500,314488.0
91550,314488.0
91600,314488.0
91650,314488.0
91700,314488.0
91750,314488.0
91800,314488.0
91850,314488.0
91900,314488.0
91950,314488.0
92000,314488.0
92050,314488.0
92100,314488.0
92150,314488.0
92200,314488.0
92250,314488.0
92300,314488.0
92350,314488.0
92400,314488.0
92450,314488.0
92500,314488.0
92550,314488.0
92600,314488.0
92650,314488.0
92700,314488.0
92750,314488.0
92800,314488.0
92850,314488.0
92900,314488.0
92950,314488.0
93000,314500.0
93050,314500.0
93100,314500.0
93150,314500.0
93200,314500.0
93250,314500.0
93300,314500.0
93350,314500.0
93400,314500.0
93450,314500.0
93500,314500.0
93550,314500.0
93600,314500.0
93650,314500.0
93700,314500.0
93750,314500.0
93800,314500.0
93850,314500.0
93900,314500.0
93950,314500.0
94000,314500.0
94050,314500.0
94100,314500.0
94150,314500.0
94200,314500.0
94250,314500.0
94300,314500.0
94350,314500.0
94400,314500.0
94450,314500.0
94500,314500.0
94550,314500.0
94600,314500.0
94650,314500.0
94700,314500.0
94750,314500.0
94800,314500.0
94850,314500.0
94900,314500.0
94950,314500.0
95000,314500.0
95050,314500.0
95100,314500.0
95150,314500.0
95200,314500.0
95250,314500.0
95300,314500.0
95350,314500.0
95400,314500.0
95450,314500.0
95500,314500.0
95550,314500.0
95600,314500.0
95650,314500.0
95700,314500.0
95750,314500.0
95800,314500.0
95850,314500.0
95900,314500.0
95950,314500.0
96000,314500.0
96050,314500.0
96100,314500.0
96150,314500.0
96200,314500.0
96250,314500.0
96300,314500.0
96350,314500.0
96400,314500.0
96450,314500.0
96500,314500.0
96550,314500.0
96600,314500.0
96650,314500.0
96700,314500.0
96750,314500.0
96800,314500.0
96850,314500.0
96900,314500.0
96950,314500.0
97000,314500.0
97050,314500.0
97100,314500.0
97150,314500.0
97200,314500.0
97250,314500.0
97300,314500.0
97350,314500.0
97400,314500.0
97450,314500.0
97500,314500.0
97550,314500.0
97600,314500.0
97650,314500.0
97700,314500.0
97750,314500.0
97800,314500.0
97850,314500.0
97900,314500.0
97950,314500.0
98000,314500.0
98050,314500.0
98100,314500.0
98150,314500.0
98200,314500.0
98250,314500.0
98300,314500.0
98350,314500.0
98400,314500.0
98450,314500.0
98500,314500.0
98550,314500.0
98600,314500.0
98650,314500.0
98700,314500.0
98750,314500.0
98800,314500.0
98850,314500.0
98900,314500.0
98950,314500.0
99000,314500.0
99050,314500.0
99100,314500.0
99150,314500.0
99200,314500.0
99250,314500.0
99300,314500.0
99350,314500.0
99400,314500.0
99450,314500.0
99500,314500.0
99550,314500.0
99600,314500.0
99650,314500.0
99700,314500.0
99750,314500.0
99800,314500.0
99850,314500.0
99900,314500.0
99950,314500.0
100000,314500.0
