step,value
50050,314761.0
50100,314761.0
50150,314761.0
50200,314761.0
50250,314761.0
50300,314761.0
50350,314761.0
50400,314761.0
50450,314761.0
50500,314761.0
50550,314761.0
50600,314761.0
50650,314761.0
50700,314761.0
50750,314761.0
50800,314761.0
50850,314761.0
50900,314761.0
50950,314761.0
51000,314761.0
51050,314761.0
51100,314761.0
51150,314761.0
51200,314761.0
51250,314761.0
51300,314761.0
51350,314761.0
51400,314761.0
51450,314761.0
51500,314761.0
51550,314761.0
51600,314761.0
51650,314761.0
51700,314761.0
51750,314761.0
51800,314761.0
51850,314761.0
51900,314761.0
51950,314761.0
52000,314761.0
52050,314761.0
52100,314761.0
52150,314761.0
52200,314761.0
52250,314761.0
52300,314761.0
52350,314761.0
52400,314761.0
52450,314761.0
52500,314761.0
52550,314761.0
52600,314761.0
52650,314761.0
52700,314761.0
52750,314761.0
52800,314761.0
52850,314761.0
52900,314761.0
52950,314761.0
53000,314761.0
53050,314761.0
53100,314761.0
53150,314761.0
53200,314761.0
53250,314761.0
53300,314761.0
53350,314761.0
53400,314761.0
53450,314761.0
53500,314761.0
53550,314761.0
53600,314761.0
53650,314761.0
53700,314761.0
53750,314761.0
53800,314761.0
53850,314761.0
53900,314761.0
53950,314761.0
54000,314761.0
54050,314761.0
54100,314761.0
54150,314761.0
54200,314761.0
54250,314761.0
54300,314761.0
54350,314761.0
54400,314761.0
54450,314761.0
54500,314761.0
54550,314761.0
54600,314761.0
54650,314761.0
54700,314761.0
54750,314761.0
54800,314761.0
54850,314761.0
54900,314761.0
54950,314761.0
55000,314761.0
55050,314761.0
55100,314761.0
55150,314761.0
55200,314761.0
55250,314761.0
55300,314761.0
55350,314761.0
55400,314761.0
55450,314761.0
55500,314761.0
55550,314761.0
55600,314761.0
55650,314761.0
55700,314761.0
55750,314761.0
55800,314761.0
55850,314761.0
55900,314761.0
55950,314761.0
56000,314761.0
56050,314761.0
56100,314761.0
56150,314761.0
56200,314761.0
56250,314761.0
56300,314761.0
56350,314761.0
56400,314761.0
56450,314761.0
56500,314761.0
56550,314761.0
56600,314761.0
56650,314761.0
56700,314761.0
56750,314761.0
56800,314761.0
56850,314761.0
56900,314761.0
56950,314761.0
57000,314761.0
57050,314761.0
57100,314761.0
57150,314761.0
57200,314031.0
57250,314031.0
57300,314031.0
57350,314031.0
57400,314031.0
57450,314031.0
57500,314031.0
57550,314031.0
57600,314031.0
57650,314031.0
57700,314031.0
57750,314031.0
57800,314031.0
57850,314031.0
57900,314031.0
57950,314031.0
58000,314031.0
58050,314031.0
58100,314031.0
58150,314031.0
58200,314031.0
58250,314031.0
58300,314031.0
58350,314031.0
58400,314031.0
58450,314031.0
58500,314031.0
58550,314031.0
58600,314031.0
58650,314031.0
58700,314031.0
58750,314031.0
58800,314031.0
58850,314031.0
58900,314031.0
58950,314031.0
59000,314031.0
59050,314031.0
59100,314031.0
59150,314031.0
59200,314031.0
59250,314031.0
59300,314031.0
59350,314031.0
59400,314031.0
59450,314031.0
59500,314031.0
59550,314031.0
59600,314031.0
59650,314031.0
59700,314031.0
59750,314031.0
59800,314031.0
59850,314031.0
59900,314031.0
59950,314031.0
60000,314031.0
60050,314031.0
60100,314031.0
60150,314031.0
60200,314031.0
60250,314031.0
60300,314031.0
60350,314031.0
60400,314031.0
60450,314031.0
60500,314031.0
60550,314031.0
60600,314031.0
60650,314031.0
60700,314031.0
60750,314031.0
60800,314031.0
60850,314031.0
60900,314031.0
60950,314031.0
61000,314031.0
61050,314031.0
61100,314031.0
61150,314031.0
61200,314031.0
61250,314031.0
61300,314031.0
61350,314031.0
61400,314031.0
61450,314031.0
61500,314031.0
61550,314031.0
61600,314031.0
61650,314031.0
61700,314031.0
61750,314031.0
61800,314031.0
61850,314031.0
61900,314031.0
61950,314031.0
62000,314031.0
62050,314031.0
62100,314031.0
62150,314031.0
62200,314031.0
62250,314031.0
62300,314031.0
62350,314031.0
62400,314031.0
62450,314031.0
62500,314031.0
62550,314031.0
62600,314031.0
62650,314031.0
62700,314031.0
62750,314031.0
62800,314031.0
62850,314031.0
62900,314031.0
62950,314031.0
63000,314031.0
63050,314031.0
63100,314031.0
63150,314031.0
63200,314031.0
63250,314031.0
63300,314031.0
63350,314031.0
63400,314031.0
63450,314031.0
63500,314031.0
63550,314031.0
63600,314031.0
63650,314031.0
63700,314031.0
63750,314031.0
63800,314031.0
63850,314031.0
63900,314031.0
63950,314031.0
64000,314031.0
64050,314031.0
64100,314031.0
64150,314031.0
64200,314031.0
64250,314031.0
64300,314031.0
64350,314539.0
64400,314539.0
64450,314539.0
64500,314539.0
64550,314539.0
64600,314539.0
64650,314539.0
64700,314539.0
64750,314539.0
64800,314539.0
64850,314539.0
64900,314539.0
64950,314539.0
65000,314539.0
65050,314539.0
65100,314539.0
65150,314539.0
65200,314539.0
65250,314539.0
65300,314539.0
65350,314539.0
65400,314539.0
65450,314539.0
65500,314539.0
65550,314539.0
65600,314539.0
65650,314539.0
65700,314539.0
65750,314539.0
65800,314539.0
65850,314539.0
65900,314539.0
65950,314539.0
66000,314539.0
66050,314539.0
66100,314539.0
66150,314539.0
66200,314539.0
66250,314539.0
66300,314539.0
66350,314539.0
66400,314539.0
66450,314539.0
66500,314539.0
66550,314539.0
66600,314539.0
66650,314539.0
66700,314539.0
66750,314539.0
66800,314539.0
