step,value
50050,314242.0
50100,314242.0
50150,314242.0
50200,314242.0
50250,314242.0
50300,314242.0
50350,314242.0
50400,314242.0
50450,314242.0
50500,314242.0
50550,314242.0
50600,314242.0
50650,314242.0
50700,314242.0
50750,314242.0
50800,314242.0
50850,314242.0
50900,314242.0
50950,314242.0
51000,314242.0
51050,314242.0
51100,314242.0
51150,314242.0
51200,314242.0
51250,314242.0
51300,314242.0
51350,314242.0
51400,314242.0
51450,314242.0
51500,314242.0
51550,314242.0
51600,314242.0
51650,314242.0
51700,314242.0
51750,314242.0
51800,314242.0
51850,314242.0
51900,314242.0
51950,314242.0
52000,314242.0
52050,314242.0
52100,314242.0
52150,314242.0
52200,314242.0
52250,314242.0
52300,314242.0
52350,314242.0
52400,314242.0
52450,314242.0
52500,314242.0
52550,314242.0
52600,314242.0
52650,314242.0
52700,314242.0
52750,314242.0
52800,314242.0
52850,314242.0
52900,314242.0
52950,314242.0
53000,314242.0
53050,314242.0
53100,314242.0
53150,314242.0
53200,314242.0
53250,314242.0
53300,314242.0
53350,314242.0
53400,314242.0
53450,314242.0
53500,314242.0
53550,314242.0
53600,314242.0
53650,314242.0
53700,314242.0
53750,314242.0
53800,314242.0
53850,314242.0
53900,314242.0
53950,314242.0
54000,314242.0
54050,314242.0
54100,314242.0
54150,314242.0
54200,314242.0
54250,314242.0
54300,314242.0
54350,314242.0
54400,314242.0
54450,314242.0
54500,314242.0
54550,314242.0
54600,314242.0
54650,314242.0
54700,314242.0
54750,314242.0
54800,314242.0
54850,314242.0
54900,314242.0
54950,314242.0
55000,314242.0
55050,314242.0
55100,314242.0
55150,314242.0
55200,314242.0
55250,314242.0
55300,314242.0
55350,314242.0
55400,314242.0
55450,314242.0
55500,314242.0
55550,314242.0
55600,314242.0
55650,314242.0
55700,314242.0
55750,314242.0
55800,314242.0
55850,314242.0
55900,314242.0
55950,314242.0
56000,314242.0
56050,314242.0
56100,314242.0
56150,314242.0
56200,314242.0
56250,314242.0
56300,314242.0
56350,314242.0
56400,314242.0
56450,314242.0
56500,314242.0
56550,314242.0
56600,314242.0
56650,314242.0
56700,314242.0
56750,314242.0
56800,314242.0
56850,314242.0
56900,314242.0
56950,314242.0
57000,314242.0
57050,314242.0
57100,314242.0
57150,314242.0
57200,301109.0
57250,301109.0
57300,301109.0
57350,301109.0
57400,301109.0
57450,301109.0
57500,301109.0
57550,301109.0
57600,301109.0
57650,301109.0
57700,301109.0
57750,301109.0
57800,301109.0
57850,301109.0
57900,301109.0
57950,301109.0
58000,301109.0
58050,301109.0
58100,301109.0
58150,301109.0
58200,301109.0
58250,301109.0
58300,301109.0
58350,301109.0
58400,301109.0
58450,301109.0
