step,value
50050,301014.0
50100,301014.0
50150,301014.0
50200,301014.0
50250,301014.0
50300,301014.0
50350,301014.0
50400,301014.0
50450,301014.0
50500,301014.0
50550,301014.0
50600,301014.0
50650,301014.0
50700,301014.0
50750,301014.0
50800,301014.0
50850,301014.0
50900,301014.0
50950,301014.0
51000,301014.0
51050,301014.0
51100,301014.0
51150,301014.0
51200,301014.0
51250,301014.0
51300,301014.0
51350,301014.0
51400,301014.0
51450,301014.0
51500,301014.0
51550,301014.0
51600,301014.0
51650,301014.0
51700,301014.0
51750,301014.0
51800,301014.0
51850,301014.0
51900,301014.0
51950,301014.0
52000,301014.0
52050,301014.0
52100,301014.0
52150,301014.0
52200,301014.0
52250,301014.0
52300,301014.0
52350,301014.0
52400,301014.0
52450,301014.0
52500,301014.0
52550,301014.0
52600,301014.0
52650,301014.0
52700,301014.0
52750,301014.0
52800,301014.0
52850,301014.0
52900,301014.0
52950,301014.0
53000,301014.0
53050,301014.0
53100,301014.0
53150,301014.0
53200,301014.0
53250,301014.0
53300,301014.0
53350,301014.0
53400,301014.0
53450,301014.0
53500,301014.0
53550,301014.0
53600,301014.0
53650,301014.0
53700,301014.0
53750,301014.0
53800,301014.0
53850,301014.0
53900,301014.0
53950,301014.0
54000,301014.0
54050,301014.0
54100,301014.0
54150,301014.0
54200,301014.0
54250,301014.0
54300,301014.0
54350,301014.0
54400,301014.0
54450,301014.0
54500,301014.0
54550,301014.0
54600,301014.0
54650,301014.0
54700,301014.0
54750,301014.0
54800,301014.0
54850,301014.0
54900,301014.0
54950,301014.0
55000,301014.0
55050,301014.0
55100,301014.0
55150,301014.0
55200,301014.0
55250,301014.0
55300,301014.0
55350,301014.0
55400,301014.0
55450,301014.0
55500,301014.0
55550,301014.0
55600,301014.0
55650,301014.0
55700,301014.0
55750,301014.0
55800,301014.0
55850,301014.0
55900,301014.0
55950,301014.0
56000,301014.0
56050,301014.0
56100,301014.0
56150,301014.0
56200,301014.0
56250,301014.0
56300,301014.0
56350,301014.0
56400,301014.0
56450,301014.0
56500,301014.0
56550,301014.0
56600,301014.0
56650,301014.0
56700,301014.0
56750,301014.0
56800,301014.0
56850,301014.0
56900,301014.0
56950,301014.0
57000,301014.0
57050,301014.0
57100,301014.0
57150,301014.0
57200,301098.0
57250,301098.0
57300,301098.0
57350,301098.0
57400,301098.0
57450,301098.0
57500,301098.0
57550,301098.0
57600,301098.0
57650,301098.0
57700,301098.0
57750,301098.0
57800,301098.0
57850,301098.0
57900,301098.0
57950,301098.0
58000,301098.0
58050,301098.0
58100,301098.0
58150,301098.0
58200,301098.0
58250,301098.0
58300,301098.0
58350,301098.0
58400,301098.0
58450,301098.0
58500,301098.0
58550,301098.0
58600,301098.0
58650,301098.0
58700,301098.0
58750,301098.0
58800,301098.0
58850,301098.0
58900,301098.0
58950,301098.0
59000,301098.0
59050,301098.0
59100,301098.0
59150,301098.0
59200,301098.0
59250,301098.0
59300,301098.0
59350,301098.0
59400,301098.0
59450,301098.0
59500,301098.0
59550,301098.0
59600,301098.0
59650,301098.0
59700,301098.0
59750,301098.0
59800,301098.0
59850,301098.0
59900,301098.0
59950,301098.0
60000,301098.0
60050,301098.0
60100,301098.0
60150,301098.0
60200,301098.0
60250,301098.0
60300,301098.0
60350,301098.0
60400,301098.0
60450,301098.0
60500,301098.0
60550,301098.0
60600,301098.0
60650,301098.0
60700,301098.0
60750,301098.0
60800,301098.0
60850,301098.0
60900,301098.0
60950,301098.0
61000,301098.0
61050,301098.0
61100,301098.0
61150,301098.0
61200,301098.0
61250,301098.0
61300,301098.0
61350,301098.0
61400,301098.0
61450,301098.0
61500,301098.0
61550,301098.0
61600,301098.0
61650,301098.0
61700,301098.0
61750,301098.0
61800,301098.0
61850,301098.0
61900,301098.0
61950,301098.0
62000,301098.0
62050,301098.0
62100,301098.0
62150,301098.0
62200,301098.0
62250,301098.0
62300,301098.0
62350,301098.0
62400,301098.0
62450,301098.0
62500,301098.0
62550,301098.0
62600,301098.0
62650,301098.0
62700,301098.0
62750,301098.0
62800,301098.0
62850,301098.0
62900,301098.0
62950,301098.0
63000,301098.0
63050,301098.0
63100,301098.0
63150,301098.0
63200,301098.0
63250,301098.0
63300,301098.0
63350,301098.0
63400,301098.0
63450,301098.0
63500,301098.0
63550,301098.0
63600,301098.0
63650,301098.0
63700,301098.0
63750,301098.0
63800,301098.0
63850,301098.0
63900,301098.0
63950,301098.0
64000,301098.0
64050,301098.0
64100,301098.0
64150,301098.0
64200,301098.0
64250,301098.0
64300,301098.0
64350,300888.0
64400,300888.0
64450,300888.0
64500,300888.0
64550,300888.0
64600,300888.0
64650,300888.0
64700,300888.0
64750,300888.0
64800,300888.0
64850,300888.0
64900,300888.0
64950,300888.0
65000,300888.0
65050,300888.0
65100,300888.0
65150,300888.0
65200,300888.0
65250,300888.0
65300,300888.0
65350,300888.0
65400,300888.0
65450,300888.0
65500,300888.0
65550,300888.0
65600,300888.0
65650,300888.0
65700,300888.0
65750,300888.0
65800,300888.0
65850,300888.0
65900,300888.0
65950,300888.0
66000,300888.0
66050,300888.0
66100,300888.0
66150,300888.0
66200,300888.0
66250,300888.0
66300,300888.0
66350,300888.0
66400,300888.0
66450,300888.0
66500,300888.0
66550,300888.0
66600,300888.0
66650,300888.0
66700,300888.0
66750,300888.0
66800,300888.0
66850,300888.0
66900,300888.0
66950,300888.0
67000,300888.0
67050,300888.0
67100,300888.0
67150,300888.0
67200,300888.0
67250,300888.0
67300,300888.0
67350,300888.0
67400,300888.0
67450,300888.0
67500,300888.0
67550,300888.0
67600,300888.0
67650,300888.0
67700,300888.0
67750,300888.0
67800,300888.0
67850,300888.0
67900,300888.0
67950,300888.0
68000,300888.0
68050,300888.0
68100,300888.0
68150,300888.0
68200,300888.0
68250,300888.0
68300,300888.0
68350,300888.0
68400,300888.0
68450,300888.0
68500,300888.0
68550,300888.0
68600,300888.0
68650,300888.0
68700,300888.0
68750,300888.0
68800,300888.0
68850,300888.0
68900,300888.0
68950,300888.0
69000,300888.0
69050,300888.0
69100,300888.0
69150,300888.0
69200,300888.0
69250,300888.0
69300,300888.0
69350,300888.0
69400,300888.0
69450,300888.0
69500,300888.0
69550,300888.0
69600,300888.0
69650,300888.0
69700,300888.0
69750,300888.0
69800,300888.0
69850,300888.0
69900,300888.0
69950,300888.0
70000,300888.0
70050,300888.0
70100,300888.0
70150,300888.0
70200,300888.0
70250,300888.0
70300,300888.0
70350,300888.0
70400,300888.0
70450,300888.0
70500,300888.0
70550,300888.0
70600,300888.0
70650,300888.0
70700,300888.0
70750,300888.0
70800,300888.0
70850,300888.0
70900,300888.0
70950,300888.0
71000,300888.0
71050,300888.0
71100,300888.0
71150,300888.0
71200,300888.0
71250,300888.0
71300,300888.0
71350,300888.0
71400,300888.0
71450,300888.0
71500,300888.0
71550,300678.0
71600,300678.0
71650,300678.0
71700,300678.0
71750,300678.0
71800,300678.0
71850,300678.0
71900,300678.0
71950,300678.0
72000,300678.0
72050,300678.0
72100,300678.0
72150,300678.0
72200,300678.0
72250,300678.0
72300,300678.0
72350,300678.0
72400,300678.0
72450,300678.0
72500,300678.0
72550,300678.0
72600,300678.0
72650,300678.0
72700,300678.0
72750,300678.0
72800,300678.0
72850,300678.0
72900,300678.0
72950,300678.0
73000,300678.0
73050,300678.0
73100,300678.0
73150,300678.0
73200,300678.0
73250,300678.0
73300,300678.0
73350,300678.0
73400,300678.0
73450,300678.0
73500,300678.0
73550,300678.0
73600,300678.0
73650,300678.0
73700,300678.0
73750,300678.0
